,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,8.73,-0.99,15.05,0.25,-0.00,1.04
1,9.11,0.47,15.79,0.26,-0.00,1.03
2,9.13,0.87,16.53,0.25,0.00,1.03
3,9.27,1.79,17.21,0.25,0.00,1.03
4,9.50,2.64,17.80,0.25,-0.00,1.03
5,10.26,2.78,18.17,0.25,-0.00,1.03
6,10.82,2.47,17.88,0.26,0.00,1.03
7,11.19,3.10,17.59,0.27,0.00,1.02
8,11.63,3.27,16.89,0.26,0.01,1.03
9,11.95,2.99,16.44,0.26,0.01,1.03
10,12.73,2.34,16.60,0.25,0.01,1.01
11,13.36,3.01,16.60,0.25,0.01,1.02
12,14.38,4.09,16.49,0.25,0.02,1.02
13,15.05,4.66,17.21,0.24,0.02,1.00
14,15.57,4.87,18.00,0.23,0.02,1.01
15,16.27,5.47,18.38,0.23,0.02,1.00
16,16.84,6.76,18.50,0.23,0.03,1.01
17,17.62,6.67,18.34,0.23,0.03,1.00
18,18.02,6.70,18.32,0.23,0.03,1.00
19,18.03,7.05,18.26,0.23,0.03,0.99
20,17.63,7.33,18.41,0.21,0.04,0.98
21,16.52,6.61,18.98,0.20,0.04,0.97
22,15.10,7.34,19.65,0.21,0.05,0.95
23,13.42,8.08,20.44,0.21,0.05,0.95
24,11.60,7.01,21.50,0.20,0.05,0.95
25,10.23,5.83,22.50,0.21,0.06,0.93
26,8.89,6.18,23.13,0.22,0.06,0.95
27,8.29,5.63,23.88,0.22,0.06,0.97
28,8.72,6.98,24.90,0.22,0.05,0.97
29,9.18,8.31,25.34,0.22,0.05,0.96
30,9.22,9.34,25.98,0.21,0.05,0.98
31,9.45,10.76,26.60,0.21,0.05,0.97
32,9.48,12.50,27.04,0.21,0.05,0.96
33,9.07,12.34,27.71,0.20,0.05,0.97
34,8.47,11.28,27.76,0.19,0.05,0.96
35,8.52,10.73,27.62,0.19,0.05,0.96
36,7.94,11.08,27.54,0.19,0.05,0.95
37,7.63,11.04,27.50,0.17,0.03,0.95
38,6.99,8.41,27.91,0.16,0.03,0.95
39,6.21,6.02,28.05,0.14,0.03,0.94
40,5.01,5.76,28.60,0.14,0.04,0.93
41,3.77,7.39,29.48,0.14,0.03,0.92
42,1.80,9.15,30.15,0.14,0.03,0.91
43,0.26,9.18,30.76,0.13,0.04,0.90
44,-1.56,7.76,31.56,0.12,0.04,0.91
45,-2.35,6.72,32.24,0.12,0.03,0.91
46,-3.42,4.67,33.30,0.11,0.03,0.91
47,-5.25,1.83,34.31,0.11,0.02,0.90
48,-4.98,-0.69,35.21,0.11,0.02,0.93
49,-5.15,-2.37,35.76,0.13,0.01,0.93
50,-5.91,-2.72,36.20,0.14,0.01,0.92
51,-7.30,-2.12,36.23,0.17,0.01,0.92
52,-8.66,-0.92,36.61,0.18,0.00,0.93
53,-9.82,1.79,37.21,0.19,-0.01,0.94
54,-10.87,3.85,37.83,0.19,-0.02,0.96
55,-10.72,3.86,38.75,0.21,-0.02,0.97
56,-10.89,2.52,39.63,0.23,-0.02,0.96
57,-11.15,3.56,39.73,0.26,-0.02,0.96
58,-11.89,5.18,39.66,0.27,-0.02,0.94
59,-12.98,7.05,39.47,0.27,-0.02,0.94
60,-13.79,8.79,39.30,0.27,-0.02,0.94
61,-15.10,11.18,39.66,0.27,-0.02,0.93
62,-16.29,11.83,39.16,0.27,-0.03,0.94
63,-17.15,11.31,38.75,0.27,-0.04,0.95
64,-17.73,10.32,38.47,0.26,-0.04,0.94
65,-18.41,10.12,37.80,0.27,-0.05,0.96
66,-18.81,9.62,37.16,0.27,-0.06,0.97
67,-19.01,8.38,36.32,0.27,-0.06,0.97
68,-18.53,9.15,35.24,0.28,-0.06,0.98
69,-18.58,9.48,34.73,0.27,-0.06,0.97
70,-18.52,11.51,33.44,0.28,-0.06,0.98
71,-18.67,12.18,32.52,0.25,-0.06,0.98
72,-18.78,11.69,31.94,0.24,-0.06,0.96
73,-19.40,11.08,31.56,0.24,-0.08,0.97
74,-19.88,10.60,30.99,0.23,-0.07,0.98
75,-20.98,8.73,30.56,0.23,-0.08,0.99
76,-21.80,8.46,30.43,0.23,-0.09,0.99
77,-22.82,7.86,30.11,0.23,-0.10,1.00
78,-23.73,7.31,30.27,0.23,-0.10,1.01
79,-24.09,7.69,30.00,0.23,-0.10,1.02
80,-24.27,8.98,30.05,0.23,-0.11,1.03
81,-24.11,9.97,29.92,0.23,-0.11,1.03
82,-23.25,10.44,30.40,0.22,-0.11,1.04
83,-23.05,10.46,30.69,0.21,-0.11,1.04
84,-22.92,11.02,31.10,0.22,-0.10,1.04
85,-23.04,12.14,31.33,0.21,-0.10,1.02
86,-23.02,11.65,31.42,0.20,-0.10,1.01
87,-23.01,10.72,31.56,0.21,-0.10,1.02
88,-23.02,11.83,31.57,0.21,-0.10,1.01
89,-22.93,12.29,31.51,0.22,-0.10,1.01
90,-23.34,11.85,31.01,0.21,-0.12,1.02
91,-24.61,10.72,30.92,0.20,-0.12,1.01
92,-25.28,10.63,30.44,0.21,-0.12,1.01
93,-26.06,11.08,29.83,0.21,-0.13,1.01
94,-26.84,9.95,29.24,0.21,-0.14,1.01
95,-27.59,9.48,28.81,0.21,-0.15,1.02
96,-27.94,8.34,28.52,0.20,-0.16,1.04
97,-27.86,7.77,28.26,0.20,-0.16,1.03
98,-28.05,7.51,27.95,0.20,-0.16,1.03
99,-28.46,6.49,28.11,0.19,-0.16,1.02
100,-28.27,4.64,27.18,0.19,-0.16,1.01
101,-27.98,1.60,26.46,0.20,-0.16,1.01
102,-28.02,0.63,25.63,0.19,-0.16,1.02
103,-28.81,0.67,25.59,0.20,-0.18,1.01
104,-29.56,0.87,25.74,0.20,-0.19,1.01
105,-30.38,0.96,26.18,0.19,-0.19,1.01
106,-30.58,3.56,26.79,0.20,-0.21,1.02
107,-30.98,7.16,27.54,0.21,-0.21,1.02
108,-30.82,8.73,28.40,0.21,-0.23,1.02
109,-30.41,10.23,28.78,0.22,-0.23,1.02
110,-29.54,11.76,29.07,0.22,-0.22,1.01
111,-29.56,13.53,28.79,0.23,-0.22,1.00
112,-29.36,15.02,28.18,0.23,-0.23,1.00
113,-30.11,16.82,27.30,0.23,-0.23,0.98
114,-30.87,17.73,27.22,0.22,-0.22,0.97
