,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,18.15,-147.82,92.23,2.16,-0.14,1.50
1,20.46,-114.98,50.24,2.37,0.00,1.56
2,23.51,-67.24,18.20,2.49,0.11,1.56
3,31.48,3.45,-7.54,2.60,0.20,1.42
4,39.27,67.22,-30.24,2.51,0.25,1.27
5,27.66,131.42,-46.06,2.40,0.43,1.08
6,12.79,211.74,-59.77,2.40,0.44,0.79
7,1.79,289.89,-74.76,2.21,0.39,0.68
8,-12.87,363.28,-90.82,1.98,0.35,0.49
9,-15.59,394.78,-128.46,1.41,0.17,0.40
10,-33.62,414.40,-169.86,0.88,0.13,0.21
11,-33.33,416.73,-198.66,0.17,0.08,0.06
12,3.45,324.43,-240.85,-0.81,-0.11,-0.12
13,8.20,228.70,-254.82,-1.61,-0.20,-0.12
14,8.61,141.21,-239.44,-2.15,-0.26,-0.24
15,-10.41,17.63,-215.22,-2.90,-0.33,0.02
16,-17.45,-96.99,-168.63,-3.09,-0.54,0.22
17,-19.80,-194.27,-107.01,-3.02,-0.72,0.54
18,-16.31,-256.46,-42.53,-2.74,-0.88,0.80
19,-10.63,-286.78,16.75,-2.25,-0.85,1.00
20,0.15,-275.07,74.08,-1.77,-0.87,1.04
21,15.57,-252.02,125.56,-1.39,-0.82,0.98
22,17.45,-205.71,172.79,-0.96,-0.72,0.84
23,18.49,-153.22,212.41,-0.60,-0.60,0.84
24,12.31,-121.16,240.46,-0.37,-0.57,0.92
25,-2.23,-116.46,260.72,-0.22,-0.49,1.07
26,-4.73,-106.44,277.73,0.13,-0.48,1.18
27,1.13,-105.16,275.82,0.59,-0.45,1.29
28,-5.56,-90.56,259.74,1.22,-0.39,1.40
29,0.56,-75.40,214.38,1.79,-0.39,1.47
30,-3.37,-60.70,153.45,2.15,-0.38,1.77
31,11.76,-50.92,86.85,2.25,-0.29,1.98
32,24.09,-31.05,34.61,2.34,-0.23,1.95
33,27.21,-4.35,-10.52,2.39,-0.06,1.80
34,32.79,36.15,-46.38,2.30,-0.02,1.54
35,31.45,85.11,-74.70,2.17,0.11,1.36
36,19.25,164.49,-82.43,2.08,0.17,1.04
37,20.08,217.04,-99.98,1.86,0.12,0.88
38,8.09,282.66,-102.40,1.56,0.19,0.72
39,6.40,341.97,-108.73,1.40,0.22,0.35
40,-13.73,392.72,-121.85,1.15,0.22,0.17
41,-21.82,411.19,-151.18,0.59,0.03,0.15
42,-30.99,419.31,-179.59,0.05,0.00,-0.04
43,-32.90,354.73,-213.31,-0.93,-0.02,-0.00
44,-20.81,271.57,-222.66,-1.68,-0.22,-0.20
45,-11.34,144.21,-218.09,-2.45,-0.39,-0.15
46,-11.86,10.84,-188.35,-2.91,-0.49,0.12
47,-6.18,-117.50,-143.63,-3.09,-0.63,0.40
48,-2.56,-217.92,-89.15,-2.92,-0.81,0.60
49,10.52,-256.35,-26.89,-2.50,-0.93,0.79
50,14.31,-283.07,20.09,-2.09,-0.97,0.99
51,21.50,-269.68,69.33,-1.64,-0.96,0.95
52,31.80,-246.03,116.46,-1.36,-0.91,0.98
53,29.37,-200.82,167.98,-1.09,-0.77,0.97
54,26.82,-168.20,209.51,-0.86,-0.69,1.00
