,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,-19.51,-7.83,16.23,0.23,-0.13,0.98
1,-18.90,-10.70,15.79,0.24,-0.13,0.98
2,-18.64,-13.40,15.13,0.25,-0.14,0.99
3,-18.82,-16.06,13.74,0.27,-0.14,1.00
4,-19.44,-16.43,12.43,0.29,-0.14,1.03
5,-20.05,-11.89,11.86,0.31,-0.14,1.05
6,-19.94,-7.51,11.02,0.32,-0.15,1.07
7,-19.48,-4.95,10.70,0.31,-0.17,1.09
8,-19.04,-4.18,10.41,0.30,-0.17,1.11
9,-18.32,-4.98,10.34,0.29,-0.17,1.11
10,-17.02,-6.11,10.27,0.29,-0.17,1.11
11,-15.21,-7.33,10.56,0.30,-0.17,1.10
12,-12.96,-7.95,10.92,0.29,-0.16,1.09
13,-11.51,-8.20,11.50,0.30,-0.16,1.07
14,-11.13,-8.21,11.88,0.31,-0.15,1.06
15,-11.56,-6.99,12.64,0.31,-0.14,1.04
16,-11.59,-5.57,12.79,0.31,-0.14,1.03
17,-12.29,-2.24,13.40,0.31,-0.12,1.03
18,-12.93,0.79,14.15,0.31,-0.11,1.05
19,-13.57,4.08,14.95,0.31,-0.12,1.06
20,-13.85,7.11,15.39,0.31,-0.12,1.06
21,-13.80,9.34,15.92,0.32,-0.13,1.06
22,-13.25,10.38,16.21,0.31,-0.13,1.08
23,-11.97,10.43,15.22,0.32,-0.13,1.07
24,-1.22,17.37,9.27,0.33,-0.24,1.04
25,-9.63,-2.37,12.89,0.23,-0.10,1.10
26,-9.74,7.13,13.73,0.33,-0.16,1.02
27,-10.66,8.23,12.85,0.30,-0.16,1.05
28,-9.36,8.61,13.39,0.27,-0.16,1.02
29,-8.32,9.80,13.56,0.25,-0.16,1.02
30,-8.69,14.00,14.60,0.24,-0.16,1.02
31,-10.52,17.27,15.86,0.23,-0.15,1.00
32,-12.26,19.21,17.56,0.20,-0.15,1.00
33,-12.81,19.54,18.95,0.18,-0.14,1.00
34,-13.65,20.03,20.60,0.18,-0.15,1.00
35,-14.00,21.63,22.00,0.18,-0.16,1.03
36,-12.35,22.90,23.19,0.19,-0.18,1.02
37,-13.45,21.63,23.18,0.18,-0.18,1.05
38,-3.22,27.34,22.70,0.18,-0.24,1.03
39,-7.94,14.14,22.72,0.15,-0.19,1.06
40,-9.53,18.60,22.85,0.22,-0.20,1.05
41,-10.50,17.11,21.36,0.20,-0.19,1.05
42,-7.15,15.27,21.28,0.19,-0.20,1.03
43,-8.47,11.85,21.08,0.17,-0.20,1.03
44,-6.72,8.46,21.42,0.16,-0.21,1.02
45,-9.82,7.10,21.94,0.15,-0.19,1.02
46,-8.46,7.10,22.82,0.17,-0.20,1.01
47,-9.48,7.37,23.65,0.15,-0.18,1.02
48,-11.21,7.50,24.56,0.14,-0.18,1.02
49,-10.11,8.81,26.34,0.14,-0.20,1.01
