,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,-27.34,-8.84,-0.53,-0.05,-0.34,0.89
1,-28.27,-9.28,-0.49,-0.06,-0.34,0.87
2,-29.76,-10.18,-0.67,-0.07,-0.33,0.86
3,-31.76,-11.92,-0.70,-0.06,-0.34,0.86
4,-33.40,-12.56,-0.75,-0.05,-0.34,0.86
5,-35.25,-13.77,-1.37,-0.05,-0.35,0.88
6,-36.93,-12.41,-1.01,-0.04,-0.37,0.89
7,-37.76,-11.01,-0.12,-0.05,-0.38,0.91
8,-38.58,-10.87,0.08,-0.04,-0.39,0.93
9,-38.41,-9.98,-0.11,-0.03,-0.41,0.93
10,-38.11,-8.81,-0.03,-0.03,-0.41,0.96
11,-37.85,-9.47,-0.46,-0.03,-0.43,0.96
12,-37.30,-9.86,-1.18,-0.03,-0.44,0.97
13,-36.40,-9.56,-1.63,-0.03,-0.45,0.96
14,-36.08,-9.54,-2.40,-0.03,-0.46,0.97
15,-35.66,-9.66,-3.08,-0.03,-0.45,0.95
16,-34.99,-10.47,-3.39,-0.04,-0.47,0.96
17,-34.55,-10.66,-3.15,-0.05,-0.47,0.95
18,-34.17,-10.85,-2.90,-0.05,-0.47,0.95
19,-33.95,-10.78,-3.01,-0.04,-0.48,0.95
20,-34.27,-9.94,-2.87,-0.04,-0.48,0.93
21,-34.47,-9.88,-2.70,-0.04,-0.48,0.94
22,-34.84,-10.02,-2.69,-0.05,-0.49,0.94
23,-35.02,-9.36,-2.26,-0.04,-0.50,0.92
24,-35.51,-8.69,-1.77,-0.04,-0.49,0.93
25,-35.33,-8.34,-1.62,-0.03,-0.49,0.93
26,-34.75,-7.86,-1.63,-0.02,-0.50,0.92
27,-34.31,-7.28,-1.63,-0.03,-0.50,0.92
28,-34.12,-6.98,-1.86,-0.02,-0.49,0.90
29,-33.82,-6.38,-1.65,-0.02,-0.48,0.87
30,-34.38,-6.46,-1.88,-0.02,-0.48,0.84
31,-35.33,-7.02,-2.63,-0.02,-0.48,0.82
32,-36.89,-7.36,-2.73,-0.02,-0.47,0.81
33,-38.85,-7.82,-3.42,-0.02,-0.47,0.78
34,-40.81,-8.61,-3.62,-0.01,-0.47,0.76
35,-43.27,-9.24,-3.79,-0.02,-0.46,0.74
36,-44.90,-10.85,-4.20,-0.01,-0.48,0.73
37,-47.89,-12.34,-4.66,-0.02,-0.47,0.71
38,-50.49,-12.34,-4.81,0.00,-0.48,0.69
39,-53.86,-11.88,-4.43,0.00,-0.48,0.70
40,-56.61,-12.15,-5.05,0.02,-0.49,0.70
41,-58.61,-13.25,-5.66,0.02,-0.50,0.72
42,-61.53,-13.39,-6.53,0.02,-0.51,0.71
43,-63.51,-13.95,-6.72,0.03,-0.52,0.72
44,-65.31,-13.27,-6.60,0.02,-0.53,0.72
45,-66.81,-13.54,-6.47,0.02,-0.55,0.71
46,-68.67,-14.52,-6.08,0.01,-0.56,0.73
47,-70.14,-14.98,-5.57,0.03,-0.58,0.75
48,-71.28,-13.60,-5.01,0.04,-0.59,0.75
49,-72.27,-13.11,-5.08,0.04,-0.60,0.79
50,-72.70,-13.56,-5.69,0.05,-0.63,0.81
51,-72.18,-12.09,-5.68,0.06,-0.64,0.82
52,-72.17,-10.64,-5.45,0.06,-0.65,0.82
53,-72.23,-9.34,-6.06,0.07,-0.66,0.83
54,-72.32,-8.38,-6.92,0.07,-0.67,0.83
55,-72.79,-8.17,-8.20,0.07,-0.68,0.82
56,-72.81,-7.82,-8.84,0.07,-0.67,0.82
57,-72.93,-6.41,-9.27,0.06,-0.69,0.80
58,-73.74,-4.70,-9.88,0.05,-0.70,0.81
59,-74.27,-5.88,-9.94,0.03,-0.72,0.82
60,-73.63,-5.11,-9.13,0.05,-0.73,0.82
61,-73.56,-4.49,-8.34,0.04,-0.73,0.81
62,-74.06,-3.18,-7.86,0.05,-0.73,0.81
63,-73.27,-1.66,-7.40,0.05,-0.75,0.81
64,-71.89,-0.06,-7.39,0.05,-0.75,0.81
65,-70.11,1.94,-7.59,0.06,-0.75,0.81
66,-68.46,2.96,-7.57,0.05,-0.77,0.81
67,-66.34,4.03,-7.76,0.05,-0.77,0.80
68,-64.52,5.51,-7.37,0.03,-0.76,0.77
69,-63.16,6.38,-7.25,0.02,-0.76,0.74
70,-62.15,5.71,-7.98,0.02,-0.75,0.72
71,-61.91,4.00,-8.64,0.01,-0.75,0.70
72,-62.23,2.55,-9.45,0.01,-0.75,0.67
73,-63.51,1.21,-10.00,0.01,-0.74,0.66
74,-65.82,-1.08,-11.08,0.00,-0.75,0.63
75,-67.62,-4.02,-11.22,-0.01,-0.76,0.63
76,-70.35,-6.84,-11.01,-0.01,-0.77,0.63
77,-72.52,-7.95,-10.50,0.00,-0.78,0.63
78,-74.18,-7.02,-9.60,0.02,-0.78,0.62
79,-75.54,-4.95,-8.56,0.04,-0.79,0.63
80,-75.95,-2.89,-7.73,0.04,-0.80,0.63
81,-76.34,-2.29,-7.16,0.04,-0.81,0.63
82,-76.72,-0.35,-6.21,0.05,-0.82,0.63
83,-76.98,1.28,-5.31,0.06,-0.81,0.64
84,-76.99,1.15,-5.95,0.07,-0.83,0.65
85,-76.56,0.84,-6.44,0.08,-0.84,0.65
86,-76.34,1.74,-6.89,0.09,-0.85,0.67
87,-75.62,2.87,-7.18,0.10,-0.85,0.65
88,-74.87,3.74,-8.21,0.09,-0.87,0.64
89,-73.88,3.89,-8.99,0.09,-0.87,0.63
90,-72.75,2.53,-10.23,0.08,-0.88,0.62
91,-71.42,1.37,-11.51,0.07,-0.89,0.60
92,-71.37,1.47,-12.55,0.08,-0.88,0.58
93,-71.24,2.08,-13.85,0.10,-0.90,0.56
94,-71.05,-1.07,-15.98,0.07,-0.89,0.54
95,-70.37,-3.80,-16.73,0.06,-0.90,0.54
96,-72.09,-5.79,-17.11,0.06,-0.87,0.52
97,-72.40,-1.91,-15.24,0.09,-0.88,0.48
98,-74.87,1.27,-14.23,0.09,-0.87,0.45
99,-76.85,4.96,-13.13,0.11,-0.87,0.44
100,-78.14,8.20,-11.88,0.10,-0.88,0.43
101,-81.04,11.37,-11.24,0.11,-0.88,0.43
102,-81.97,15.92,-9.39,0.11,-0.88,0.42
103,-81.24,15.65,-9.47,0.10,-0.90,0.42
104,-80.26,10.93,-10.93,0.08,-0.90,0.41
105,-80.29,4.79,-12.99,0.08,-0.90,0.39
106,-80.90,-0.96,-16.05,0.08,-0.91,0.37
107,-81.76,-9.01,-20.08,0.10,-0.92,0.36
108,-83.85,-17.63,-24.63,0.10,-0.92,0.35
109,-82.12,-22.41,-26.11,0.11,-0.93,0.33
110,-80.23,-30.46,-29.59,0.10,-0.95,0.36
111,-79.59,-34.53,-32.11,0.13,-0.95,0.34
112,-80.17,-33.94,-32.32,0.15,-0.95,0.31
113,-81.37,-33.33,-32.40,0.13,-0.96,0.32
114,-83.21,-32.34,-31.28,0.13,-0.97,0.32
115,-84.63,-29.68,-29.57,0.14,-0.98,0.31
116,-86.40,-25.15,-27.13,0.15,-0.99,0.32
117,-87.25,-23.24,-25.65,0.14,-1.01,0.34
118,-88.14,-19.74,-23.69,0.16,-1.02,0.34
119,-88.55,-13.45,-21.18,0.17,-1.03,0.33
120,-89.98,-7.33,-19.22,0.17,-1.04,0.34
121,-90.23,-1.21,-16.98,0.18,-1.04,0.32
122,-90.69,5.02,-14.56,0.19,-1.05,0.32
123,-91.11,12.90,-12.11,0.19,-1.05,0.31
124,-91.28,19.54,-10.31,0.19,-1.06,0.31
125,-90.98,23.10,-9.11,0.18,-1.07,0.33
126,-90.79,23.47,-9.16,0.15,-1.09,0.34
127,-89.42,21.57,-9.51,0.15,-1.10,0.35
128,-87.68,18.03,-10.41,0.14,-1.11,0.36
129,-85.89,15.18,-11.63,0.14,-1.10,0.34
130,-83.51,13.19,-12.37,0.14,-1.11,0.34
131,-81.50,11.04,-13.45,0.14,-1.10,0.32
132,-79.39,10.87,-13.65,0.15,-1.10,0.31
133,-77.18,12.47,-13.71,0.16,-1.10,0.28
134,-75.92,12.96,-14.20,0.15,-1.10,0.28
135,-75.01,14.06,-13.98,0.15,-1.10,0.27
136,-74.32,16.52,-12.70,0.14,-1.10,0.24
137,-74.03,17.59,-11.42,0.12,-1.09,0.23
138,-72.95,19.65,-9.91,0.12,-1.09,0.21
139,-72.81,23.51,-8.06,0.11,-1.09,0.19
140,-72.61,27.13,-6.85,0.12,-1.08,0.17
141,-71.51,28.09,-6.64,0.12,-1.09,0.16
142,-70.02,26.75,-7.57,0.12,-1.08,0.16
143,-68.37,24.89,-8.75,0.12,-1.08,0.16
144,-67.82,21.44,-10.46,0.11,-1.08,0.16
145,-66.37,16.23,-13.02,0.11,-1.08,0.17
146,-63.97,10.06,-15.60,0.11,-1.08,0.18
147,-61.04,5.91,-17.28,0.11,-1.08,0.17
148,-58.37,2.05,-19.04,0.10,-1.07,0.15
149,-55.54,-1.01,-20.41,0.10,-1.07,0.14
150,-53.16,-2.70,-21.39,0.11,-1.06,0.09
151,-51.10,-3.79,-22.00,0.11,-1.05,0.08
152,-50.44,-5.51,-22.35,0.11,-1.05,0.08
153,-50.40,-7.40,-23.42,0.12,-1.04,0.07
154,-50.46,-7.89,-23.47,0.13,-1.04,0.04
155,-51.18,-9.92,-24.12,0.13,-1.04,0.05
156,-51.56,-10.20,-24.11,0.14,-1.05,0.04
157,-51.59,-9.18,-23.53,0.15,-1.04,0.03
