,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,17.85,-76.44,-23.92,-0.00,-0.81,1.82
1,42.87,-93.69,-38.98,-0.02,-0.86,1.90
2,68.40,-82.18,-35.47,0.10,-0.83,1.82
3,91.18,-61.27,-29.82,0.08,-0.80,1.81
4,115.27,-61.51,-27.60,0.01,-0.80,1.78
5,136.11,-38.41,-20.61,0.09,-0.78,1.71
6,155.30,-19.83,-13.08,0.11,-0.75,1.64
7,182.84,-1.19,-10.20,0.11,-0.79,1.51
8,184.34,8.02,-7.65,0.06,-0.68,1.44
9,186.78,15.37,3.30,0.05,-0.56,1.38
10,206.72,8.26,-0.26,-0.04,-0.60,1.23
11,228.75,25.08,1.48,0.08,-0.59,1.23
12,244.14,25.91,-0.35,0.01,-0.56,1.16
13,261.27,35.76,-1.82,0.06,-0.51,1.09
14,279.73,27.07,-5.91,-0.04,-0.51,1.01
15,308.11,16.43,-10.78,-0.05,-0.48,0.92
16,315.66,19.79,-14.17,0.02,-0.46,0.85
17,325.91,23.16,-17.40,0.06,-0.39,0.76
18,332.85,21.94,-22.81,0.07,-0.33,0.67
19,335.76,30.85,-24.47,0.11,-0.24,0.49
20,329.15,36.84,-25.54,0.07,-0.12,0.31
21,320.75,39.45,-24.99,0.01,-0.01,0.12
22,307.15,39.25,-21.88,-0.03,0.09,0.04
23,293.25,36.84,-18.67,-0.02,0.12,0.02
24,281.02,34.15,-17.53,-0.02,0.21,-0.13
25,257.65,29.89,-14.87,-0.06,0.36,-0.28
26,204.23,41.53,6.72,0.02,0.73,-0.43
27,180.92,46.84,3.73,-0.10,0.66,-0.61
28,159.27,27.04,0.37,-0.21,0.70,-0.65
29,115.27,40.40,9.39,-0.12,0.88,-0.72
30,88.96,43.13,8.78,-0.16,0.94,-0.75
31,64.55,41.47,20.32,-0.10,1.16,-0.89
32,15.30,22.23,-12.14,-0.15,1.15,-0.82
33,-13.71,25.95,-2.53,-0.09,1.22,-1.05
34,-54.38,37.15,14.29,-0.18,1.41,-1.16
35,-98.12,37.13,17.97,-0.27,1.35,-1.17
36,-155.89,30.93,21.15,-0.23,1.35,-1.16
37,-203.53,48.81,22.64,-0.17,1.21,-1.22
38,-257.88,64.60,27.97,-0.16,1.12,-1.09
39,-296.14,62.15,29.01,-0.15,0.82,-0.89
40,-337.86,62.55,27.01,-0.10,0.62,-0.77
41,-384.89,66.32,27.54,-0.09,0.47,-0.64
42,-422.29,75.31,33.68,-0.08,0.28,-0.54
43,-463.85,62.43,27.34,-0.17,0.15,-0.44
44,-489.11,42.63,19.31,-0.19,-0.04,-0.42
45,-500.27,15.85,4.90,-0.24,-0.32,-0.29
46,-500.27,-19.82,-4.44,-0.26,-0.55,-0.16
47,-500.27,-50.96,-22.06,-0.28,-0.84,-0.05
48,-500.27,-81.19,-26.14,-0.38,-1.47,0.34
49,-500.27,-117.08,-31.31,-0.36,-1.91,0.96
50,-481.82,-147.34,-34.96,-0.22,-2.29,1.49
51,-454.52,-119.31,-0.29,-0.01,-2.41,2.00
52,-388.41,-98.27,38.05,0.06,-2.66,2.47
53,-309.48,-73.19,66.93,0.22,-2.68,3.04
54,-230.26,-37.66,79.22,0.44,-2.66,3.51
55,-166.34,-0.99,79.68,0.52,-2.52,3.76
56,-108.52,25.66,67.86,0.46,-2.39,3.77
57,-51.57,20.34,40.85,0.29,-2.26,3.55
58,3.60,0.82,16.03,0.17,-2.04,3.23
59,66.67,-25.71,-8.85,0.07,-1.95,2.95
60,86.20,-40.73,-28.24,0.16,-1.75,3.01
61,134.56,-100.69,-56.52,0.08,-1.64,2.73
62,70.41,-62.06,-39.44,0.31,-1.25,2.53
63,127.34,-217.50,-124.00,-0.58,-1.66,2.37
64,172.12,-68.99,-59.22,0.57,-1.36,2.31
65,175.30,-11.86,-48.14,0.48,-1.13,2.35
66,194.11,-34.81,-70.66,0.20,-1.16,2.19
67,243.11,39.01,-28.79,0.64,-1.13,1.80
68,260.53,76.92,-5.28,0.27,-1.10,1.79
69,253.11,87.02,4.49,-0.28,-0.89,1.78
70,254.66,136.26,26.38,0.23,-0.89,1.63
71,262.43,140.14,27.51,0.16,-0.81,1.40
72,264.12,90.52,3.22,-0.11,-0.76,1.28
73,270.96,65.15,-8.26,-0.11,-0.74,1.21
74,287.05,50.81,-15.18,-0.21,-0.80,1.19
75,310.14,39.08,-18.40,-0.28,-0.86,1.27
76,333.10,35.74,-19.33,-0.19,-0.84,1.25
77,362.26,17.74,-30.37,-0.13,-0.85,1.14
78,380.75,15.11,-33.01,-0.05,-0.72,0.96
79,392.72,12.21,-34.92,-0.06,-0.62,0.74
80,395.92,19.25,-30.05,-0.06,-0.52,0.57
81,389.57,32.73,-20.14,-0.04,-0.39,0.38
82,378.63,41.59,-11.13,-0.07,-0.24,0.17
83,353.71,49.56,0.46,-0.07,-0.03,-0.02
84,326.24,51.45,9.45,-0.10,0.11,-0.16
85,300.96,48.09,13.53,-0.11,0.21,-0.19
86,274.75,40.12,17.30,-0.10,0.29,-0.18
87,256.93,31.02,12.90,-0.13,0.26,-0.29
88,235.28,17.19,10.18,-0.15,0.41,-0.34
89,238.58,27.95,16.55,-0.03,0.39,-0.41
90,223.28,47.27,23.07,-0.07,0.56,-0.44
91,186.44,40.67,19.76,-0.13,0.55,-0.20
92,151.60,34.99,17.69,-0.19,0.71,-0.62
93,125.24,35.59,25.89,-0.25,0.84,-0.82
94,101.60,28.53,29.21,-0.35,0.88,-0.85
95,71.59,17.82,32.52,-0.36,0.85,-0.76
96,35.54,8.52,36.15,-0.34,0.92,-0.83
97,1.18,-0.96,38.43,-0.29,0.97,-0.88
98,-32.79,-7.86,37.62,-0.24,0.96,-0.86
99,-71.47,-5.89,41.85,-0.15,0.97,-0.91
100,-104.58,-18.20,36.72,-0.17,0.88,-0.87
101,-144.79,-22.08,30.96,-0.05,0.85,-0.82
102,-177.30,-23.34,26.24,-0.03,0.80,-0.75
103,-210.84,-32.70,16.64,0.05,0.72,-0.67
104,-250.17,-9.65,32.08,0.22,0.69,-0.59
105,-280.84,-3.88,18.79,0.12,0.58,-0.55
106,-317.92,5.28,21.86,0.19,0.58,-0.55
107,-351.37,5.76,17.13,0.07,0.47,-0.46
108,-384.50,0.66,11.94,-0.02,0.35,-0.34
109,-408.00,-22.55,-2.37,-0.06,0.16,-0.20
110,-442.47,-22.90,3.08,0.04,0.07,-0.22
111,-466.70,-26.61,-1.05,-0.03,-0.15,-0.01
112,-485.45,-42.26,-6.99,-0.08,-0.38,0.08
113,-500.27,-58.92,-6.85,-0.08,-0.63,0.35
114,-500.27,-62.98,-1.94,-0.06,-0.96,0.64
115,-496.56,-33.56,17.47,0.03,-1.20,0.93
116,-474.37,-4.69,32.58,0.08,-1.44,1.31
117,-432.82,11.37,50.41,0.02,-1.64,1.67
118,-400.76,32.49,70.21,0.10,-1.69,2.24
119,-347.86,55.13,78.12,0.24,-1.82,2.72
120,-307.34,57.54,76.12,0.09,-1.69,2.98
121,-225.86,76.18,65.77,0.17,-1.82,3.23
122,-200.61,107.10,65.02,0.18,-1.54,3.04
123,-129.07,56.87,32.38,-0.20,-1.83,3.18
124,-71.95,15.69,17.24,-0.31,-1.53,2.99
125,-29.62,-49.89,-10.95,-0.26,-1.60,2.96
126,-26.58,-88.31,-42.79,-0.20,-1.40,2.79
127,10.66,-59.56,-38.20,-0.03,-1.32,2.60
128,24.11,-115.34,-69.54,-0.29,-1.16,2.48
129,161.50,-80.24,-56.17,-0.06,-1.49,2.62
130,141.53,-64.27,-40.37,-0.23,-1.10,2.46
131,160.73,-70.09,-53.50,0.00,-1.18,2.48
132,168.76,-40.49,-32.06,0.37,-0.82,1.96
133,171.77,-16.11,-38.67,0.29,-0.72,1.89
134,166.12,37.07,-14.72,0.11,-0.81,1.85
135,162.32,58.73,-2.84,0.27,-0.65,1.57
136,170.23,81.51,0.53,0.20,-0.74,1.76
137,183.69,91.60,-0.47,0.18,-0.84,1.88
138,219.57,94.21,-3.76,0.13,-0.90,1.89
139,248.35,111.36,-3.45,0.15,-0.86,1.77
140,271.05,119.59,-3.95,0.07,-0.83,1.62
141,300.29,124.52,-6.53,-0.01,-0.91,1.39
142,302.37,116.46,-6.29,-0.07,-0.77,1.33
143,318.37,112.40,-6.40,-0.07,-0.69,1.20
144,329.04,114.93,-3.16,-0.07,-0.65,1.06
145,327.91,126.43,5.95,-0.10,-0.49,0.87
146,320.11,123.18,12.58,-0.22,-0.41,0.68
147,311.83,85.02,12.08,-0.34,-0.31,0.48
148,304.47,50.49,8.73,-0.32,-0.18,0.31
149,297.71,33.45,6.11,-0.23,-0.09,0.26
150,289.80,23.34,4.75,-0.21,-0.02,0.22
151,282.55,11.91,2.93,-0.22,-0.03,0.05
152,267.11,-1.13,2.69,-0.24,0.18,-0.03
153,254.90,-18.93,1.16,-0.24,0.21,-0.14
154,241.10,-23.62,0.95,-0.17,0.29,-0.22
155,226.26,3.53,10.90,-0.04,0.39,-0.23
156,205.19,-3.74,6.84,-0.20,0.36,-0.30
157,181.30,-1.24,13.54,-0.08,0.50,-0.47
158,157.16,9.37,13.97,-0.08,0.58,-0.62
159,120.87,15.91,14.38,-0.03,0.72,-0.71
160,82.41,27.83,17.45,-0.00,0.84,-0.85
161,51.18,45.36,19.27,0.01,0.82,-0.82
162,8.02,51.82,16.00,-0.07,0.89,-0.95
163,-33.89,48.35,5.76,-0.19,0.94,-0.99
164,-99.10,63.28,18.20,-0.12,1.06,-1.14
165,-142.09,45.44,-0.43,-0.26,0.92,-1.03
166,-176.63,50.66,3.91,-0.24,0.78,-0.83
167,-221.07,59.76,17.21,-0.14,0.78,-0.65
168,-245.92,53.21,8.56,-0.23,0.51,-0.56
169,-264.87,32.66,-5.97,-0.22,0.39,-0.38
170,-293.77,23.60,-12.06,-0.21,0.35,-0.34
171,-310.35,16.79,-20.50,-0.21,0.26,-0.28
172,-331.48,-1.30,-33.31,-0.24,0.18,-0.19
173,-344.27,-19.59,-44.75,-0.23,0.08,-0.11
