,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,2.43,4.02,5.86,-0.06,-0.04,1.03
1,2.58,4.85,7.86,-0.08,-0.02,1.00
2,1.69,-0.12,4.95,-0.11,-0.07,1.07
3,0.79,-4.84,4.26,-0.07,-0.04,1.05
4,0.09,-3.66,4.95,-0.07,-0.03,1.04
5,-1.31,-5.22,6.21,-0.07,-0.04,1.06
6,-0.87,-7.97,4.95,-0.08,-0.06,1.08
7,0.41,-9.01,3.59,-0.08,-0.06,1.08
8,2.34,-8.05,3.50,-0.06,-0.05,1.07
9,3.92,-7.57,3.53,-0.08,-0.05,1.08
10,5.30,-7.10,3.73,-0.08,-0.06,1.08
11,5.77,-6.08,3.60,-0.08,-0.04,1.08
12,5.51,-4.11,4.35,-0.08,-0.05,1.06
13,4.72,-3.82,4.75,-0.09,-0.04,1.06
14,3.71,-4.00,5.77,-0.08,-0.04,1.06
15,3.68,-4.00,5.82,-0.08,-0.05,1.05
16,2.14,-3.86,6.81,-0.08,-0.04,1.05
17,1.42,-3.22,7.24,-0.09,-0.05,1.05
18,0.50,-2.02,7.88,-0.08,-0.04,1.07
19,0.11,-0.95,8.37,-0.09,-0.05,1.06
20,0.38,0.92,9.33,-0.10,-0.05,1.07
21,0.27,3.53,10.08,-0.10,-0.06,1.07
22,1.56,4.06,11.62,-0.11,-0.06,1.09
23,1.97,6.32,12.38,-0.10,-0.06,1.07
24,2.95,7.05,14.08,-0.11,-0.05,1.08
25,3.05,6.00,15.08,-0.10,-0.05,1.09
26,3.83,5.22,16.27,-0.10,-0.05,1.10
27,3.63,7.13,17.45,-0.08,-0.04,1.09
28,5.24,8.87,19.45,-0.09,-0.04,1.06
29,4.89,4.11,15.91,-0.13,-0.07,1.12
30,7.62,2.58,17.10,-0.09,-0.06,1.08
31,7.91,3.08,17.42,-0.11,-0.05,1.07
32,7.51,4.63,18.92,-0.11,-0.04,1.04
33,7.45,4.40,17.97,-0.11,-0.05,1.05
34,5.65,4.38,18.76,-0.12,-0.03,1.05
35,6.17,4.11,20.08,-0.13,-0.04,1.05
36,4.52,3.07,21.76,-0.14,-0.03,1.04
37,4.46,3.51,22.17,-0.13,-0.04,1.05
38,4.46,1.51,22.12,-0.14,-0.04,1.05
39,4.17,-0.72,23.85,-0.16,-0.04,1.06
40,4.47,-2.50,24.93,-0.16,-0.04,1.06
41,4.78,-3.37,25.80,-0.15,-0.05,1.06
42,4.75,-5.31,26.75,-0.15,-0.04,1.09
43,4.53,-5.44,27.77,-0.15,-0.04,1.08
44,5.34,-4.52,28.73,-0.13,-0.05,1.08
45,4.61,-3.89,30.03,-0.13,-0.04,1.08
46,5.53,-2.26,30.89,-0.13,-0.05,1.06
47,4.70,-3.97,32.27,-0.14,-0.03,1.07
48,4.76,-2.06,33.47,-0.12,-0.04,1.06
49,4.44,-1.39,34.41,-0.11,-0.04,1.08
50,4.87,-1.44,35.28,-0.11,-0.03,1.08
51,5.47,-4.47,35.47,-0.13,-0.05,1.10
52,5.60,-5.42,35.25,-0.10,-0.03,1.08
53,6.44,-3.11,36.12,-0.08,-0.03,1.06
54,5.62,-3.19,36.20,-0.09,-0.03,1.08
55,5.97,-3.08,36.70,-0.08,-0.03,1.07
56,5.88,-2.78,37.07,-0.07,-0.03,1.07
57,4.73,-1.83,37.53,-0.07,-0.02,1.08
58,4.44,-0.81,37.13,-0.06,-0.02,1.06
59,3.89,0.47,37.42,-0.07,-0.02,1.08
60,3.71,0.08,37.53,-0.08,-0.02,1.07
61,3.83,-1.05,38.00,-0.09,-0.02,1.07
62,3.73,-2.29,38.31,-0.10,-0.02,1.06
63,4.53,-4.24,38.81,-0.09,-0.03,1.08
64,3.69,-7.19,39.50,-0.09,-0.02,1.08
65,3.98,-10.12,38.92,-0.09,-0.03,1.07
66,4.49,-11.76,38.78,-0.09,-0.03,1.06
67,5.33,-14.29,38.99,-0.09,-0.04,1.07
68,5.69,-16.52,40.05,-0.09,-0.04,1.07
69,6.31,-16.43,40.44,-0.06,-0.04,1.06
70,5.21,-12.24,40.11,-0.08,-0.04,1.08
71,6.95,-16.76,34.44,-0.05,-0.03,1.05
72,3.27,-6.60,44.78,0.02,-0.01,1.02
73,8.85,-16.76,37.25,-0.08,-0.04,1.03
74,5.28,-15.77,41.18,-0.01,-0.01,1.02
75,4.26,-16.56,38.85,-0.03,-0.02,1.01
76,2.20,-11.08,41.79,0.01,0.00,1.00
77,2.47,-16.17,40.17,-0.05,-0.02,1.02
78,1.42,-14.85,42.52,-0.00,-0.00,1.03
79,1.83,-15.82,42.03,-0.02,-0.02,1.04
80,2.12,-12.37,43.54,0.00,-0.01,1.04
81,3.11,-8.21,44.40,0.00,-0.02,1.04
82,3.91,-5.54,44.26,-0.00,-0.03,1.06
83,4.23,-0.50,44.23,-0.00,-0.02,1.06
84,8.20,-1.73,46.08,-0.03,-0.03,1.09
85,9.04,-0.11,44.90,-0.02,-0.04,1.08
86,7.83,0.34,44.53,-0.02,-0.03,1.11
87,8.14,-0.82,42.96,-0.01,-0.02,1.10
88,10.47,-8.29,41.15,-0.05,-0.03,1.11
89,12.35,-17.22,39.88,-0.05,-0.02,1.09
90,12.87,-21.69,39.44,-0.03,-0.01,1.09
91,12.81,-19.60,39.24,-0.00,-0.01,1.09
92,12.66,-15.69,38.87,0.01,-0.00,1.09
93,13.76,-13.31,39.15,0.01,0.01,1.11
94,13.83,-9.57,39.80,0.01,0.01,1.09
95,14.85,-3.40,40.12,0.02,0.01,1.09
96,12.79,2.73,41.73,0.02,0.03,1.10
97,15.21,0.73,40.32,-0.02,0.01,1.10
98,12.90,1.71,42.52,0.00,0.03,1.11
99,11.98,0.38,41.02,-0.02,0.03,1.09
100,10.95,-0.31,40.50,0.00,0.03,1.08
101,11.10,-5.30,39.71,-0.02,0.03,1.09
102,11.07,-9.16,39.08,-0.02,0.02,1.09
103,10.92,-11.33,38.67,-0.02,0.03,1.08
104,11.02,-11.62,38.50,-0.01,0.03,1.07
105,11.40,-11.48,38.38,-0.02,0.03,1.06
106,11.76,-11.80,39.08,-0.02,0.04,1.08
107,11.21,-11.24,39.89,-0.02,0.04,1.08
108,10.32,-9.28,40.44,-0.01,0.03,1.08
109,9.71,-7.62,40.85,-0.01,0.04,1.07
110,8.84,-7.60,41.54,-0.01,0.05,1.07
111,8.37,-7.37,41.28,-0.01,0.04,1.07
112,8.76,-7.92,41.08,-0.01,0.04,1.08
113,8.64,-8.32,41.22,-0.01,0.05,1.08
114,9.31,-7.60,41.07,-0.00,0.04,1.07
115,10.11,-8.76,41.13,-0.01,0.05,1.07
116,10.40,-7.89,41.16,0.01,0.05,1.06
117,10.03,-7.77,41.02,0.01,0.06,1.07
118,10.15,-6.87,40.90,0.02,0.05,1.07
119,9.71,-7.22,40.82,0.02,0.06,1.07
120,9.42,-7.57,41.02,0.01,0.05,1.07
121,9.88,-7.33,41.02,0.02,0.05,1.06
122,9.80,-7.85,40.95,0.01,0.05,1.07
123,10.17,-7.98,41.07,0.02,0.05,1.06
124,10.69,-8.00,40.82,0.02,0.06,1.07
125,11.04,-6.93,40.89,0.03,0.06,1.05
126,11.66,-6.06,40.90,0.02,0.06,1.05
127,12.03,-5.36,41.37,0.02,0.06,1.05
128,11.94,-4.56,41.22,0.03,0.07,1.04
129,11.65,-3.54,41.18,0.03,0.06,1.03
130,10.87,-3.57,41.56,0.03,0.07,1.04
131,10.09,-4.34,41.48,0.03,0.08,1.03
132,9.56,-4.95,41.80,0.04,0.07,1.03
133,9.02,-5.30,42.06,0.03,0.08,1.04
134,8.76,-5.74,41.50,0.04,0.07,1.05
135,8.64,-5.62,41.25,0.04,0.07,1.05
136,9.02,-5.11,41.25,0.04,0.08,1.04
137,8.93,-4.89,40.98,0.04,0.08,1.05
138,8.93,-4.27,41.13,0.04,0.08,1.05
139,8.56,-3.92,41.31,0.05,0.07,1.05
140,8.02,-4.52,41.69,0.04,0.08,1.06
141,7.91,-4.17,41.60,0.05,0.08,1.06
142,7.44,-4.81,41.31,0.05,0.08,1.06
143,7.51,-4.38,41.24,0.06,0.08,1.06
144,7.53,-3.30,40.67,0.06,0.08,1.05
145,7.62,-1.94,40.58,0.06,0.08,1.04
146,8.31,-1.19,40.70,0.05,0.08,1.04
147,8.24,-1.71,40.82,0.04,0.08,1.04
148,8.27,-1.68,40.84,0.05,0.08,1.04
149,7.79,-1.45,40.84,0.05,0.09,1.04
150,7.08,-1.80,40.73,0.05,0.08,1.04
151,6.29,-2.87,40.79,0.05,0.09,1.05
152,6.05,-3.83,40.96,0.04,0.08,1.04
153,5.92,-4.85,40.63,0.03,0.08,1.05
154,5.69,-5.68,40.43,0.04,0.08,1.06
155,5.69,-5.63,40.61,0.05,0.08,1.06
156,5.50,-5.04,40.76,0.04,0.08,1.05
157,5.68,-3.95,40.47,0.04,0.07,1.05
158,5.69,-3.18,40.73,0.05,0.08,1.06
159,5.65,-1.54,41.33,0.05,0.08,1.06
160,5.24,0.81,42.23,0.06,0.08,1.07
161,5.10,2.98,42.67,0.07,0.08,1.07
162,4.72,4.38,42.92,0.07,0.08,1.07
163,4.76,5.68,43.08,0.06,0.08,1.06
164,5.13,6.87,43.54,0.07,0.08,1.05
165,5.50,6.27,43.63,0.05,0.08,1.06
166,5.91,5.94,43.30,0.06,0.08,1.05
167,6.05,5.56,43.30,0.07,0.08,1.05
168,5.79,4.37,43.18,0.07,0.09,1.06
169,5.80,3.19,43.16,0.07,0.09,1.06
170,5.74,2.23,43.11,0.07,0.09,1.04
171,5.66,2.05,43.01,0.08,0.09,1.04
172,5.34,2.20,42.31,0.08,0.09,1.05
173,4.55,2.00,41.63,0.07,0.09,1.04
174,4.12,1.25,41.30,0.07,0.09,1.05
175,4.21,0.58,41.18,0.06,0.09,1.04
176,3.85,-1.05,41.79,0.05,0.09,1.05
177,2.93,-1.54,41.25,0.06,0.09,1.05
178,3.27,-2.24,41.50,0.05,0.07,1.05
179,3.30,-1.98,41.85,0.06,0.09,1.04
180,3.47,-0.90,42.12,0.06,0.09,1.05
181,4.17,-0.37,42.72,0.06,0.08,1.05
182,4.49,0.21,43.21,0.05,0.09,1.05
183,3.89,1.59,43.71,0.07,0.09,1.05
184,3.34,4.02,44.00,0.07,0.09,1.04
185,2.81,4.79,43.85,0.06,0.10,1.05
186,2.55,3.80,43.95,0.04,0.09,1.06
187,2.03,2.11,44.37,0.04,0.09,1.04
188,1.94,1.33,44.56,0.06,0.08,1.04
189,1.44,0.46,44.26,0.06,0.09,1.04
190,1.02,0.61,44.47,0.06,0.08,1.05
191,1.22,1.07,44.43,0.06,0.08,1.05
192,1.10,2.08,44.76,0.07,0.09,1.07
193,1.05,3.63,45.02,0.07,0.08,1.07
194,1.33,5.27,45.76,0.07,0.08,1.06
195,1.37,7.08,46.12,0.07,0.09,1.06
196,1.39,9.13,46.56,0.08,0.08,1.06
197,1.30,10.63,47.01,0.06,0.09,1.05
198,1.19,10.99,47.37,0.05,0.09,1.05
199,1.10,11.05,47.66,0.05,0.09,1.05
200,1.10,10.82,47.92,0.04,0.09,1.05
201,1.05,9.31,47.95,0.03,0.09,1.05
202,1.05,7.40,48.03,0.03,0.09,1.05
203,0.43,5.59,48.11,0.03,0.08,1.05
204,0.11,2.32,47.53,0.03,0.08,1.04
205,-0.23,-0.92,47.47,0.03,0.09,1.04
206,-0.09,-2.52,47.88,0.04,0.08,1.04
207,-0.11,-4.41,48.89,0.03,0.07,1.05
