,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,0.63,0.40,0.19,-0.16,1.04,"30.13[0m
"
1,2.26,1.57,0.73,0.18,-0.16,1.04
2,2.56,1.40,0.66,0.20,-0.15,1.07
3,3.45,1.40,0.20,0.20,-0.16,1.05
4,3.77,1.08,-0.70,0.20,-0.16,1.05
5,3.92,1.10,-0.32,0.19,-0.15,1.05
6,3.73,0.32,-0.38,0.18,-0.14,1.05
7,3.40,-0.75,-0.41,0.18,-0.13,1.04
8,3.08,-1.33,-0.03,0.19,-0.13,1.05
9,3.54,-1.98,0.53,0.20,-0.14,1.06
10,4.03,-1.74,0.50,0.21,-0.14,1.06
11,5.01,-1.36,0.11,0.23,-0.14,1.06
12,5.42,-0.81,0.18,0.24,-0.15,1.07
13,6.78,-0.15,-1.24,0.26,-0.16,1.08
14,8.14,2.02,-2.52,0.27,-0.15,1.08
15,9.05,3.98,-3.08,0.26,-0.15,1.07
16,9.83,3.45,-4.92,0.26,-0.15,1.07
17,10.73,3.30,-6.41,0.25,-0.15,1.07
18,11.25,2.63,-6.81,0.24,-0.14,1.05
19,11.40,2.60,-7.71,0.23,-0.13,1.06
20,12.81,0.56,-9.21,0.23,-0.12,1.07
21,12.58,2.31,-9.89,0.24,-0.13,1.03
22,12.43,0.82,-11.74,0.23,-0.13,1.06
23,13.15,0.32,-13.08,0.26,-0.12,1.05
24,13.68,-1.02,-16.12,0.25,-0.12,1.06
25,14.20,-2.21,-18.69,0.26,-0.13,1.05
26,14.95,-3.62,-21.40,0.25,-0.12,1.06
27,16.12,-5.89,-25.02,0.23,-0.14,1.06
28,17.54,-7.11,-27.37,0.23,-0.13,1.07
29,18.93,-9.59,-30.58,0.22,-0.14,1.07
30,19.45,-10.29,-32.50,0.21,-0.13,1.05
31,19.94,-10.75,-35.88,0.22,-0.14,1.05
32,20.43,-13.76,-40.60,0.22,-0.14,1.05
33,20.12,-15.45,-44.58,0.23,-0.13,1.05
34,19.47,-15.13,-47.56,0.22,-0.13,1.03
35,18.52,-13.31,-48.31,0.19,-0.12,1.03
36,16.15,-14.43,-47.91,0.13,-0.11,1.02
