,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,4.12,-3.07,-11.77,-0.01,-0.22,1.09
1,4.11,-6.32,-13.60,-0.00,-0.22,1.10
2,4.27,-8.98,-15.11,-0.01,-0.24,1.10
3,5.48,-12.03,-16.58,0.01,-0.25,1.11
4,6.15,-13.86,-18.23,0.03,-0.26,1.11
5,7.71,-14.52,-19.91,0.05,-0.26,1.12
6,9.18,-13.04,-19.95,0.05,-0.26,1.11
7,10.50,-12.21,-20.38,0.06,-0.25,1.11
8,11.33,-10.47,-21.25,0.09,-0.24,1.10
9,11.77,-5.69,-21.39,0.11,-0.24,1.10
10,11.91,0.72,-21.19,0.11,-0.23,1.07
11,11.19,6.82,-21.45,0.11,-0.23,1.07
12,10.85,11.11,-22.27,0.09,-0.22,1.05
13,10.69,15.57,-23.15,0.09,-0.23,1.05
14,10.44,18.49,-24.09,0.07,-0.23,1.04
15,9.76,19.53,-25.22,0.06,-0.22,1.04
16,9.40,19.01,-26.41,0.05,-0.22,1.05
17,9.88,18.63,-27.57,0.03,-0.22,1.04
18,10.50,16.96,-29.18,0.02,-0.22,1.06
19,10.96,15.88,-31.25,0.01,-0.23,1.05
20,10.73,15.85,-32.76,-0.00,-0.22,1.03
21,10.78,16.35,-33.57,-0.02,-0.21,1.04
22,10.85,16.02,-34.38,-0.04,-0.21,1.04
23,10.87,16.00,-35.10,-0.04,-0.20,1.04
24,10.84,16.79,-35.22,-0.05,-0.20,1.02
25,10.29,16.87,-35.34,-0.07,-0.19,1.02
26,9.97,15.88,-36.00,-0.08,-0.19,1.01
27,9.97,15.56,-36.40,-0.09,-0.20,1.01
28,9.42,15.85,-36.43,-0.09,-0.20,1.01
29,8.09,15.44,-36.93,-0.10,-0.19,1.01
30,7.36,14.24,-37.57,-0.10,-0.20,1.02
31,6.92,13.07,-38.55,-0.10,-0.20,1.02
32,6.85,11.74,-39.59,-0.11,-0.21,1.03
33,6.27,10.99,-40.00,-0.11,-0.20,1.03
34,6.53,9.65,-40.49,-0.11,-0.21,1.04
35,6.90,9.50,-41.31,-0.11,-0.20,1.04
36,6.95,9.05,-41.42,-0.12,-0.21,1.03
37,7.10,8.73,-41.19,-0.12,-0.21,1.03
38,6.41,8.56,-40.85,-0.11,-0.20,1.03
39,7.04,8.78,-40.79,-0.12,-0.21,1.03
40,6.76,7.39,-41.25,-0.12,-0.21,1.03
41,6.85,5.50,-42.08,-0.12,-0.22,1.04
42,6.73,2.90,-41.79,-0.12,-0.21,1.04
43,7.02,0.02,-42.38,-0.11,-0.22,1.05
44,7.66,-1.60,-43.05,-0.09,-0.22,1.05
45,7.66,-2.24,-44.00,-0.09,-0.22,1.05
46,7.83,-2.89,-44.76,-0.09,-0.22,1.05
47,7.69,-3.40,-45.15,-0.08,-0.21,1.05
48,8.05,-1.56,-45.30,-0.07,-0.21,1.05
49,8.69,1.18,-45.08,-0.06,-0.21,1.06
50,9.05,2.90,-45.10,-0.07,-0.20,1.06
51,9.07,4.17,-45.22,-0.09,-0.21,1.05
52,8.75,5.31,-45.11,-0.08,-0.21,1.06
53,9.19,4.47,-45.42,-0.10,-0.22,1.07
54,9.73,4.64,-46.03,-0.10,-0.21,1.08
55,9.91,5.07,-46.14,-0.11,-0.21,1.07
56,10.06,5.07,-46.63,-0.12,-0.21,1.09
57,10.08,6.29,-46.52,-0.12,-0.21,1.08
58,10.27,8.58,-45.82,-0.12,-0.20,1.08
59,10.27,9.28,-45.44,-0.14,-0.21,1.08
60,10.32,10.58,-45.01,-0.13,-0.20,1.07
61,10.41,12.20,-44.29,-0.13,-0.20,1.08
62,10.50,14.27,-43.92,-0.14,-0.20,1.08
63,10.79,14.02,-43.62,-0.15,-0.20,1.08
64,11.04,13.88,-43.74,-0.16,-0.20,1.08
65,11.44,12.50,-43.62,-0.17,-0.21,1.07
66,11.28,11.79,-43.63,-0.17,-0.20,1.07
67,12.43,11.13,-44.05,-0.17,-0.22,1.07
68,12.56,10.75,-43.79,-0.18,-0.21,1.08
69,13.04,11.48,-43.19,-0.18,-0.21,1.07
70,13.86,12.52,-42.15,-0.18,-0.19,1.05
71,14.32,14.11,-41.02,-0.18,-0.19,1.06
72,14.75,15.51,-40.35,-0.18,-0.18,1.05
73,14.32,15.57,-39.51,-0.20,-0.17,1.03
74,13.36,13.94,-39.21,-0.23,-0.17,1.03
75,13.18,11.53,-38.81,-0.24,-0.18,1.02
76,13.18,9.08,-38.49,-0.23,-0.18,1.03
77,12.99,6.81,-38.63,-0.25,-0.19,1.02
78,12.41,5.97,-38.11,-0.24,-0.18,1.02
79,11.65,5.83,-37.27,-0.24,-0.16,1.01
80,11.34,5.34,-36.53,-0.23,-0.16,1.02
81,11.04,4.99,-36.64,-0.23,-0.15,1.02
82,10.29,5.45,-35.63,-0.23,-0.15,1.02
83,9.69,5.68,-35.04,-0.25,-0.15,1.03
84,8.96,5.08,-33.83,-0.23,-0.16,1.06
85,9.83,5.04,-32.90,-0.23,-0.16,1.06
86,10.66,5.50,-32.52,-0.24,-0.17,1.06
87,10.89,5.92,-31.91,-0.23,-0.18,1.06
88,10.40,6.82,-30.11,-0.21,-0.16,1.05
89,10.69,6.20,-29.19,-0.20,-0.16,1.06
90,10.75,6.24,-28.53,-0.18,-0.16,1.09
91,11.63,5.79,-29.48,-0.16,-0.16,1.09
92,12.81,6.44,-29.89,-0.16,-0.16,1.08
93,12.95,7.27,-29.28,-0.16,-0.14,1.07
94,13.48,7.34,-29.39,-0.17,-0.14,1.05
95,13.80,7.04,-29.44,-0.17,-0.15,1.04
96,13.82,7.13,-29.34,-0.16,-0.15,1.04
97,13.73,6.21,-29.57,-0.16,-0.15,1.03
98,13.60,4.46,-30.02,-0.17,-0.14,1.02
99,13.22,2.44,-30.32,-0.17,-0.15,1.02
100,12.38,0.70,-30.15,-0.17,-0.14,1.01
101,11.57,-1.51,-30.23,-0.16,-0.15,1.02
102,10.95,-4.12,-30.84,-0.14,-0.15,1.02
103,10.63,-4.95,-31.48,-0.12,-0.15,1.03
104,9.97,-5.34,-31.94,-0.11,-0.15,1.02
105,9.25,-5.45,-32.47,-0.09,-0.14,1.03
106,9.30,-6.72,-33.24,-0.09,-0.15,1.04
107,8.96,-8.40,-34.11,-0.09,-0.16,1.06
