,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,0.29,-2.23,0.37,-0.00,-0.21,1.04
1,0.05,-3.13,0.53,-0.01,-0.20,1.04
2,-0.50,-3.21,0.72,0.01,-0.20,1.04
3,-0.90,-2.90,0.53,0.01,-0.20,1.03
4,-1.05,-2.49,0.20,0.01,-0.21,1.04
5,-1.45,-1.50,0.24,0.02,-0.20,1.03
6,-1.80,-0.35,0.47,0.01,-0.21,1.03
7,-2.29,0.08,0.56,0.01,-0.20,1.04
8,-2.69,-0.24,0.40,0.01,-0.20,1.04
9,-2.64,-1.11,0.12,0.01,-0.20,1.06
10,-2.38,-1.73,-0.47,0.01,-0.22,1.06
11,-1.92,-2.02,-0.17,0.00,-0.21,1.05
12,-1.45,-2.11,-0.38,0.00,-0.21,1.05
13,-1.19,-2.69,-0.20,0.01,-0.22,1.07
14,-0.44,-2.38,-0.17,0.01,-0.22,1.07
15,0.58,-0.90,0.21,0.01,-0.22,1.07
16,1.18,-0.35,0.49,0.00,-0.22,1.07
17,1.36,-0.44,0.72,0.00,-0.22,1.06
18,1.97,0.31,0.99,0.01,-0.22,1.06
19,1.94,1.36,0.90,0.01,-0.21,1.05
20,1.45,1.24,0.89,0.01,-0.21,1.04
21,1.28,0.72,0.79,0.00,-0.21,1.03
22,0.92,0.60,0.56,0.00,-0.20,1.03
23,0.84,-0.06,0.40,0.00,-0.21,1.04
24,0.53,-1.80,0.11,0.01,-0.20,1.04
25,0.67,-2.17,0.00,0.01,-0.20,1.04
26,0.76,-1.94,0.08,0.02,-0.20,1.04
27,0.84,-1.71,0.02,0.02,-0.19,1.04
28,0.69,-2.41,0.05,0.00,-0.20,1.04
29,0.70,-3.08,-0.14,0.01,-0.20,1.05
30,1.04,-2.47,0.05,0.00,-0.20,1.02
31,0.53,-1.94,0.32,0.01,-0.21,1.03
32,0.52,-2.78,0.18,-0.01,-0.20,1.04
33,0.44,-2.52,0.58,-0.00,-0.21,1.04
34,0.43,-2.75,0.29,0.01,-0.20,1.04
