,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,-2.20,12.49,-24.12,0.30,-0.24,1.01
1,-2.73,10.89,-25.31,0.31,-0.25,1.01
2,-2.72,9.22,-26.53,0.30,-0.26,1.02
3,-2.84,7.51,-27.68,0.29,-0.26,1.03
4,-3.22,6.66,-28.66,0.29,-0.26,1.04
5,-2.47,7.79,-28.87,0.27,-0.27,1.04
6,-2.79,8.63,-29.19,0.25,-0.27,1.04
7,-2.61,9.36,-29.50,0.25,-0.26,1.04
8,-2.58,10.67,-29.54,0.24,-0.27,1.05
9,-2.20,10.87,-29.45,0.22,-0.27,1.05
10,-1.68,11.31,-29.10,0.22,-0.27,1.04
11,-2.23,12.50,-28.87,0.23,-0.27,1.04
12,-2.14,12.52,-28.95,0.23,-0.27,1.05
13,-1.98,11.76,-29.21,0.22,-0.27,1.04
14,-1.44,11.39,-29.44,0.23,-0.27,1.04
15,-1.21,10.89,-30.03,0.23,-0.26,1.06
16,-1.51,10.26,-30.61,0.23,-0.26,1.05
17,-1.34,8.78,-31.30,0.22,-0.27,1.04
18,-1.47,5.89,-32.38,0.22,-0.27,1.04
19,-1.63,3.59,-32.73,0.21,-0.26,1.03
20,-2.12,2.50,-32.98,0.22,-0.26,1.03
21,-2.29,0.56,-33.44,0.21,-0.27,1.03
22,-2.32,-0.78,-33.80,0.21,-0.27,1.04
23,-2.41,-1.69,-33.88,0.21,-0.27,1.04
24,-2.17,-2.29,-33.82,0.21,-0.27,1.04
25,-2.02,-1.80,-33.62,0.21,-0.26,1.05
26,-1.57,-1.53,-33.36,0.21,-0.27,1.04
27,-1.82,-1.65,-32.87,0.21,-0.27,1.04
28,-1.57,-0.35,-32.73,0.22,-0.26,1.03
29,-1.85,0.38,-32.64,0.24,-0.27,1.03
30,-2.14,1.74,-32.82,0.25,-0.26,1.04
31,-2.55,2.06,-32.89,0.24,-0.27,1.03
32,-2.44,1.13,-32.70,0.23,-0.27,1.03
33,-2.66,1.65,-32.90,0.24,-0.27,1.02
34,-2.52,2.37,-32.96,0.24,-0.27,1.02
35,-2.72,0.63,-33.77,0.24,-0.27,1.02
36,-2.96,-0.55,-34.17,0.24,-0.27,1.03
37,-3.01,-3.04,-34.60,0.23,-0.27,1.02
38,-3.15,-4.18,-34.32,0.23,-0.27,1.02
39,-3.05,-3.98,-34.31,0.23,-0.28,1.04
40,-2.29,-4.82,-34.53,0.23,-0.28,1.04
41,-1.76,-5.63,-34.37,0.24,-0.28,1.03
42,-1.24,-5.30,-34.61,0.24,-0.28,1.04
43,-1.05,-5.13,-34.85,0.25,-0.28,1.04
44,-1.42,-4.84,-34.69,0.25,-0.27,1.03
45,-1.59,-3.42,-34.53,0.26,-0.27,1.03
46,-0.93,-1.31,-34.21,0.26,-0.27,1.02
47,-0.90,0.61,-34.17,0.26,-0.27,1.03
48,-0.40,1.31,-34.05,0.26,-0.27,1.03
49,-0.06,-0.82,-34.61,0.26,-0.27,1.02
50,-0.32,-2.61,-35.08,0.26,-0.27,1.02
51,-0.06,-5.10,-35.95,0.26,-0.27,1.02
52,-0.49,-5.80,-35.98,0.25,-0.27,1.01
53,-0.96,-5.27,-36.00,0.27,-0.27,1.00
54,-0.99,-5.28,-35.97,0.26,-0.27,1.00
55,-1.51,-4.78,-35.71,0.25,-0.27,0.99
56,-1.59,-4.72,-35.30,0.26,-0.26,1.00
57,-1.73,-4.64,-35.42,0.27,-0.27,1.00
58,-1.65,-1.98,-34.64,0.28,-0.26,1.02
59,-1.33,-0.81,-34.58,0.29,-0.27,1.02
