,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,28.05,10.00,6.34,0.01,0.12,1.08
1,27.95,10.37,6.12,0.01,0.12,1.07
2,28.06,10.70,6.05,0.01,0.12,1.08
3,28.32,10.32,5.83,0.01,0.13,1.07
4,28.56,10.14,5.30,0.01,0.13,1.07
5,29.15,9.13,4.81,0.01,0.13,1.07
6,29.73,8.05,4.12,0.00,0.13,1.06
7,30.38,7.65,3.15,-0.00,0.14,1.05
8,30.87,7.01,2.92,0.00,0.15,1.04
9,30.60,7.42,2.84,0.00,0.15,1.04
10,30.40,7.77,3.07,-0.00,0.16,1.03
11,30.08,8.60,3.31,0.00,0.17,1.04
12,29.54,9.05,3.59,-0.00,0.17,1.02
13,29.27,8.44,3.66,-0.01,0.17,1.03
14,28.76,8.14,4.02,-0.02,0.17,1.04
15,28.81,8.03,4.44,-0.02,0.18,1.03
16,28.82,9.33,4.90,-0.01,0.17,1.03
17,28.89,10.99,5.13,-0.01,0.18,1.03
18,28.90,12.70,5.19,-0.01,0.18,1.03
19,28.44,13.89,5.10,-0.01,0.18,1.03
20,28.02,14.26,4.92,-0.02,0.20,1.03
21,27.80,14.23,5.01,-0.02,0.20,1.03
22,27.63,13.69,4.69,-0.03,0.20,1.04
23,27.80,12.66,4.44,-0.04,0.20,1.05
24,28.40,11.08,4.18,-0.04,0.21,1.06
25,28.85,9.79,4.14,-0.05,0.21,1.05
26,29.31,8.26,3.86,-0.06,0.21,1.06
27,29.71,6.37,3.68,-0.06,0.22,1.06
28,30.08,5.39,3.83,-0.07,0.23,1.05
29,29.88,4.00,4.38,-0.08,0.23,1.05
30,29.65,2.24,4.76,-0.08,0.24,1.06
31,29.22,0.70,5.66,-0.08,0.25,1.06
32,28.66,-0.11,7.16,-0.08,0.26,1.06
33,28.20,-0.44,8.32,-0.07,0.25,1.07
34,27.79,0.64,9.18,-0.05,0.27,1.07
35,27.37,1.39,9.89,-0.04,0.26,1.07
36,27.15,1.68,10.44,-0.03,0.26,1.09
37,27.25,2.03,10.64,-0.04,0.27,1.08
38,27.44,1.91,10.43,-0.03,0.27,1.10
39,27.82,1.65,10.75,-0.03,0.27,1.11
40,28.08,0.92,10.49,-0.03,0.27,1.11
41,28.64,-0.35,9.74,-0.03,0.27,1.11
42,29.08,-2.43,9.33,-0.03,0.26,1.11
43,29.71,-4.37,9.02,-0.03,0.26,1.11
44,30.46,-4.78,8.67,-0.03,0.26,1.12
45,31.28,-4.17,8.64,-0.00,0.27,1.13
46,32.29,-3.08,8.67,-0.01,0.27,1.13
47,33.48,-1.59,8.98,-0.01,0.28,1.12
48,34.18,-0.82,9.33,-0.01,0.29,1.11
49,34.81,0.84,9.76,-0.01,0.29,1.10
50,35.40,2.18,10.21,-0.00,0.29,1.10
51,35.65,4.00,10.58,0.01,0.30,1.09
