,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,-4.40,-13.30,0.14,-0.31,1.12,"31.64[0m
"
1,7.56,-4.89,-13.79,0.14,-0.32,1.13
2,9.48,-3.24,-14.11,0.15,-0.32,1.13
3,10.31,-1.98,-14.18,0.16,-0.31,1.15
4,11.86,-0.06,-13.59,0.18,-0.32,1.13
5,13.88,4.63,-13.39,0.20,-0.32,1.16
6,15.42,9.15,-12.99,0.20,-0.33,1.15
7,18.15,13.30,-12.12,0.20,-0.34,1.17
8,18.81,16.87,-10.70,0.21,-0.30,1.16
9,19.11,19.39,-11.05,0.17,-0.30,1.15
10,19.69,16.90,-11.54,0.13,-0.29,1.13
11,19.31,12.17,-13.16,0.11,-0.28,1.13
12,19.33,7.01,-13.83,0.09,-0.26,1.11
13,18.60,0.99,-15.45,0.10,-0.26,1.11
14,17.80,-4.82,-17.69,0.10,-0.25,1.10
15,17.54,-7.42,-18.61,0.13,-0.24,1.10
16,18.24,-6.84,-17.89,0.16,-0.25,1.10
17,19.45,-5.22,-15.50,0.17,-0.25,1.11
18,22.06,-2.89,-13.25,0.17,-0.28,1.11
19,24.58,-0.18,-11.08,0.17,-0.27,1.12
20,27.11,1.39,-8.67,0.16,-0.26,1.11
21,28.75,2.26,-8.12,0.16,-0.26,1.09
22,30.06,4.35,-7.07,0.17,-0.24,1.09
23,30.53,5.82,-5.02,0.17,-0.22,1.07
24,29.71,8.55,-4.20,0.18,-0.21,1.07
25,28.64,9.18,-5.05,0.17,-0.21,1.06
26,27.53,5.82,-6.43,0.15,-0.21,1.08
27,27.56,2.12,-8.20,0.13,-0.21,1.09
28,27.76,-3.92,-9.74,0.12,-0.22,1.09
29,28.17,-9.10,-10.81,0.12,-0.22,1.10
30,28.69,-11.27,-9.69,0.14,-0.21,1.09
31,29.53,-10.46,-7.53,0.16,-0.21,1.10
32,30.64,-8.43,-6.17,0.18,-0.22,1.11
33,31.63,-6.18,-6.21,0.19,-0.21,1.12
34,32.17,-5.18,-6.05,0.19,-0.20,1.11
35,32.76,-5.15,-7.13,0.18,-0.20,1.11
36,34.00,-5.05,-7.94,0.17,-0.20,1.11
37,35.19,-4.26,-7.80,0.19,-0.20,1.12
38,35.48,-0.95,-7.02,0.19,-0.19,1.11
39,36.52,1.57,-7.13,0.17,-0.19,1.09
40,37.94,1.71,-6.81,0.15,-0.18,1.12
41,39.31,1.28,-6.55,0.15,-0.19,1.11
42,41.11,0.11,-6.75,0.13,-0.19,1.09
43,41.31,-4.81,-8.29,0.11,-0.17,1.10
44,42.37,-7.91,-9.07,0.12,-0.15,1.08
45,42.23,-10.72,-10.52,0.13,-0.14,1.08
46,42.11,-13.02,-11.47,0.13,-0.13,1.06
47,41.92,-12.90,-10.92,0.15,-0.11,1.05
48,40.27,-12.11,-10.17,0.16,-0.10,1.05
49,39.42,-11.68,-9.89,0.16,-0.10,1.04
50,38.35,-8.55,-8.90,0.18,-0.09,1.06
51,36.67,-7.31,-8.85,0.17,-0.08,1.05
52,35.68,-6.44,-9.04,0.16,-0.08,1.05
53,35.24,-3.16,-7.16,0.18,-0.08,1.04
54,34.55,0.15,-5.40,0.15,-0.08,1.04
55,34.52,-0.31,-4.67,0.13,-0.09,1.05
56,34.70,-2.73,-4.14,0.11,-0.10,1.06
57,36.03,-5.97,-4.96,0.11,-0.11,1.07
58,37.57,-10.66,-6.11,0.11,-0.12,1.09
59,40.06,-16.12,-7.98,0.13,-0.13,1.10
60,43.11,-17.66,-8.47,0.17,-0.13,1.09
61,44.79,-16.82,-7.95,0.17,-0.11,1.08
62,46.60,-14.72,-7.71,0.18,-0.11,1.07
63,47.44,-11.82,-7.36,0.19,-0.09,1.06
64,46.96,-8.17,-7.15,0.20,-0.07,1.05
65,46.00,-4.53,-7.01,0.20,-0.05,1.03
66,44.64,-2.55,-6.78,0.19,-0.04,1.03
67,42.64,-1.68,-7.28,0.17,-0.04,1.01
68,41.13,-1.22,-6.43,0.16,-0.04,1.02
69,39.76,-1.91,-6.32,0.14,-0.04,1.02
70,39.33,-4.08,-6.76,0.14,-0.03,1.03
71,38.78,-5.98,-6.41,0.14,-0.02,1.02
72,38.64,-7.66,-6.75,0.15,-0.02,1.01
73,38.61,-8.31,-6.96,0.15,-0.03,1.03
74,37.89,-6.92,-6.43,0.18,-0.02,1.03
75,38.15,-8.46,-6.85,0.16,-0.01,1.03
76,38.79,-10.26,-7.74,0.17,-0.00,1.02
77,39.50,-8.32,-7.59,0.18,-0.00,1.02
78,38.14,-8.99,-8.34,0.17,0.01,1.02
79,39.24,-8.23,-7.59,0.19,0.00,1.02
80,39.50,-8.23,-6.95,0.19,0.00,1.04
81,40.50,-7.66,-5.94,0.18,0.00,1.03
82,40.52,-6.06,-4.82,0.19,0.02,1.02
83,40.24,-6.24,-4.24,0.18,0.03,1.02
84,40.11,-7.34,-4.44,0.18,0.03,1.01
85,40.08,-7.88,-4.27,0.20,0.05,1.02
86,38.61,-9.45,-5.02,0.19,0.05,1.01
87,37.65,-11.56,-5.74,0.18,0.06,1.00
88,36.38,-12.98,-6.09,0.20,0.07,1.00
89,35.05,-13.65,-6.44,0.21,0.07,1.01
90,33.28,-13.98,-7.15,0.22,0.07,1.01
91,32.31,-13.34,-7.56,0.23,0.08,1.01
92,31.83,-11.01,-6.85,0.23,0.07,1.02
93,31.11,-9.59,-7.54,0.24,0.07,1.05
94,31.74,-7.47,-8.41,0.25,0.06,1.04
95,32.11,-5.16,-8.92,0.25,0.06,1.05
96,32.92,-3.82,-8.14,0.22,0.06,1.05
97,34.02,-4.84,-7.33,0.20,0.05,1.07
98,35.47,-4.69,-7.28,0.23,0.06,1.07
99,37.28,-3.73,-8.03,0.23,0.06,1.07
