acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
-0.11,-0.17,0.87,-4.53,0.38,-8.35,33.33
-0.11,-0.17,0.87,-7.54,1.04,-7.28,33.19
-0.09,-0.2,0.88,-8.18,4.23,-6.73,33.38
-0.1,-0.19,0.87,-9.51,7.37,-6.32,33.24
-0.12,-0.21,0.88,-10.08,10.26,-5.59,33.24
-0.13,-0.22,0.91,-9.56,10.92,-5.48,33.24
-0.13,-0.21,0.92,-8.95,7.79,-6.52,33.24
-0.14,-0.22,0.94,-6.89,2.95,-8.82,33.24
-0.17,-0.24,0.96,-5.31,-2.85,-10.79,33.28
-0.17,-0.23,0.96,-5.44,-6.26,-10.7,33.28
-0.15,-0.24,0.97,-4.38,-3.24,-8.08,33.28
-0.16,-0.24,0.98,-4.14,-0.56,-6.6,33.24
-0.16,-0.23,0.97,-3.85,1.34,-4.12,33.28
-0.17,-0.22,0.95,-3.42,2.06,-3.51,33.33
-0.16,-0.23,0.95,-1.66,-1.45,-3.91,33.33
-0.15,-0.21,0.92,-4.35,-3.85,-4.41,33.24
-0.14,-0.2,0.9,-7.71,-4.61,-3.83,33.28
-0.12,-0.21,0.91,-10.12,-1.59,-1.74,33.33
-0.11,-0.23,0.89,-10.29,0.92,0.31,33.33
-0.13,-0.23,0.9,-11.66,-0.67,0.85,33.28
-0.13,-0.26,0.91,-11.24,-2.43,0.2,33.24
-0.1,-0.29,0.93,-4.84,-4.31,0.06,33.28
-0.12,-0.3,0.95,-6.31,-6.9,-1.88,33.33
-0.13,-0.28,0.95,-6.26,-5.59,-0.21,33.28
-0.11,-0.29,0.94,-6.37,-5.66,0.7,33.33
-0.1,-0.29,0.95,-5.62,-5.3,0.44,33.28
-0.09,-0.28,0.94,-5.94,-6.72,0.89,33.28
-0.09,-0.28,0.92,-8.18,-6.08,0.32,33.33
-0.06,-0.29,0.91,-9.6,-4.32,0.52,33.28
-0.07,-0.29,0.92,-9.36,-1.62,0.18,33.28
-0.07,-0.3,0.92,-8.69,-0.18,0.84,33.24
-0.08,-0.31,0.93,-7.95,-0.73,0.58,33.33
-0.1,-0.31,0.95,-7.47,-3.4,0.0,33.28
-0.11,-0.32,0.95,-6.43,-5.11,0.35,33.28
-0.09,-0.33,0.96,-5.45,-7.08,0.85,33.24
-0.08,-0.32,0.95,-6.21,-7.69,-0.03,33.28
-0.06,-0.31,0.96,-6.24,-6.12,0.5,33.24
-0.05,-0.3,0.94,-6.66,-3.8,0.46,33.24
-0.05,-0.3,0.93,-7.44,-1.62,0.37,33.19
-0.06,-0.29,0.92,-8.24,-0.46,-0.35,33.28
-0.05,-0.28,0.91,-8.84,0.82,-1.04,33.19
-0.06,-0.28,0.88,-9.82,1.4,-2.41,33.28
-0.07,-0.3,0.91,-6.84,-0.55,-4.82,33.33
-0.07,-0.33,0.93,-4.05,-1.21,-5.69,33.28
-0.08,-0.32,0.95,-2.47,-0.53,-4.9,33.24
-0.08,-0.32,0.96,-1.63,1.25,-3.15,33.14
-0.08,-0.3,0.96,-2.23,2.55,-2.6,33.24
-0.09,-0.28,0.94,-2.18,1.15,-3.05,33.28
-0.09,-0.28,0.93,-2.82,0.72,-3.53,33.28
-0.09,-0.27,0.94,-4.34,0.02,-3.3,33.24
-0.09,-0.26,0.92,-5.73,0.41,-2.58,33.24
-0.08,-0.27,0.9,-7.19,3.27,-2.11,33.28
-0.08,-0.27,0.9,-7.37,4.35,-2.58,33.33
-0.1,-0.28,0.9,-7.24,3.83,-3.97,33.33
-0.1,-0.29,0.9,-6.43,2.96,-4.37,33.38
-0.11,-0.32,0.93,-4.85,1.22,-5.05,33.19
-0.11,-0.32,0.93,-3.11,1.27,-3.89,33.33
-0.12,-0.31,0.95,-2.56,0.87,-3.5,33.24
-0.11,-0.3,0.94,-2.89,1.54,-2.34,33.28
-0.1,-0.29,0.94,-3.34,2.08,-1.6,33.38
-0.1,-0.28,0.94,-3.27,2.31,-1.33,33.33
-0.1,-0.28,0.92,-4.17,2.4,-0.92,33.24
-0.1,-0.29,0.93,-4.78,2.49,-0.89,33.19
-0.12,-0.29,0.93,-4.49,1.57,-1.65,33.24
-0.11,-0.3,0.91,-3.8,1.25,-1.82,33.28
-0.11,-0.31,0.92,-3.48,1.13,-2.34,33.19
-0.11,-0.31,0.94,-2.92,0.46,-1.98,33.28
-0.1,-0.32,0.93,-1.08,1.22,-1.91,33.33
-0.09,-0.31,0.93,-0.67,2.34,-1.53,33.24
-0.1,-0.29,0.93,-1.4,2.4,-1.33,33.28
-0.1,-0.29,0.92,-1.94,1.73,-1.89,33.28
-0.1,-0.29,0.92,-2.79,0.93,-2.2,33.33
-0.11,-0.28,0.92,-4.38,0.66,-1.91,33.28
-0.11,-0.28,0.92,-5.98,1.21,-1.63,33.19
-0.11,-0.3,0.91,-6.56,1.28,-1.63,33.14
-0.11,-0.33,0.94,-4.0,-0.23,-1.8,33.42
-0.12,-0.34,0.96,-1.07,-1.48,-0.87,33.28
-0.12,-0.35,0.96,1.57,-0.56,-0.27,33.28
-0.12,-0.33,0.97,1.65,1.36,0.84,33.19
-0.11,-0.32,0.96,3.13,0.21,0.95,33.28
-0.11,-0.3,0.94,3.74,-0.9,0.75,33.28
-0.1,-0.28,0.92,2.34,-0.82,0.61,33.28
-0.1,-0.27,0.9,-1.04,-0.24,1.15,33.38
-0.09,-0.27,0.89,-2.67,0.75,1.27,33.28
-0.08,-0.27,0.88,-3.39,0.72,1.62,33.19
-0.08,-0.29,0.88,-3.31,-0.64,0.61,33.28
-0.07,-0.32,0.9,-3.13,-0.12,-1.77,33.24
-0.08,-0.34,0.93,-1.98,-0.99,-3.07,33.19
-0.08,-0.33,0.94,-0.75,-0.12,-2.23,33.28
-0.1,-0.33,0.96,0.78,1.44,-1.28,33.33
-0.11,-0.31,0.96,0.34,2.0,0.58,33.24
-0.09,-0.3,0.96,0.08,1.97,0.53,33.28
-0.1,-0.29,0.94,0.03,0.4,-0.6,33.33
-0.1,-0.3,0.93,1.89,-2.32,-1.48,33.33
-0.08,-0.29,0.93,0.75,-2.67,-1.74,33.24
-0.06,-0.29,0.93,1.86,-0.52,-2.14,33.28
-0.07,-0.28,0.9,1.05,2.47,-1.97,33.24
-0.07,-0.28,0.89,-0.23,4.15,-2.43,33.19
-0.08,-0.29,0.91,-0.96,4.27,-3.94,33.33
