acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
-1.37	-0.48	1.43	1.31	4.32	-66.73
-1.1	-0.42	1.29	32.49	-80.06	8.35
-0.83	-0.36	0.93	38.82	-84.98	47.95
-0.59	-0.32	0.67	29.71	-55.48	79.16
-0.42	-0.31	0.49	8.82	-10.38	103.69
-0.55	-0.33	0.51	-12.12	11.65	129.13
-0.59	-0.36	0.56	-26.35	7.19	156.18
-0.47	-0.4	0.82	-29.25	-11.6	179.33
-0.19	-0.37	0.9	-25.04	-13.01	194.24
0.16	-0.3	0.96	-27.6	-10.37	197.66
0.57	-0.23	0.94	-29.89	12.63	185.94
0.96	-0.11	0.98	-37.77	43.91	157.08
1.43	0	0.99	-43.95	89.44	115.51
1.41	0.04	1.08	-40.46	103.4	62.46
1.37	0.04	1.08	-31.57	81.1	8.75
1.46	0.05	1.08	-23.57	36.46	-49.25
1.28	-0.01	1.07	-7.47	-10.38	-102.2
0.85	-0.09	1.08	5.27	-62.05	-128.4
0.41	-0.21	1.06	9.89	-94.38	-149.79
0.37	-0.18	0.92	4.81	-60.52	-142.84
0.26	-0.2	0.92	-5.74	0.93	-128.31
0.16	-0.24	0.95	-5.92	61.31	-114.53
-0.02	-0.27	0.95	-4.89	94.6	-101.56
-0.22	-0.28	0.97	-0.73	81.42	-88.72
-0.37	-0.29	0.98	7.69	39.42	-75.16
-0.47	-0.3	0.92	16.7	-10.67	-59.57
-0.51	-0.3	0.85	20.24	-46.95	-40.35
-0.66	-0.34	0.8	20.15	-81.94	-21.01
-0.79	-0.34	0.76	15.34	-98.47	10.75
-0.98	-0.37	0.69	7.62	-99.04	56.73
-1.33	-0.43	0.73	0.46	-86.7	118.92
-1.21	-0.47	0.77	-0.75	-65.05	183.54
-0.86	-0.49	0.79	-1.31	-11.77	238.73
-0.48	-0.48	0.94	-5.08	16.66	271.42
0.08	-0.39	0.98	-11.19	10.34	272.46
0.63	-0.29	0.94	-15.36	-1.11	245.98
0.87	-0.19	0.98	-14.18	-12.84	207.98
1.13	-0.09	0.98	-10.85	-3.56	166.43
1.41	0.01	0.93	-11.88	32.02	115.86
1.56	0.07	1.02	-12.34	69.19	61.04
1.44	0.08	1.08	-7.24	90.03	15.05
1.44	0.08	1.14	-3.27	72.87	-35.97
1.48	0.04	1.19	11.27	51.11	-90.69
1.23	-0.03	1.09	25.56	14.7	-140.87
1.13	-0.07	0.99	23.37	-20.98	-179.8
1.03	-0.15	0.92	20.98	-22.37	-214.69
0.82	-0.21	0.8	12.2	0.98	-244.53
0.59	-0.28	0.55	0.47	26.73	-264.05
0.15	-0.36	0.43	-15.82	37.82	-262.96
-0.43	-0.46	0.64	-26.14	23.88	-240.46
-1.02	-0.47	0.84	-19.05	3.68	-189.98
-1.5	-0.49	1.01	-7.4	-38.53	-120.05
-1.75	-0.48	1.15	4.7	-69.98	-37.28
