acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
0.01	0.21	0.97	-11.85	3.47	0.32
0.02	0.21	0.95	-9.11	6.03	0.6
0.02	0.22	0.94	-9.08	6.24	0.21
0.01	0.21	0.94	-9.13	4.66	0.23
0.01	0.21	0.93	-8.61	2.09	0.69
0.02	0.21	0.93	-7.85	0.32	0.96
0.03	0.21	0.95	-6.23	-2.08	0.99
0.02	0.21	0.94	-5.25	-1.77	-0.29
0.02	0.21	0.93	-4.84	-0.81	-0.64
0.03	0.21	0.95	-3.74	0.15	-0.66
0.03	0.21	0.96	-2.35	2.52	-0.4
0.03	0.22	0.94	-1.22	4.9	-0.66
0.01	0.22	0.93	-1.45	4.4	0.41
0.01	0.22	0.92	-0.95	2.58	1.1
0	0.23	0.9	-1.08	1.8	1.63
0.01	0.23	0.9	-1.91	1.63	1.28
0.02	0.24	0.9	-1.3	1.91	0.85
0.02	0.23	0.9	-0.37	3.73	-0.5
0	0.24	0.92	3.36	6.84	-1.3
0	0.23	0.86	6.4	11.79	-2.79
0.01	0.22	0.81	7.47	20.11	-5.1
0.02	0.23	0.74	7.33	30.32	-8.43
0.08	0.18	0.58	3.95	48.98	-16.89
0.1	0.1	0.26	-6.43	69.11	-23.95
-0.05	0	0.1	-14.93	70.31	-22.23
-0.08	-0.03	-0.46	-40.75	61.62	-18.58
-0.12	-0.05	-0.86	-79.5	36.08	-5.15
-0.07	-0.12	-1.1	-128.14	21.54	-3.4
0.08	-0.23	-1.24	-187.42	23.34	-16.43
0.21	-0.36	-1.4	-247.22	41.02	-28.47
0.16	-0.56	-1.45	-306.21	41.11	-47.73
0.18	-0.77	-1.45	-373.82	32.38	-55.51
0.28	-1.02	-1.27	-431.56	17.56	-61.62
0.34	-1.29	-1.04	-481.95	-3.95	-71.5
0.43	-1.57	-0.83	-500.27	-22.5	-87.37
0.47	-1.88	-0.58	-500.27	-22.43	-105.01
0.34	-2.15	-0.11	-500.27	-34.08	-102.96
0.21	-2.35	0.34	-500.27	-31.18	-89.71
0.04	-2.47	0.62	-500.27	-17.95	-69.97
0.05	-2.42	0.62	-500.27	-42.47	-49.74
0.14	-2.54	0.64	-500.27	-71.56	-30.63
0.23	-2.54	0.65	-493.85	-106.02	-8.21
0.45	-2.51	0.71	-483.44	-122.85	-12.23
0.55	-2.48	0.82	-464.96	-117.1	-24.82
0.55	-2.44	0.93	-434.34	-110.79	-37.25
0.46	-2.42	0.9	-403.24	-108.99	-50.81
0.28	-2.37	0.87	-372.47	-112.38	-56.49
0.1	-2.33	0.9	-350.15	-115.1	-51.65
-0.04	-2.31	1.05	-315.31	-118.44	-32.24
-0.08	-2.17	1.07	-294.81	-110.61	-17.47
-0.06	-2.06	1.12	-274.18	-114.24	-1.76
0.02	-1.91	1.14	-246.44	-101.15	10.81
0.12	-1.74	1.08	-218.24	-72.85	15.22
0.13	-1.61	0.96	-196.43	-31.89	15.34
0.13	-1.52	0.87	-178.37	-1.56	13.66
0.11	-1.47	0.82	-161.04	24.67	9.51
