acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
0.12	-0.22	0.97	-10.15	-4.63	2.58
0.11	-0.22	0.97	-9.24	-0.69	1.34
0.14	-0.22	0.97	-8.69	4.09	1.44
0.13	-0.23	0.98	-6.79	6.17	1.62
0.14	-0.23	0.97	-6.47	13.63	2.09
0.13	-0.22	0.97	-4	16.67	1.42
0.1	-0.23	0.99	-2.18	14.29	0.82
0.09	-0.22	0.98	0.99	9.8	-1.05
0.09	-0.22	0.97	3.95	9.33	-1.24
0.07	-0.2	0.94	4.98	9.89	-0.12
0.04	-0.19	0.91	4.08	8.18	0.98
0.04	-0.18	0.89	2.89	5.47	2.35
0.06	-0.17	0.87	2.06	0.46	1.63
0.08	-0.16	0.85	-0.06	-3.91	0.2
0.07	-0.17	0.88	-1.65	-9.08	-1.3
0.07	-0.17	0.88	-2.06	-8.89	-1.24
0.08	-0.18	0.89	-1.6	-3.63	0.08
0.08	-0.18	0.9	-0.03	0.18	1.82
0.08	-0.18	0.9	1.13	1.83	2.69
0.07	-0.19	0.87	2.06	-2.23	2.08
0.08	-0.17	0.86	1.59	-4.49	1.68
0.08	-0.16	0.85	0.55	-4.14	2.21
0.09	-0.15	0.87	-0.52	-0.38	3.63
0.08	-0.15	0.88	-0.05	1.89	4.87
0.09	-0.16	0.88	0.35	0.24	5.05
0.09	-0.16	0.87	0.84	0.37	4.58
0.08	-0.16	0.87	0.14	0.78	4.37
0.1	-0.15	0.86	-1.3	1.74	4.93
0.09	-0.14	0.86	-2.87	2.46	5.47
0.1	-0.15	0.88	-3.45	4.38	6.06
0.11	-0.15	0.89	-2.47	7.45	6.53
0.1	-0.15	0.89	-2.64	8.21	6.18
0.1	-0.15	0.89	-2.99	6.55	5.27
0.1	-0.14	0.88	-3.44	4.31	3.88
0.09	-0.14	0.89	-3.76	0.53	2.75
0.09	-0.13	0.88	-4.05	-1.28	2.58
0.1	-0.14	0.88	-3.4	-2.67	2.79
0.11	-0.16	0.89	-4.93	-2.67	3.07
0.13	-0.17	0.92	-5.34	-1.92	3.47
0.15	-0.18	0.96	-3.59	1.63	3.04
0.16	-0.17	0.96	-1.42	7.16	2
0.14	-0.17	0.96	-0.85	6.56	1.21
0.14	-0.17	0.93	-0.69	4.92	-0.35
0.13	-0.16	0.91	-0.14	4	-2.09
0.13	-0.15	0.91	-0.32	3.42	-2.87
0.11	-0.14	0.9	-1.18	6.03	-1.92
0.12	-0.14	0.9	-1.83	9.1	-2.08
0.13	-0.15	0.89	-2.84	11.34	-3.25
0.12	-0.14	0.88	-4.24	12.96	-3.82
0.1	-0.13	0.88	-5.77	13.39	-4.67
0.09	-0.14	0.9	-5.53	16.08	-4.63
0.07	-0.14	0.89	-5.6	13.79	-5.76
0.06	-0.14	0.88	-5.6	11.21	-5.74
0.04	-0.14	0.87	-6.44	9.53	-6.29
0.03	-0.14	0.88	-6.67	2.44	-6.5
0.03	-0.13	0.87	-8.18	-0.63	-6.52
0.03	-0.13	0.88	-10.31	-2.79	-6.53
0.02	-0.13	0.9	-11.02	-2.6	-5.98
0.02	-0.14	0.92	-11.3	-1.11	-4.63
0.02	-0.14	0.92	-11.36	-1.08	-3.8
0.04	-0.14	0.94	-10.64	-0.93	-2.17
0.05	-0.14	0.95	-9.16	-3.24	-2.14
0.06	-0.14	0.95	-8.02	-1.71	-2.18
0.09	-0.14	0.94	-6.82	-0.02	-2.05
0.06	-0.13	0.96	-6.18	-0.95	-2.9
0.05	-0.13	0.94	-4.89	-0.24	-2.52
0.05	-0.13	0.94	-4.56	-0.47	-2.2
0.05	-0.13	0.92	-4.78	-0.17	-1.65
0.04	-0.14	0.9	-5.25	0.47	-1.19
0.03	-0.14	0.91	-6.06	-0.02	-0.53
0.05	-0.14	0.92	-6.73	-2.58	-0.38
0.05	-0.14	0.93	-6.82	-4.15	-0.56
0.05	-0.15	0.94	-6.21	-1.59	0.2
0.05	-0.15	0.94	-3.95	-1.36	1.15
0.06	-0.15	0.92	-3.1	-0.78	0.95
0.07	-0.14	0.91	-2.47	-1.6	0.11
0.06	-0.14	0.88	-2.92	-2.64	-0.03
0.05	-0.15	0.87	-4.37	-3.19	0.44
0.06	-0.14	0.86	-5.39	-1.56	1.57
0.07	-0.14	0.88	-5.39	0.93	2.29
0.08	-0.15	0.88	-5.53	1.04	1.79
0.07	-0.15	0.88	-5.33	1.56	1.85
0.07	-0.15	0.88	-5.77	0.72	1.92
0.08	-0.15	0.88	-7.15	-0.58	1.68
0.09	-0.16	0.9	-7.27	-0.69	1.33
0.09	-0.16	0.91	-6.73	0.15	1.01
0.09	-0.16	0.92	-6.26	2.44	1.34
0.09	-0.16	0.92	-6.2	3.25	1.27
0.08	-0.17	0.91	-5.68	4.02	0.47
0.07	-0.17	0.91	-5.51	2.06	-0.06
0.07	-0.16	0.91	-4.64	1.94	-0.34
0.07	-0.16	0.93	-4.89	1.97	0.46
0.07	-0.16	0.92	-4.21	2.27	0.95
0.09	-0.16	0.91	-4.5	4.26	0.98
0.08	-0.16	0.91	-4.06	5.65	0.76
0.08	-0.15	0.89	-4.31	6.17	0.44
0.07	-0.15	0.89	-4.78	3.91	-0.31
0.07	-0.16	0.88	-6.84	3.01	-0.02
0.04	-0.15	0.9	-7.83	-1.66	0.24
0.07	-0.16	0.91	-8.12	-0.37	0.76
0.06	-0.16	0.95	-6.67	2.17	1.62
0.06	-0.16	0.96	-4.08	2.61	1.56
