acce_x	acce_y	acce_z	gyro_x	gyro_y	gyro_z
0	-0.27	0.89	-6.58	-1.68	1.6
0	-0.27	0.9	-6.11	-1.6	1.69
0	-0.27	0.9	-5.53	-0.82	1.27
0	-0.26	0.88	-5.62	-0.73	1.36
0	-0.27	0.87	-6.02	-0.41	1.54
0	-0.27	0.88	-6.41	-0.67	1.28
0	-0.28	0.87	-5.97	0.08	1.6
0	-0.27	0.88	-6.09	1.1	1.18
0	-0.27	0.87	-6.17	1.1	1.39
0	-0.27	0.88	-7.05	1.07	1.28
0.01	-0.27	0.87	-7.34	0.84	1.48
0.01	-0.28	0.87	-7.28	0.96	1.47
0.02	-0.27	0.87	-7.62	1.3	1.1
0.02	-0.27	0.88	-8.2	1.16	0.61
0.01	-0.28	0.88	-8.34	1.59	0.18
0.02	-0.28	0.89	-7.89	2	0.26
0.01	-0.27	0.9	-7.31	2.78	-0.23
0.02	-0.27	0.9	-6.64	3.08	-0.55
0	-0.27	0.88	-7.33	2.79	-1.04
0	-0.28	0.88	-7.63	1.97	-1.19
-0.01	-0.27	0.89	-8.21	0.35	-0.72
-0.01	-0.27	0.89	-8.34	-0.43	-0.53
-0.01	-0.27	0.89	-8.11	-0.56	-0.2
-0.01	-0.28	0.89	-7.66	-0.47	0.14
-0.01	-0.27	0.9	-7.16	-0.35	0.18
0	-0.28	0.9	-6.7	-0.58	-0.2
0	-0.27	0.9	-6.75	-0.76	0.02
-0.01	-0.28	0.9	-6.26	-1.69	-0.08
-0.01	-0.28	0.91	-6.37	-3.11	0.5
-0.01	-0.28	0.91	-5.54	-3.42	0.9
0	-0.27	0.9	-5.02	-3.37	1.04
0	-0.26	0.89	-6.05	-4.17	1.08
0	-0.28	0.9	-6.41	-4.67	1.4
0.01	-0.27	0.88	-6.93	-4.34	1.94
0.01	-0.28	0.89	-6.72	-3.34	1.82
0.01	-0.28	0.89	-6.37	-2.08	1.65
0.01	-0.28	0.89	-5.57	-2.26	1.73
0.01	-0.28	0.88	-4.61	-1.82	1.5
0.01	-0.28	0.88	-5.08	-2.38	1.24
0.01	-0.27	0.87	-5.73	-2.53	0.93
0.01	-0.27	0.87	-7.07	-2.87	0.81
0.03	-0.27	0.86	-7.54	-1.79	0.73
0.02	-0.27	0.88	-7.15	-0.35	0.79
0.02	-0.27	0.86	-7.22	1.04	0.63
0.02	-0.27	0.86	-7.86	2.21	0.56
0.02	-0.26	0.86	-8.82	1.62	-0.11
0.01	-0.27	0.88	-8.93	1.13	-0.11
0	-0.28	0.89	-9.24	0.49	0.12
0	-0.28	0.88	-8.95	0.5	0.63
0.01	-0.27	0.88	-8.67	0.84	1.27
0.02	-0.28	0.9	-7.65	1.45	0.56
0.01	-0.27	0.89	-7.91	1.82	0.23
0.01	-0.27	0.89	-8.24	0.85	0.21
0.02	-0.27	0.9	-8.53	0.34	0.37
0.01	-0.28	0.9	-7.22	0.98	0.6
0.02	-0.27	0.9	-6.69	1.89	0.24
0.01	-0.28	0.89	-6.32	1.86	-0.05
0	-0.27	0.89	-6.09	0.44	0.2
0	-0.27	0.88	-6.32	-0.18	0.34
0	-0.28	0.87	-6.43	-1.27	0.6
0.01	-0.27	0.87	-6.6	-0.81	0.85
0.01	-0.27	0.88	-6.63	-0.67	0.79
0.01	-0.27	0.88	-6.52	-0.89	0.46
0.02	-0.28	0.87	-6.79	-1.57	0.27
0.01	-0.29	0.89	-5.86	-1.62	0.15
0.01	-0.29	0.9	-5.11	-1.19	0.69
0.02	-0.28	0.9	-3.54	-0.17	0.64
0.03	-0.28	0.89	-3.62	-0.21	0.11
0.02	-0.27	0.88	-3.76	-0.31	-0.02
0.02	-0.27	0.88	-4.02	-0.37	0.18
0.02	-0.26	0.88	-4.41	-0.2	-0.17
0.02	-0.27	0.87	-5.28	0.24	-0.53
0.02	-0.27	0.86	-5.16	0.82	-1.04
0.02	-0.27	0.86	-5.04	1.07	-1.05
0.02	-0.28	0.87	-5.69	1.59	-0.75
0.01	-0.27	0.88	-5.1	1.16	-0.61
0.01	-0.27	0.87	-5.56	1.16	-0.38
0.01	-0.27	0.86	-5.82	1.11	-0.35
0.02	-0.27	0.87	-5.86	1.05	-0.66
0	-0.28	0.88	-5.5	1.56	-0.81
0.01	-0.27	0.88	-5.6	2.63	-0.35
0	-0.27	0.88	-6.41	2.44	0.06
0	-0.27	0.88	-6.93	1.05	0.75
0.01	-0.27	0.89	-7.88	0.24	0.89
0.03	-0.28	0.89	-7.66	1.04	0.75
0.03	-0.27	0.9	-6.96	2.2	0.09
0.03	-0.27	0.9	-7.3	2.58	-0.38
0.02	-0.28	0.9	-6.93	3.3	-0.79
0.02	-0.28	0.9	-7.07	2.87	-0.92
0	-0.27	0.9	-7.5	1.79	-1.01
0.01	-0.27	0.89	-7.83	0.49	-0.79
0	-0.27	0.89	-8.55	-0.17	-0.31
0.01	-0.27	0.89	-8.89	-0.18	-0.14
0.02	-0.28	0.89	-8.52	0.87	-0.55
0.01	-0.27	0.88	-8.02	1.36	-0.89
0	-0.27	0.89	-8.79	0.26	-0.47
-0.01	-0.27	0.89	-9.04	-1.3	0.56
