acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
0.11	-0.16	0.9	-8.05	2.14	-1.77
0.1	-0.18	0.89	-8.47	2.93	-2.31
0.09	-0.17	0.9	-9.18	2.67	-2.34
0.09	-0.17	0.9	-9.13	0.82	-1.68
0.1	-0.17	0.9	-8.93	-0.24	-1.11
0.09	-0.17	0.91	-8.5	0.03	-1.07
0.09	-0.18	0.92	-8.18	1.19	-1.16
0.1	-0.18	0.92	-7.31	3.4	-1.51
0.09	-0.18	0.91	-7.02	5.08	-2.53
0.09	-0.17	0.9	-7.15	5.21	-2.6
0.07	-0.18	0.9	-7.36	4.46	-1.79
0.09	-0.18	0.9	-7.33	2.63	-0.67
0.1	-0.17	0.91	-7.77	1.57	0.06
0.1	-0.18	0.92	-7.66	1.18	-0.05
0.1	-0.17	0.9	-7.3	1.4	-0.11
0.11	-0.17	0.89	-7.53	2.32	-0.67
0.1	-0.18	0.9	-7.25	3.21	-0.92
0.1	-0.18	0.9	-6.93	3.25	-1.04
0.1	-0.18	0.9	-6.96	3.5	-0.85
0.11	-0.19	0.9	-7.28	2.23	-0.53
0.1	-0.17	0.9	-7.18	0.87	-0.34
0.1	-0.17	0.9	-7.13	0.11	-0.18
0.1	-0.17	0.89	-7.53	-0.5	0.02
0.1	-0.17	0.9	-7.94	-1.47	0.63
0.1	-0.18	0.9	-8.05	-1.83	0.44
0.11	-0.18	0.9	-7.63	-1.8	0.03
0.12	-0.18	0.91	-7.28	-1.36	-0.95
0.12	-0.17	0.9	-6.73	-0.79	-1.53
0.12	-0.17	0.9	-6.03	-0.29	-1.56
0.11	-0.17	0.89	-6.56	0.14	-1.74
0.1	-0.17	0.89	-7.34	0.06	-1.47
0.09	-0.16	0.89	-7.53	-0.9	-0.81
0.1	-0.17	0.91	-7.8	-2.46	0.26
0.09	-0.17	0.91	-7.33	-4.11	0.49
0.1	-0.16	0.92	-7.56	-5.97	0.14
0.1	-0.15	0.94	-7.97	-7.44	0.63
0.11	-0.14	0.97	-8.41	-8.46	1.48
0.13	-0.13	1	-8.9	-8.37	1.97
0.13	-0.13	1.04	-8.92	-8.26	2.14
0.14	-0.14	1.08	-7.16	-7.65	2.15
0.15	-0.14	1.11	-3.92	-1.33	-0.52
0.14	-0.13	1.13	-0.9	-2.95	-1.92
0.16	-0.13	1.1	1.11	4.43	-3.34
0.14	-0.13	1.07	2	10.56	-4.55
0.14	-0.13	1.06	4.35	9.6	-5.56
0.14	-0.13	1.05	5.11	10.73	-6.87
0.13	-0.12	1.03	6.63	12.81	-8.11
0.12	-0.12	1	8.49	13.27	-7.6
0.13	-0.11	0.96	9.74	15.56	-8.41
0.15	-0.1	0.9	10.24	21.4	-10.21
0.12	-0.1	0.89	4.34	20.85	-10.18
0.13	-0.12	0.84	9.15	34.63	-15.47
0.17	-0.07	0.78	1.48	36.17	-14.53
0.1	-0.09	0.73	7.01	38.98	-12.82
0.06	-0.1	0.66	4.87	39.21	-13.47
0.04	-0.09	0.59	3.51	38.31	-10.47
0.03	-0.07	0.51	1.13	34.4	-8.69
-0.04	-0.06	0.48	-1.57	23.45	-4.11
-0.01	-0.06	0.44	-3.04	15.27	-0.7
0.04	-0.07	0.4	-7.1	6.5	-2.24
0.03	-0.05	0.4	-8.95	-4.92	1.98
0.05	-0.04	0.38	-15.04	-10.55	1.89
0.08	-0.04	0.39	-23.1	-13.51	2.27
0.09	-0.05	0.42	-31.71	-16.72	1.54
0.07	-0.07	0.46	-37.68	-23.8	4.43
0.07	-0.08	0.5	-42.78	-28.46	11.02
0.05	-0.1	0.57	-46.17	-31.36	16.79
0.06	-0.13	0.69	-47.21	-35.68	20.66
0.05	-0.17	0.81	-51.18	-43.91	20.15
0.03	-0.2	0.96	-50.52	-52.06	19.3
0.04	-0.21	1.1	-51.74	-55.63	17.59
