acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
0.05	-0.08	0.89	-4.7	2.99	-16.08
0.05	-0.08	0.89	-7.08	-1.28	-19.69
0.04	-0.08	0.9	-7.56	-0.09	-16.89
0.03	-0.08	0.9	-7.95	0.26	-15.15
0.04	-0.09	0.9	-6.9	0.06	-14.41
0.02	-0.09	0.91	-7.62	-2.11	-13.86
0.02	-0.08	0.91	-7.53	-3.51	-11.5
0.02	-0.08	0.92	-7.63	-3.24	-7.53
0.02	-0.09	0.93	-7.39	-3.95	-3.76
0.04	-0.08	0.94	-7.18	-2.98	-2.29
0.05	-0.08	0.93	-6.92	-1.65	-1.71
0.05	-0.08	0.92	-6.12	-0.81	-1.53
0.04	-0.08	0.9	-6.5	0.4	-2.34
0.05	-0.08	0.9	-6.73	1.34	-3.5
0.04	-0.08	0.92	-7.11	0.09	-3.37
0.04	-0.08	0.91	-7.59	-0.08	-3.91
0.04	-0.08	0.91	-8.06	0.2	-4.47
0.04	-0.09	0.92	-7.27	1.16	-4.84
0.04	-0.08	0.91	-7.04	2.14	-4.7
0.03	-0.08	0.92	-6.2	4.17	-4.63
0.03	-0.08	0.9	-6.17	5.92	-4.35
0.03	-0.07	0.9	-6.37	5.66	-4.09
0.03	-0.07	0.89	-6.75	5.27	-3.6
0.03	-0.08	0.89	-7.51	4.75	-3.94
0.04	-0.07	0.9	-7.79	3.53	-3.45
0.03	-0.07	0.9	-7.92	1.98	-3.08
0.03	-0.08	0.9	-7.01	2.56	-3.47
0.03	-0.07	0.92	-5.62	4.47	-3.68
0.03	-0.07	0.92	-5.62	5.57	-3.36
0.04	-0.07	0.91	-5.69	5.69	-2.84
0.04	-0.06	0.9	-6.24	6.61	-2.96
0.04	-0.06	0.91	-7.31	6.26	-2.99
0.04	-0.08	0.9	-7.74	5.31	-2.31
0.02	-0.07	0.91	-7.71	3.6	-0.9
0.02	-0.07	0.92	-7.6	1.54	-0.29
0.02	-0.07	0.92	-7.94	-1.45	-0.08
0.02	-0.07	0.93	-7.85	-2.24	0.37
0.02	-0.07	0.92	-8.46	-2.24	0.58
0.03	-0.07	0.93	-8.72	-1.28	0.47
0.03	-0.08	0.92	-9.42	-1.62	0.73
0.02	-0.07	0.93	-9.62	-3.22	1.69
0.01	-0.07	0.92	-9.34	-5.1	3.16
0.01	-0.06	0.91	-9.5	-5.65	4.67
0.02	-0.07	0.92	-9.48	-5.77	4.99
0.01	-0.07	0.91	-9.47	-6.08	4.29
0.02	-0.07	0.92	-9.22	-6.79	3.66
0.03	-0.09	0.92	-9.1	-7.27	3.04
0.03	-0.08	0.93	-8.73	-6.55	2.63
0.05	-0.09	0.94	-7.94	-4.73	1.98
0.04	-0.08	0.94	-7.68	-3.95	1.19
0.04	-0.08	0.93	-7.11	-2.14	0.56
0.05	-0.08	0.91	-7.88	-1.15	-0.02
0.05	-0.08	0.91	-7.83	0.15	0.14
0.05	-0.08	0.91	-7.82	-0.73	0.31
0.05	-0.09	0.91	-8.37	-1.77	0.72
0.05	-0.09	0.92	-9.16	-2.38	0.9
0.06	-0.1	0.93	-8.89	-3.16	-0.05
0.07	-0.1	0.95	-7.18	-2.37	-0.58
0.07	-0.09	0.97	-5.45	0.06	-0.81
0.07	-0.08	0.98	-4.32	1.62	-1.15
0.08	-0.08	1	-3.11	3.56	-1.66
0.1	-0.07	1	-1.53	6.6	-3.85
0.11	-0.06	0.99	-1.05	9.47	-6.9
0.1	-0.05	0.98	-1.95	10.32	-8.95
0.1	-0.03	0.96	-3.5	9.88	-9.48
0.08	-0.03	0.97	-5.56	9.24	-10.09
0.08	-0.04	0.97	-5.88	8.53	-10.85
0.08	-0.04	0.98	-6.46	6.11	-9.94
0.07	-0.04	0.99	-6.34	4.63	-10.02
0.06	-0.05	0.97	-6.15	5.39	-10.75
0.06	-0.05	0.97	-6.15	6.49	-11.57
0.05	-0.05	0.96	-5.92	8	-12.03
0.06	-0.06	0.94	-4.89	10.61	-12.24
0.03	-0.05	0.91	-5.86	11.83	-10.89
0.02	-0.06	0.9	-5.63	11.98	-7.86
0.01	-0.08	0.86	-5.95	10.44	-7.98
0.01	-0.07	0.81	-6.34	10.35	-4.78
0.01	-0.08	0.77	-6.75	10.11	-4.58
0	-0.07	0.74	-7.98	10.66	-0.55
0	-0.07	0.69	-9.21	11.53	1.05
-0.02	-0.08	0.65	-10.82	10.6	1.65
-0.02	-0.07	0.61	-14.34	6.02	4.78
-0.04	-0.07	0.58	-18.24	1.6	7.47
-0.05	-0.07	0.56	-22.81	-3.34	9.88
-0.06	-0.06	0.57	-27.51	-11.62	14.5
-0.05	-0.08	0.59	-30.34	-19.07	18.52
-0.03	-0.07	0.63	-32.63	-28.05	24.46
0	-0.07	0.7	-34.56	-38.35	27.65
0.04	-0.07	0.79	-36.46	-46.46	28.6
0.08	-0.08	0.88	-38.09	-53.1	28.98
0.12	-0.07	1	-38.32	-50.72	25.54
0.14	-0.08	1.08	-37.31	-44	22.4
0.15	-0.1	1.16	-33.36	-34.21	17.98
0.15	-0.1	1.2	-29.65	-25.82	13.42
0.13	-0.09	1.19	-25.42	-18.76	9.98
0.17	-0.1	1.27	-24.49	-9.01	4.31
0.16	-0.12	1.3	-23.77	-1.19	-0.56
0.16	-0.14	1.33	-22	2.12	-4.08
0.16	-0.15	1.31	-18.03	6.02	-7.28
0.14	-0.16	1.31	-14.4	10.73	-11.37
0.11	-0.16	1.28	-9.4	16.47	-14.2
0.1	-0.16	1.21	-3.69	23.02	-16.18
0.08	-0.16	1.16	0.4	29.3	-16.72
0.08	-0.15	1.11	3.74	34.98	-17.11
0.08	-0.14	1.06	6.18	40.37	-17.65
0.07	-0.13	0.98	7.73	43.31	-17.62
0.04	-0.12	0.94	8.15	42.96	-16.41
0.03	-0.12	0.85	7.13	38.27	-12.4
0.02	-0.12	0.81	5.68	35.02	-8.31
0.02	-0.1	0.75	4.24	32.15	-6.38
0.01	-0.08	0.71	1.57	25.71	-3.54
0.02	-0.08	0.63	-1.86	21.01	-2.52
0.03	-0.07	0.59	-3.76	22.47	-1.02
