acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
0.01	-0.12	0.94	-3.56	1.02	0.53
0.03	-0.12	0.93	-3.18	2.43	0.27
0.02	-0.12	0.92	-3.79	2.92	-0.05
0.01	-0.12	0.93	-3.57	2.43	-0.49
0	-0.12	0.93	-3.79	1.65	-0.14
0.02	-0.12	0.93	-4.18	1.65	0.15
0.02	-0.11	0.93	-4.15	1.68	0.09
0.02	-0.11	0.92	-4.15	1.8	-0.14
0.02	-0.11	0.91	-4.72	1.91	-0.34
0.02	-0.11	0.91	-5.08	2.31	-0.76
0.02	-0.12	0.93	-4.58	1.42	-0.67
0.02	-0.12	0.93	-3.51	1.02	-0.61
0.02	-0.12	0.93	-3.85	0.98	-0.79
0.03	-0.11	0.92	-4.46	0.69	-1.45
0.02	-0.11	0.92	-5.54	0.73	-1.6
0.01	-0.12	0.91	-5.42	-0.27	-1.25
0.02	-0.12	0.91	-4.98	-0.6	-0.95
0.01	-0.11	0.9	-4.08	-0.35	-0.67
0.01	-0.11	0.9	-5.05	-0.99	-0.9
0.01	-0.11	0.91	-5.44	-0.76	-0.41
0.02	-0.11	0.91	-6.09	-0.67	-0.11
0.02	-0.11	0.9	-6.44	-1.37	-0.15
0.02	-0.11	0.9	-6.31	-0.9	-0.6
0.02	-0.11	0.9	-5.8	-1.54	-0.82
0.02	-0.11	0.9	-6	-1.69	-0.93
0.03	-0.11	0.9	-6.31	-1.83	-1.16
0.03	-0.11	0.9	-7.13	-1.86	-1.08
0.02	-0.11	0.9	-8.06	-1.79	-0.84
0.02	-0.11	0.9	-7.73	-1.47	-0.12
0.03	-0.11	0.9	-7.77	-1.3	0.15
0.03	-0.11	0.9	-8.12	-0.05	-0.08
0.03	-0.11	0.9	-8.72	0.46	-0.85
0.03	-0.11	0.9	-8.63	1.19	-1.21
0.01	-0.11	0.9	-8.95	0.18	-0.79
0.03	-0.11	0.88	-9.13	0.38	-0.75
0.01	-0.12	0.9	-8.67	-0.06	-0.98
0.03	-0.11	0.89	-8.69	-0.29	-1.02
0.02	-0.1	0.89	-8.85	1.07	-1.54
0.01	-0.11	0.89	-9.25	0.99	-0.61
0.02	-0.11	0.89	-9.02	0.82	-0.63
0.02	-0.11	0.9	-9.19	1.11	-0.61
0.02	-0.12	0.91	-8.84	0.41	-1.01
0.01	-0.12	0.91	-7.89	0.26	-0.79
0.01	-0.12	0.92	-7.02	0.98	-0.31
0.02	-0.12	0.9	-6.69	1.16	-0.15
0.02	-0.13	0.91	-5.62	0.26	-2.38
0	-0.18	0.93	-4.75	-0.41	0.24
0.04	-0.14	0.91	-5.4	3.05	-0.15
0.03	-0.13	0.93	-4.84	0.96	-0.64
0.04	-0.12	0.92	-4.37	1.37	-1.95
0.03	-0.11	0.92	-3.77	1.95	-2.08
0.02	-0.11	0.91	-3.45	1.98	-2.17
0.02	-0.1	0.9	-3.68	1.5	-2.14
0.02	-0.11	0.9	-4.15	1.28	-2.21
0.02	-0.12	0.91	-1.91	0.7	-2.82
0.01	-0.13	0.91	-0.29	-0.6	-2.32
0.02	-0.07	0.98	-1.27	-0.92	-1.28
-0.01	-0.1	0.93	-2.31	-1.24	-2.61
0.01	-0.09	0.91	-2.63	1.95	-2.14
0	-0.1	0.91	-3.07	-0.47	-2.52
-0.01	-0.1	0.9	-3.45	-2.29	-1.91
0.01	-0.11	0.91	-2.61	-1.76	-0.87
0.02	-0.11	0.92	-1.07	-1.62	0.05
0.02	-0.11	0.94	-1.6	-1.22	-0.21
0.01	-0.1	0.93	-2.55	-3.79	-0.5
0	-0.11	0.93	-2.85	-9.34	1.76
0.03	-0.08	0.92	-3.76	-11.28	-0.27
0.02	-0.11	0.93	-0.75	1.63	-1.11
0	-0.08	0.9	1.77	-1.91	-1.91
-0.06	-0.05	0.87	0.6	-9.89	0.24
-0.06	-0.03	0.83	-2.85	-10.64	3.69
-0.13	-0.04	0.81	-4.53	-14.35	7.15
-0.15	-0.04	0.82	-1.98	-20.43	9.63
-0.18	-0.12	0.86	4.52	-20.34	20.29
-0.23	-0.09	0.9	6.24	0.23	39.57
-0.37	-0.04	0.85	4.98	32.18	64.02
-0.67	-0.05	0.76	-1.47	31.59	99.85
-0.66	-0.07	0.73	-7.02	56.11	130.46
-0.97	-0.21	0.79	-2.87	50.82	165.25
-1.22	-0.27	0.64	1.74	19.18	208.82
-1.07	-0.4	0.57	-12.08	-7.51	248.05
-0.93	-0.44	0.71	-22.27	-37.79	273.6
-0.63	-0.59	0.79	-19.98	-38.47	289.28
-0.61	-0.61	0.97	-18.43	-2.87	313.13
-0.83	-0.66	1.08	-24.23	19.16	343.8
-1.08	-0.82	1.11	-33.86	30.67	382.49
-1.08	-0.81	1.11	-57.8	27.51	423.73
-1.1	-0.87	1.06	-80.31	-6.47	447.24
-0.99	-0.91	0.92	-94.11	-53.3	454.52
-0.84	-0.95	0.82	-96.75	-106.11	452.08
-0.49	-0.94	0.7	-91.25	-123.94	435.25
-0.13	-0.87	0.64	-82.79	-100.41	412.47
0.3	-0.84	0.74	-73.02	-38.2	371.36
0.21	-0.78	0.83	-61.92	13.73	332.41
-0.07	-0.81	0.85	-53.11	47.34	313.74
-0.17	-0.76	0.88	-43.63	84.55	298.67
-0.36	-0.76	0.88	-38.32	93.15	297.97
-0.57	-0.64	0.81	-48.61	66.34	300.03
-0.45	-0.61	0.61	-70.06	52.5	303.24
-0.35	-0.62	0.55	-90.79	46.99	294.69
-0.42	-0.62	0.7	-115.69	4.78	291.47
-0.48	-0.74	0.85	-123.28	-57.21	293.02
-0.3	-0.81	1	-107.73	-94.72	291.66
-0.02	-0.84	1.1	-93.68	-98.29	286.72
0.23	-0.89	1.07	-65.77	-72.64	273.44
0.27	-0.85	1.06	-49.44	-43.48	271.08
0.61	-0.82	0.97	-32.92	8.38	250.99
0.59	-0.78	0.87	-25.15	49.27	229.63
0.55	-0.74	0.82	-16.82	76.56	205.5
0.23	-0.69	0.74	-3.54	76.15	188.37
0.16	-0.63	0.71	-1.28	65.34	177.65
0.31	-0.57	0.7	-7.19	52.73	160.89
0.3	-0.54	0.87	-13.66	38.75	147.22
0.29	-0.52	1.02	-15.3	40.76	139.11
0.26	-0.53	1.17	-9.07	46.76	139.47
0.27	-0.5	1.25	0.38	47.53	132.35
0.09	-0.3	1.25	9.69	41.25	122.6
0.11	-0.37	1.09	-3.16	32.24	111.77
0.1	-0.36	1.03	-8.31	16.23	100.98
0.03	-0.33	1.01	-19.91	-1.77	88.96
-0.01	-0.29	1.05	-27.98	-16.79	84.79
-0.01	-0.28	1.04	-27.98	-11.66	80.75
-0.08	-0.27	1.02	-18.43	-4.05	77.86
-0.12	-0.18	1	-21.37	8.67	75.66
-0.32	-0.11	1.01	-61.68	-14.08	76.64
-0.25	-0.02	0.83	-140.2	-68.46	66.06
-0.16	-0.14	0.66	-217.16	-64.21	50.35
-0.12	-0.56	0.73	-195.24	-55.73	38.44
-0.1	-0.53	0.78	-135.01	-46.38	38.21
-0.09	-0.5	0.83	-62.66	-47.59	38.02
-0.08	-0.43	0.86	-26.58	-32.82	40.46
-0.1	-0.38	0.9	-11.91	-19.18	40.18
-0.13	-0.25	0.88	-20.72	-30.46	31.82
-0.12	-0.23	0.79	-50.72	-33.42	21.91
-0.17	-0.36	0.75	-49.19	-37.48	18.52
-0.17	-0.39	0.79	-33.02	-41.57	18.26
-0.17	-0.39	0.83	-10.2	-47.21	16.2
-0.17	-0.33	0.88	-0.76	-49.71	14.02
-0.17	-0.31	0.94	-4.6	-46.21	14.29
-0.16	-0.3	0.94	-7.04	-40.66	12.56
-0.18	-0.28	0.96	-11.11	-41.21	11.57
-0.22	-0.31	0.91	-9.66	-47.4	12.38
-0.17	-0.28	0.86	-10.4	-52.14	11.89
-0.09	-0.28	0.81	-13.79	-42.52	5.31
