acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
-0.04	-0.27	0.89	-6.63	-0.61	-0.23
-0.04	-0.27	0.9	-6.24	0.38	-0.21
-0.04	-0.27	0.89	-6.61	1.19	0.11
-0.04	-0.27	0.89	-7.02	2.03	0.47
-0.04	-0.27	0.88	-7.27	1.79	0.41
-0.04	-0.27	0.88	-6.92	1.21	-0.05
-0.04	-0.27	0.87	-6.11	0.38	-0.18
-0.04	-0.27	0.89	-6.41	-0.76	-0.34
-0.04	-0.27	0.88	-6.52	-0.38	-0.03
-0.03	-0.28	0.89	-6.6	1.08	0.38
-0.03	-0.28	0.89	-6.82	1.65	0.46
-0.03	-0.27	0.89	-6.84	0.98	-0.29
-0.04	-0.27	0.89	-6.27	0.6	-0.21
-0.04	-0.26	0.88	-5.91	-0.17	-0.11
-0.03	-0.26	0.89	-6	-0.89	-0.69
-0.03	-0.27	0.89	-5.4	-0.06	-0.6
-0.03	-0.27	0.9	-5.65	0.79	-0.66
-0.03	-0.27	0.89	-6	1.04	-0.7
-0.04	-0.27	0.88	-6.02	0.92	-0.93
-0.04	-0.27	0.88	-5.95	0.23	-1.34
-0.04	-0.27	0.89	-5.36	-0.38	-0.99
-0.04	-0.27	0.87	-5.77	-0.4	-0.63
-0.04	-0.26	0.88	-6.32	-0.47	-0.5
-0.04	-0.27	0.88	-6.9	-0.87	-0.61
-0.03	-0.27	0.88	-6.38	-0.52	-1.1
-0.03	-0.27	0.89	-6.18	0.11	-1.13
-0.04	-0.28	0.9	-5.28	0.72	-1.34
-0.03	-0.27	0.9	-4.43	0.61	-1.24
-0.04	-0.27	0.89	-4.53	0.9	-0.92
-0.05	-0.26	0.88	-5.27	0.76	-0.73
-0.04	-0.26	0.87	-6.11	1.15	-0.46
-0.04	-0.27	0.88	-6.12	0.95	-0.31
-0.03	-0.27	0.88	-5.97	0.37	-0.99
-0.04	-0.28	0.9	-6.44	0.52	-0.85
-0.04	-0.27	0.9	-6.4	0.89	-0.64
-0.04	-0.27	0.9	-6.17	0.75	-0.52
-0.03	-0.28	0.9	-5.22	1.62	-0.41
-0.03	-0.28	0.87	-5.4	1.47	-0.56
-0.04	-0.27	0.88	-5.34	0.85	-0.56
-0.04	-0.27	0.87	-6.17	0.2	-0.56
-0.04	-0.27	0.88	-6.61	-0.11	-0.81
-0.05	-0.26	0.87	-6.81	-0.72	-0.37
-0.04	-0.27	0.88	-6.78	-0.78	0.02
-0.03	-0.27	0.87	-6.87	-0.21	-0.06
-0.02	-0.27	0.88	-6.49	0.84	-0.18
-0.03	-0.27	0.88	-6.29	1.11	-0.61
-0.03	-0.27	0.88	-6.52	0.63	-0.99
-0.03	-0.26	0.88	-6.27	0.7	-1.19
-0.04	-0.27	0.88	-6.85	-0.17	-0.84
-0.03	-0.26	0.88	-6.79	1.5	-0.58
-0.02	-0.26	0.89	-6.41	2.6	-0.4
-0.03	-0.27	0.89	-6.11	2.47	-0.81
-0.04	-0.26	0.87	-5.77	2.27	-0.93
-0.05	-0.26	0.86	-5.91	1.36	-0.72
-0.05	-0.26	0.85	-6.43	0.14	-0.75
-0.05	-0.26	0.85	-7.04	-0.46	-0.78
-0.04	-0.26	0.86	-7.36	-0.18	-1.28
-0.04	-0.26	0.88	-8.05	-1.24	-1.4
-0.03	-0.26	0.88	-7.5	0.41	-0.82
-0.03	-0.27	0.9	-7.6	1.62	-1.13
-0.03	-0.26	0.9	-7.04	1.83	-1.07
-0.03	-0.26	0.88	-6.27	2.52	-0.87
-0.03	-0.25	0.86	-6.43	2.31	-1.24
-0.04	-0.25	0.86	-6.5	1.3	-1.91
-0.06	-0.25	0.86	-6.21	-0.47	-1.68
-0.05	-0.25	0.87	-5.36	0.08	-1.36
