acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
0.06	-0.19	0.9	-7.05	-0.47	-0.79
0.07	-0.19	0.91	-6.5	-0.55	-0.41
0.07	-0.19	0.92	-5.65	0.67	-0.89
0.05	-0.18	0.9	-5.31	1.16	-1.21
0.05	-0.18	0.89	-5.16	1.48	-1.19
0.05	-0.18	0.88	-5.95	0.84	-1.07
0.05	-0.17	0.88	-7.45	0.35	-0.99
0.06	-0.18	0.91	-8.44	0.23	-0.32
0.06	-0.19	0.92	-7.8	1.33	-0.05
0.06	-0.19	0.92	-6.53	2.78	-0.37
0.06	-0.18	0.91	-5.01	4.27	-1.11
0.05	-0.17	0.89	-3.8	5.15	-2.23
0.04	-0.16	0.88	-3.62	5.11	-2.35
0.02	-0.15	0.86	-4.53	3.31	-2.35
0.06	-0.15	0.88	-5.16	-1.04	-1.42
0.02	-0.15	0.86	-7.73	-1.05	-1.39
0	-0.17	0.88	-9.62	-3.45	-0.44
0.02	-0.18	0.89	-9.91	-4	0.82
0.03	-0.19	0.9	-10.82	-2.78	1.71
0.03	-0.2	0.92	-11.05	-2.34	2.61
0.04	-0.19	0.93	-10.93	-1.59	3.01
0.03	-0.2	0.94	-10.02	-3.98	3.3
0.06	-0.21	0.94	-8.72	-4.35	2.95
0.06	-0.21	0.95	-7.76	-2.5	2.52
0.09	-0.2	0.94	-7.1	0.67	2.7
0.07	-0.21	0.94	-5.79	-1.5	4.43
0.07	-0.2	0.94	-5.04	-0.82	4.5
0.07	-0.21	0.93	-4.17	-1.25	4.12
0.07	-0.21	0.92	-3.89	-2.05	4.17
0.08	-0.2	0.94	-3.69	-2.85	4
0.1	-0.2	0.93	-3.59	-2.27	3.45
0.14	-0.2	0.94	-2.72	-0.14	1.45
0.13	-0.19	0.93	-2.24	3.34	0.72
0.11	-0.19	0.91	-1.83	5.8	-0.37
0.09	-0.18	0.89	-1.4	6.37	-1.22
0.09	-0.17	0.88	-1.8	5.25	-2.11
0.08	-0.17	0.86	-3.18	3.54	-2.64
0.08	-0.17	0.87	-4.64	2.82	-2.29
0.08	-0.17	0.88	-5.63	2.81	-2.32
0.08	-0.18	0.89	-5.31	3.3	-2.75
0.06	-0.18	0.89	-4.75	3.6	-3.34
0.06	-0.18	0.88	-4.61	3.27	-4.05
0.04	-0.18	0.87	-5.13	1.8	-3.53
0.04	-0.18	0.88	-6.64	0.61	-3.37
0.04	-0.18	0.88	-7.82	-0.02	-2.63
0.04	-0.19	0.88	-7.86	-0.29	-2.53
0.04	-0.19	0.9	-8.11	-0.49	-1.8
0.04	-0.19	0.9	-8.02	0	-1.92
0.04	-0.19	0.91	-7.88	0.03	-1.68
