acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
0.19	-0.28	0.87	-4.79	-0.87	2.49
0.2	-0.28	0.86	-4.38	-0.17	1.97
0.19	-0.28	0.85	-6.44	-0.21	1.74
0.18	-0.28	0.86	-7.04	-0.69	2.21
0.18	-0.29	0.86	-6.64	-1.33	2.73
0.15	-0.27	0.87	-8.47	-8.52	3.1
0.2	-0.28	0.85	-6.66	-1.07	3.71
0.18	-0.27	0.86	-7.01	-1.63	4.41
0.17	-0.28	0.86	-5.68	-2.29	4.43
0.18	-0.27	0.87	-7.21	-2.84	5.01
0.17	-0.29	0.86	-6.73	-3.07	5.47
0.19	-0.27	0.87	-5.33	-4.75	5.63
0.2	-0.29	0.88	-4.52	-3.88	4.7
0.19	-0.29	0.87	-4.89	-2.92	3.91
0.18	-0.27	0.84	-8.84	-3.66	5.65
0.18	-0.27	0.85	-8.14	-9.79	7.37
0.21	-0.28	0.82	-10.99	-8.79	7.4
0.23	-0.29	0.83	-10.7	-9.62	6.43
0.24	-0.31	0.83	-12.34	-8.93	5.86
0.27	-0.32	0.83	-14.43	-14.96	2.89
0.35	-0.34	0.83	-16.29	-16.64	-3.19
0.46	-0.36	0.84	-18.27	-12.46	-10.98
0.57	-0.4	0.88	-20.73	-11.3	-24.99
0.68	-0.45	0.89	-22.24	-8.47	-48.76
0.77	-0.49	0.85	-20.69	2.82	-72.92
0.85	-0.48	0.77	-23.21	29.4	-93.15
0.98	-0.5	0.68	-26.2	47.08	-119.36
1.14	-0.53	0.59	-29.94	82.26	-145.65
1.28	-0.57	0.57	-43.27	104.72	-171.33
1.45	-0.64	0.51	-58.64	116.14	-211.51
1.68	-0.76	0.52	-65.02	106.7	-272.69
1.91	-0.86	0.51	-67.71	105.31	-356.55
2.16	-0.99	0.42	-75.6	163.27	-444.69
2.21	-1.13	0.28	-97.82	247.19	-500.27
2.17	-1.37	0.1	-124.89	329.94	-500.27
1.77	-1.53	0.05	-147.86	400.85	-500.27
1.51	-1.63	-0.11	-182.52	453.73	-500.27
1.22	-1.71	-0.22	-203.94	500	-500.27
0.87	-1.88	-0.1	-184.84	496.96	-500.27
0.46	-1.9	0.11	-160.98	408.66	-500.27
0.29	-1.95	0.43	-102.53	314.87	-500.27
0.16	-1.85	0.6	-29.08	265.36	-500.27
-0.04	-1.86	0.44	27.22	218.47	-481.65
-0.11	-1.74	0.29	43.56	209.07	-430.76
-0.16	-1.6	0.16	33.79	227.53	-383.13
-0.18	-1.44	0.14	12.84	228.96	-346.93
-0.1	-1.33	0.24	-5.31	229.8	-320.14
-0.04	-1.33	0.39	-9.04	217.02	-309.22
0.07	-1.33	0.43	-1.22	215.69	-306.5
0	-1.38	0.51	23.44	228.52	-298.67
-0.15	-1.48	0.5	40.11	231.85	-280.43
-0.3	-1.61	0.36	73.42	249.95	-269.11
-0.51	-1.57	0.36	76.76	233.36	-253.48
-0.76	-1.48	0.32	66.4	186.89	-236.03
-0.92	-1.23	0.36	55.15	142.6	-214.37
-0.86	-1.12	0.4	51.36	126.5	-191.37
-0.74	-1.12	0.52	56.34	146.38	-173.77
-0.67	-1.12	0.59	76.76	178.64	-163.25
-0.7	-1.11	0.55	99.34	196.9	-153.63
-0.79	-1.07	0.46	95.85	169.02	-132.47
-0.74	-0.98	0.32	88.55	139.63	-117.45
-0.8	-0.83	0.27	66.78	117.34	-107.5
-1.03	-0.66	0.3	46.15	67.74	-101.18
-1.05	-0.6	0.47	26.55	18.85	-75.94
-0.85	-0.69	0.7	43.6	2.37	-62.37
-0.59	-0.74	0.92	85.6	-31.94	-71.18
-0.42	-0.66	0.99	110.79	-71.37	-75.22
-0.4	-0.54	0.87	114.37	-105.71	-74.27
-0.22	-0.43	1.02	99.45	-129.77	-61.5
-0.54	-0.28	0.57	114.4	-141.01	-71.11
-0.23	-0.19	0.56	35.19	-119.27	-59.18
-0.32	-0.29	0.69	4.29	-65.15	-72.06
-0.36	-0.23	0.75	16.67	-98.03	-64.37
-0.25	-0.21	0.77	27.24	-136.72	-51.6
-0.02	-0.26	0.88	-7.33	-92.38	-60.09
0.01	-0.38	0.91	-7.51	-51.54	-81.27
-0.06	-0.42	0.87	11.97	-43.1	-87.11
-0.16	-0.39	0.72	14.98	-16.66	-81.3
-0.24	-0.37	0.64	5.21	23.31	-71.94
-0.35	-0.35	0.64	-3.83	11.85	-62.58
-0.34	-0.32	0.68	-16.47	-21.91	-54.84
-0.26	-0.3	0.73	-34.61	-26.64	-51.97
-0.18	-0.35	0.8	-48.7	-11.1	-53.45
-0.2	-0.4	0.86	-47.11	-5.25	-53.86
-0.15	-0.42	0.81	-40.31	0	-49.76
-0.23	-0.53	0.84	-1.62	-20.43	-38.34
-0.2	-0.39	0.88	8.09	-16.76	-29.62
-0.2	-0.39	0.86	-0.63	-10.34	-23.01
-0.22	-0.34	0.88	-37.79	6.5	-16.37
-0.24	-0.37	0.82	-46.99	8.64	-5.82
-0.27	-0.36	0.86	-55.76	-15.33	4.06
-0.1	-0.32	1.07	-44.38	-43.76	7.15
0.04	-0.47	0.92	-10.35	-45.34	0.72
0.15	-0.4	0.98	20.7	-26.18	-11.85
0.08	-0.39	0.96	15.71	-4.34	-17.13
-0.07	-0.35	0.87	6.21	-21.34	-11.53
-0.09	-0.31	0.77	-14.14	-21.34	-3.53
-0.08	-0.34	0.74	-36.24	-0.95	0.84
-0.1	-0.39	0.75	-34.38	8.6	2.89
-0.13	-0.4	0.78	-24.47	-2.99	6.14
-0.1	-0.36	0.81	-17.97	-20.78	11.83
-0.04	-0.38	0.84	-7.44	-25.56	14.81
0.01	-0.38	0.88	-0.29	-16.21	16.18
0.01	-0.39	0.88	5.77	-6.78	18.09
-0.01	-0.38	0.86	7.82	1.66	21.76
-0.05	-0.38	0.82	10.69	5.71	26.38
-0.07	-0.35	0.83	13.45	2.52	31.11
-0.08	-0.33	0.85	15.62	-1.94	36.96
-0.04	-0.27	0.89	15.94	-12.02	40.56
0.04	-0.27	0.93	20.78	-30.82	40.61
0.14	-0.26	0.95	26.14	-44.32	34.76
0.22	-0.26	0.93	31.05	-33.74	24.72
0.22	-0.26	0.92	25.82	-9.28	15.45
0.13	-0.25	0.88	20.26	-9.91	12.63
0.09	-0.25	0.84	20.35	-20.5	13.48
0.08	-0.24	0.85	12.18	-8.15	14.7
0.06	-0.24	0.86	7.71	4.76	15.05
0.04	-0.24	0.88	9.1	2.6	16.38
0.04	-0.25	0.88	12.47	-0.93	17.27
0.1	-0.29	0.9	17.1	-0.08	14.75
0.13	-0.3	0.94	18.56	7.48	9.34
0.08	-0.28	0.94	16.79	13.05	5.53
0.03	-0.27	0.91	13.77	13.21	7.13
0	-0.24	0.89	9.42	9.11	11.91
0.02	-0.23	0.89	4.37	6.4	15.02
0.05	-0.22	0.89	2.26	4.49	15.28
0.08	-0.22	0.89	2.5	6.06	14.72
0.08	-0.22	0.88	0.85	10.5	14.29
0.09	-0.23	0.88	-1.19	16.41	13.74
0.1	-0.25	0.88	-2.76	17.8	11.19
0.08	-0.24	0.89	-2.35	15.57	7.62
0.05	-0.22	0.88	-5.01	11.79	7.36
0.03	-0.21	0.89	-9.1	9.04	8.85
0.01	-0.22	0.88	-11.71	6.43	10.79
0.03	-0.24	0.87	-13.48	4.2	11.31
0.04	-0.26	0.85	-15.71	4.05	11.44
0.04	-0.28	0.89	-15.21	5.8	11.07
0.05	-0.29	0.9	-12.66	6.44	10.21
0.03	-0.27	0.92	-9.77	7.76	10.21
0.02	-0.27	0.93	-8.64	6.26	9.97
0.01	-0.25	0.94	-7.53	-0.75	10.81
0.03	-0.24	0.92	-4.95	-8.26	11.21
0.06	-0.23	0.91	-3.51	-12.96	10.23
0.07	-0.23	0.89	-3.33	-15.02	9.5
