acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
-0.04	-0.08	0.98	-12.11	-2.29	-4.99
-0.05	-0.08	1.02	-14.7	1.07	-1.18
-0.07	-0.07	1.06	-15.54	0.64	2.43
-0.05	-0.08	1.14	-17.73	5.86	4.2
-0.07	-0.09	1.19	-17.36	3.79	4.66
-0.08	-0.11	1.23	-12.02	2.12	6.63
-0.06	-0.13	1.28	-7.1	3.44	6.05
-0.06	-0.16	1.29	-0.89	7.39	3.66
-0.1	-0.16	1.31	5.62	9.57	2.85
-0.16	-0.16	1.3	10.08	7.95	4.85
-0.2	-0.17	1.31	14.12	4.73	9.34
-0.19	-0.18	1.33	17.07	2.99	14.49
-0.14	-0.19	1.33	21.22	9.1	16.35
-0.15	-0.18	1.3	26.89	11.19	15.57
-0.16	-0.16	1.26	33.1	7.83	16.12
-0.16	-0.13	1.19	38.66	5.63	18.46
-0.16	-0.1	1.14	42.08	1.53	19.94
-0.16	-0.07	1.08	42.46	-3.95	21.19
-0.18	-0.06	1.04	37.6	-7.97	23.27
-0.18	-0.04	1.05	30.15	-9.24	25.83
-0.17	-0.03	1.03	22.43	-15.62	25.79
-0.12	-0.04	1.04	16.98	-20.18	25.86
-0.1	-0.05	1.06	15.19	-24.12	24.47
-0.11	-0.04	1.04	16.17	-27.31	23.05
-0.12	-0.02	1.02	14.49	-31.71	23.18
-0.11	-0.01	1.01	15.3	-32.66	23.01
-0.12	0	0.98	16.75	-33.92	22.56
-0.08	0.01	0.97	14.31	-33.45	21.57
-0.06	-0.02	1.01	13.92	-26.58	22.14
-0.04	-0.02	1.03	15.97	-25.56	23.25
0.02	-0.03	1.03	15.79	-21.1	22
0.02	-0.01	1	16.43	-20.14	20.41
-0.02	0	0.96	17.65	-22.05	21.21
-0.02	0.02	0.91	14.56	-25.59	22.89
-0.03	0.02	0.88	10.95	-22.53	21.98
-0.04	0.03	0.89	8.6	-23.83	22.52
-0.02	0.02	0.9	5.85	-23.68	21.4
0	0.04	0.93	4.08	-24.73	19.18
-0.02	-0.01	0.91	5.28	-29.08	16.06
-0.01	0.01	0.9	8.27	-31.01	20.15
-0.02	0.03	0.87	10.72	-28.64	25.59
0.01	0.05	0.82	12.66	-27.86	30.26
0.05	0.06	0.82	11.53	-27.74	28.05
0.05	0.06	0.83	9.69	-27.01	25.39
0.05	0.04	0.82	7.53	-25.86	22.41
0.03	0.03	0.82	6.4	-27.65	21.8
0.04	0.03	0.82	4.61	-28.96	23.3
0.06	0.03	0.83	4.06	-28.47	22.69
0.07	0.02	0.85	6.35	-30.38	23.6
0.06	0.02	0.85	8.72	-29.59	24.47
0.04	0.01	0.84	12.02	-28.23	26.38
0.03	0.02	0.81	14.18	-29.07	29.73
0.03	0.02	0.79	15.07	-30.27	29.92
0.05	0.03	0.8	15.02	-31.19	29.08
0.07	0.02	0.78	14.27	-27.97	28.34
0.08	0.03	0.79	11.65	-25.62	28.37
0.08	0.01	0.8	10.76	-21.94	27.69
0.07	0	0.81	11.57	-21.73	27.01
0.06	0	0.79	13.05	-22.96	28.17
0.08	0.01	0.78	13.86	-22.41	29.45
0.07	0.02	0.77	14.56	-21.73	30.61
0.06	0.02	0.76	15.21	-24.21	32.76
0.08	0.01	0.74	15.22	-25.21	34.4
0.09	0.02	0.73	13.86	-25.34	35.66
0.08	0.01	0.74	12.5	-26.78	35.71
0.1	0.02	0.73	10.41	-25.48	38.02
0.11	0.02	0.73	8.11	-23.01	39.98
0.11	0.01	0.73	7.19	-21.92	41.59
