acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
0.19	-0.15	1.5	-3.57	-22.03	47.18
0.22	-0.18	1.54	0.99	-16.9	43.44
0.16	-0.17	1.56	5.83	-37.76	38.31
0.31	-0.24	1.57	15.92	-27.63	31.74
0.25	-0.25	1.55	28.38	-20.4	25.34
0.32	-0.26	1.56	38.78	-16.96	22.26
0.36	-0.26	1.55	44.44	-19.3	15.36
0.42	-0.24	1.47	51.36	-4.84	11.04
0.39	-0.2	1.38	51.59	-0.12	9.85
0.36	-0.18	1.27	49.91	5.89	12.46
0.34	-0.16	1.18	47.88	11.45	13.15
0.35	-0.16	1.11	49.74	13.65	11.86
0.39	-0.15	1.09	51.07	8.89	7.1
0.47	-0.15	1.1	51.28	6.95	-3.01
0.47	-0.16	1.11	52.75	9.73	-14.72
0.42	-0.16	1.1	54.79	13.69	-23.71
0.37	-0.18	1.03	56.14	17.82	-28.35
0.33	-0.14	0.96	54.21	17.15	-31.08
0.32	-0.12	0.89	48.17	16.43	-33.51
0.31	-0.1	0.85	43.11	19.98	-35.59
0.31	-0.09	0.81	38.27	21.77	-41.34
0.28	-0.1	0.8	37.07	19.89	-47.94
0.27	-0.12	0.81	41.39	20.78	-54.43
0.22	-0.13	0.8	46.47	23.59	-60.08
0.18	-0.11	0.77	50.31	27.62	-61.02
0.13	-0.07	0.74	52.64	29.63	-58.21
0.11	-0.01	0.7	52.29	29.97	-51.76
0.14	0.06	0.65	49.5	27.94	-44.58
0.29	0.08	0.61	42.38	32.93	-43.76
0.37	0.09	0.62	34.17	40.17	-53.02
0.36	0.08	0.61	28.75	53.33	-66.23
0.28	0.07	0.58	26.24	63.65	-75.25
0.19	0.04	0.56	25.28	64.49	-81.11
0.1	0.05	0.56	25.22	57.18	-85.62
0.02	0.05	0.53	26.03	50.76	-87.4
-0.07	0.08	0.51	26.4	38.2	-86.17
-0.11	0.11	0.5	27.97	28.56	-75.44
-0.11	0.13	0.47	30.05	27.44	-59.27
-0.06	0.13	0.44	28.38	30.61	-47.02
-0.02	0.12	0.43	23.85	33.69	-40.63
0.01	0.12	0.42	17.07	37.76	-42.79
0.01	0.11	0.44	10.4	34.47	-51.88
-0.04	0.09	0.47	4.66	23.62	-61.6
-0.05	0.05	0.52	2.29	15.37	-69.31
-0.09	0.02	0.56	0.03	14.15	-72.76
-0.16	0.02	0.61	-0.35	11.82	-69.59
-0.21	0.01	0.64	1.5	7.98	-60.55
