acce_x	acce_y	acce_z	gyro_x	gyro_y	gyro_z
0.01	-0.13	0.92	-7.1	4.55	-5.79
-0.01	-0.14	0.91	-7.71	3.88	-4.82
-0.01	-0.13	0.9	-8.66	3.37	-3.76
-0.01	-0.14	0.91	-8.67	2.87	-3.13
-0.01	-0.14	0.92	-7.91	2.99	-2.5
0	-0.14	0.91	-6.96	3.05	-1.98
0	-0.14	0.91	-6.99	2.31	-1.53
0.01	-0.13	0.9	-7.48	2.6	-1.25
0.01	-0.13	0.9	-7.73	3.27	-1.19
0.01	-0.13	0.9	-8.15	2.95	-0.78
0	-0.13	0.9	-8.7	2.69	-0.66
0.01	-0.14	0.91	-8.44	1.86	-0.93
0	-0.14	0.91	-8.32	1.51	-0.15
0.01	-0.14	0.92	-8.55	2.02	0.08
0.01	-0.14	0.92	-9.21	2.17	0.11
0.01	-0.15	0.94	-8.82	2.64	0.26
0.01	-0.15	0.93	-9.13	1.28	0.32
0.01	-0.15	0.93	-8.6	0.27	0.5
0.01	-0.15	0.94	-6.98	-0.31	0.67
0.01	-0.15	0.94	-6.66	-0.05	0.37
0.01	-0.15	0.94	-6.63	-0.37	0.55
0.01	-0.15	0.94	-7.13	-0.7	0.67
0	-0.16	0.96	-6.05	-0.63	0.53
-0.01	-0.16	0.95	-4.14	-0.99	0.84
-0.02	-0.16	0.97	-3.33	-1.68	1.74
-0.01	-0.16	0.96	-2.18	-2.12	2.58
-0.01	-0.15	0.95	-1.21	-1.92	3.36
0	-0.15	0.93	-0.47	-3.22	4.15
0.02	-0.15	0.92	-0.66	-4.32	3.91
0	-0.14	0.91	-0.92	-5.36	3.68
0	-0.13	0.91	-1.97	-5.71	4.05
0.01	-0.14	0.92	-2.06	-5.65	4.53
0.01	-0.14	0.94	-0.38	-3.88	4.26
0.02	-0.13	0.92	-0.18	-1.91	3.63
0.02	-0.13	0.92	0.35	-3.04	3.34
0.02	-0.13	0.9	0.21	-3.62	3.77
0.01	-0.13	0.91	0	-4.84	4.2
0.01	-0.13	0.91	-0.09	-5.07	4.44
0.02	-0.12	0.9	-0.34	-3.74	4.53
0.03	-0.12	0.91	-0.4	-2.12	4.43
0.04	-0.11	0.9	-1.02	-0.93	3.6
0.03	-0.12	0.89	-2.32	-0.72	3.01
0.03	-0.1	0.91	-1.74	-1.66	2.92
0.04	-0.11	0.9	-2.81	-1.11	2.23
0.03	-0.11	0.9	-2.82	-1.01	2.4
0.04	-0.11	0.9	-2.92	-0.08	2.2
0.03	-0.11	0.89	-2.84	-0.44	2.34
0.04	-0.11	0.89	-3.47	-1.05	2.37
0.04	-0.11	0.9	-3.83	-2.11	1.97
0.04	-0.12	0.9	-3.56	-2.06	0.85
0.04	-0.11	0.91	-3.11	-1.24	-0.21
0.04	-0.11	0.91	-3.4	-0.63	-0.23
0.05	-0.12	0.89	-2.96	-0.64	-1.11
0.06	-0.11	0.89	-6.03	0.46	-2.7
0.03	-0.11	0.91	-6	0.52	-2.32
0.03	-0.12	0.92	-5.56	0	-1.48
0.04	-0.12	0.9	-5.95	0.03	-1.16
0.04	-0.12	0.91	-6.2	-0.52	-0.9
0.04	-0.12	0.91	-6.64	-0.89	-0.82
0.04	-0.11	0.9	-7.71	-1.15	-1.6
0.04	-0.12	0.92	-8.24	-1.36	-1.59
0.03	-0.12	0.95	-7.71	-0.24	-1.94
0.04	-0.12	0.93	-6.44	-0.03	-1.97
0.04	-0.12	0.93	-6.35	-0.31	-1.63
0.05	-0.12	0.92	-6.29	0.81	-1.88
0.04	-0.12	0.92	-6.72	0.81	-2.2
0.03	-0.12	0.91	-7.36	0.06	-1.86
0.03	-0.12	0.91	-7.44	-0.89	-1.65
0.03	-0.12	0.93	-6.67	-0.55	-1.21
0.04	-0.12	0.93	-6.09	-0.96	-1.33
0.05	-0.11	0.92	-5.74	-0.92	-1.63
