acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
0.16	0.03	0.89	-3.07	8.18	-5.82
0.16	0.03	0.89	-4.81	13.59	-6.99
0.18	0.01	0.92	-2.73	21.77	-12.75
0.17	0.02	0.96	0.72	26.06	-18.58
0.26	-0.07	0.88	6.61	18.02	-12.46
0.1	0.06	0.95	-2.44	5.22	-7.56
0.18	0.05	0.91	-3.54	3.21	-8.06
0.17	0.04	0.9	-6.31	6.98	-8.99
0.15	0.05	0.91	-7.88	9.4	-9.21
0.14	0.03	0.9	-6.38	11.83	-11.54
0.15	0.02	0.89	-5.21	14.75	-10.47
0.13	0.02	0.88	-6.5	15.4	-8.08
0.13	0.03	0.89	-5.86	18.7	-7.68
0.14	0.03	0.91	-3.97	23.4	-8.29
0.13	0.03	0.91	-3.69	25.69	-9.22
0.12	0.04	0.91	-5.8	22.63	-9.59
0.14	0.04	0.9	-7.28	17.34	-6.2
0.11	0.06	0.91	-9.68	11.1	-5.5
0.12	0.05	0.9	-10.38	10.14	-6.6
0.12	0.04	0.9	-10.58	11.83	-7.94
0.12	0.03	0.87	-10.67	12.64	-3.51
0.07	0.04	0.89	-12.4	7.16	-1.66
0.08	0.04	0.9	-11.3	4.03	-0.84
0.09	0.04	0.89	-10.31	5.11	-0.17
0.1	0.05	0.9	-10.41	4.69	1.04
0.12	0.04	0.91	-10.14	1.95	0.56
0.12	0.05	0.9	-11.21	1.3	-0.6
0.12	0.06	0.89	-12.93	2	-1.21
0.1	0.06	0.89	-14.89	-0.27	-1.34
0.11	0.05	0.88	-15.94	-2.05	-1.15
0.11	0.04	0.88	-15.56	1.51	-1.45
0.09	0.03	0.88	-14.34	0.92	-0.37
0.08	0.02	0.9	-12.5	0.27	0.69
0.11	0.02	0.92	-8.52	1.62	1.77
0.07	0.02	0.92	-5.76	-1.15	1.45
0.09	0.03	0.92	-6.44	-1.69	2.98
0.1	0.04	0.91	-7.86	-4.56	2.31
0.1	0.03	0.9	-10.08	-7.31	2.18
0.09	0.03	0.9	-11.54	-8.96	2.31
0.1	0.02	0.89	-10.95	-9.44	2.37
0.12	-0.01	0.89	-8.32	-5.51	2.56
0.13	0.01	0.92	-4.23	0.31	1.66
0.12	-0.01	0.96	1.13	2.18	0.72
0.14	0	0.96	2.93	5.45	-0.27
0.12	0.01	0.95	2.11	6.14	-1.01
0.11	0.02	0.94	-0.7	2.64	-0.87
0.11	0.02	0.93	-4.15	-2.79	0.21
0.12	0.02	0.92	-4.84	-5.3	0.17
0.14	0.01	0.92	-2.26	-2.2	-0.87
0.17	0	0.91	1.19	5.02	-2.61
0.15	0	0.91	3.25	10.75	-4.49
0.14	0.02	0.92	4.46	13.01	-5.91
0.13	0.02	0.95	3.79	12.56	-5.95
0.12	0.03	0.95	2.67	12.58	-4.81
0.1	0.03	0.96	1.39	9.48	-3.83
0.1	0.03	0.96	0.27	5.1	-3.1
0.1	0.04	0.94	-1.3	2.18	-2.43
0.13	0.03	0.93	-2.17	2.05	-2.96
0.13	0.03	0.92	-1.59	4.31	-3.5
0.14	0.04	0.9	-1.28	7.3	-4.09
0.12	0.03	0.91	-1.07	8.84	-4.63
0.11	0.04	0.92	-1.95	8.41	-4.46
