acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
-0.23,0.22,0.92,-1.54,1.18,2.35,31.87
-0.24,0.22,0.93,-0.52,-0.41,1.16,31.82
-0.24,0.22,0.92,0.31,-2.58,-0.15,31.92
-0.23,0.23,0.92,-0.46,-3.42,-0.56,31.92
-0.22,0.25,0.92,-2.93,-2.98,-0.46,31.92
-0.22,0.25,0.92,-4.72,-2.0,-0.21,31.87
-0.22,0.24,0.92,-5.77,-1.08,0.61,31.92
-0.22,0.24,0.91,-6.82,-1.59,0.31,31.87
-0.22,0.24,0.92,-7.8,-1.86,0.14,31.97
-0.21,0.23,0.94,-7.95,-2.27,-1.02,31.87
-0.21,0.23,0.92,-7.95,-1.27,-1.34,31.87
-0.21,0.22,0.93,-7.04,-0.17,-1.39,31.82
-0.22,0.22,0.94,-6.15,0.43,-2.11,31.92
-0.23,0.24,0.94,-5.91,0.4,-1.97,31.92
-0.23,0.23,0.94,-5.63,1.05,-2.02,31.92
-0.24,0.23,0.95,-5.57,1.11,-2.06,31.97
-0.24,0.22,0.95,-5.1,1.97,-1.19,31.87
-0.24,0.23,0.95,-4.81,3.88,-0.79,31.87
-0.25,0.24,0.94,-5.02,4.66,-0.34,31.82
-0.27,0.23,0.94,-4.37,3.79,-0.46,31.82
-0.27,0.22,0.95,-2.66,2.9,-0.55,31.82
-0.26,0.22,0.95,-1.04,1.31,-0.17,31.92
-0.27,0.22,0.95,-0.06,0.11,0.11,31.92
-0.25,0.22,0.94,1.15,-0.79,-0.21,31.87
-0.25,0.23,0.93,1.6,-0.99,-0.15,31.82
-0.25,0.23,0.93,1.74,-0.66,-0.17,31.82
-0.24,0.24,0.91,0.7,-1.05,-1.04,31.92
-0.24,0.26,0.89,-1.57,-0.4,-0.44,31.82
-0.21,0.25,0.91,-3.42,-0.17,0.43,31.92
-0.21,0.24,0.91,-3.53,-0.15,-0.75,31.92
-0.2,0.24,0.92,-3.65,0.4,-1.54,31.92
-0.2,0.23,0.92,-3.48,1.51,-1.56,31.92
-0.21,0.23,0.92,-2.98,3.08,-1.85,31.92
-0.22,0.23,0.93,-2.81,3.59,-0.67,31.97
-0.23,0.22,0.93,-2.58,3.18,-0.64,31.87
-0.23,0.23,0.92,-2.79,1.4,-2.29,31.87
-0.23,0.24,0.92,-4.02,-0.02,-2.53,31.78
-0.22,0.24,0.92,-5.1,0.82,-2.26,31.87
-0.23,0.23,0.92,-5.51,1.76,-1.82,31.87
-0.24,0.24,0.92,-6.12,2.06,-1.37,31.97
-0.24,0.23,0.92,-6.12,2.64,-1.31,32.01
-0.25,0.22,0.92,-6.06,3.28,-1.3,31.82
-0.25,0.22,0.92,-5.85,3.11,-1.22,31.82
-0.27,0.21,0.94,-4.52,1.37,-2.67,31.92
-0.29,0.21,0.92,-4.27,-1.51,-2.87,31.87
-0.28,0.22,0.93,-4.26,-2.76,-2.06,31.92
-0.25,0.22,0.92,-4.6,-2.55,-1.31,31.92
-0.25,0.22,0.92,-4.66,-1.21,-0.26,31.97
-0.24,0.21,0.93,-4.32,0.27,-0.14,31.87
-0.26,0.2,0.94,-2.9,-0.08,-0.24,31.78
-0.25,0.21,0.95,-2.55,-0.06,-0.84,31.87
-0.25,0.22,0.93,-3.25,0.63,-0.96,32.01
-0.25,0.22,0.94,-4.08,1.44,-0.21,31.82
-0.25,0.22,0.94,-4.47,0.6,0.02,31.97
-0.25,0.21,0.94,-3.45,-0.37,-0.06,31.92
-0.24,0.21,0.95,-1.79,-0.93,-0.84,31.97
-0.24,0.22,0.94,-1.22,-0.26,-0.9,31.87
-0.23,0.22,0.94,-1.02,1.34,-1.08,31.82
-0.24,0.23,0.94,-1.37,2.38,-1.37,31.92
-0.25,0.24,0.92,-2.93,1.69,-1.54,31.97
-0.26,0.25,0.92,-4.5,-0.09,-1.69,31.87
-0.26,0.23,0.92,-4.61,-1.07,-1.5,31.92
-0.26,0.22,0.93,-4.0,-1.44,-0.96,31.92
-0.25,0.21,0.95,-2.72,-0.5,-0.27,31.92
-0.25,0.21,0.94,-1.8,1.27,0.5,31.87
-0.25,0.21,0.94,-0.82,2.21,0.61,31.92
-0.25,0.22,0.95,-0.5,1.89,0.14,31.97
-0.26,0.23,0.93,-1.56,0.53,0.05,31.82
-0.26,0.23,0.94,-2.38,-0.49,0.24,31.97
-0.25,0.23,0.93,-3.22,-0.72,0.18,31.87
-0.25,0.22,0.93,-4.17,-1.97,-0.35,31.87
-0.25,0.22,0.92,-4.14,-2.44,-0.46,31.87
-0.25,0.21,0.92,-4.21,-2.41,-0.15,31.92
-0.24,0.21,0.91,-4.32,-2.12,-0.17,31.92
-0.23,0.21,0.92,-3.69,-1.34,0.31,31.92
-0.23,0.21,0.92,-2.89,-0.09,0.72,31.92
-0.24,0.22,0.91,-2.81,0.02,0.26,32.01
-0.23,0.22,0.92,-3.18,0.05,-0.23,31.87
-0.23,0.23,0.92,-4.23,0.11,-1.01,31.97
-0.24,0.23,0.92,-5.34,0.49,-1.22,31.92
-0.23,0.23,0.93,-5.89,0.52,-1.1,31.92
-0.25,0.22,0.93,-6.26,0.09,-0.87,32.01
-0.25,0.22,0.93,-6.56,-0.43,-0.21,31.87
-0.25,0.21,0.93,-5.95,0.24,0.15,31.92
-0.24,0.21,0.94,-5.47,1.54,0.9,31.87
-0.25,0.21,0.94,-4.63,1.8,0.47,31.92
-0.26,0.2,0.94,-2.95,0.93,-0.27,31.87
-0.27,0.21,0.95,-2.08,-1.57,-0.76,31.87
-0.26,0.21,0.95,-1.51,-4.12,-1.24,31.87
-0.25,0.2,0.94,-0.95,-4.7,-1.39,31.92
-0.24,0.21,0.94,-1.33,-3.3,-0.61,32.01
-0.24,0.2,0.94,-0.67,-1.65,-0.89,31.82
-0.24,0.2,0.94,-0.03,-1.71,-1.33,32.01
-0.26,0.19,0.95,2.0,-3.57,-2.53,31.87
-0.25,0.2,0.95,2.78,-4.38,-2.03,31.87
-0.24,0.21,0.94,1.98,-3.92,-1.37,31.87
-0.24,0.22,0.93,0.81,-3.25,-1.11,31.92
-0.24,0.23,0.93,-0.55,-3.82,-1.08,31.92
-0.23,0.23,0.92,-1.51,-4.52,-0.87,31.92
-0.22,0.23,0.93,-2.63,-5.16,-1.25,31.87
-0.22,0.23,0.93,-3.15,-5.21,-1.44,31.92
-0.22,0.22,0.93,-4.41,-4.7,-1.69,31.92
-0.22,0.23,0.92,-5.19,-4.7,-2.03,31.92
-0.23,0.23,0.91,-5.74,-5.45,-2.79,31.97
-0.23,0.23,0.91,-6.31,-6.82,-3.33,31.87
-0.22,0.21,0.92,-4.78,-8.12,-4.84,31.82
-0.2,0.21,0.93,-3.79,-5.07,-4.31,31.92
-0.21,0.21,0.92,-5.04,-2.15,-3.5,31.78
-0.23,0.23,0.93,-5.54,-1.5,-3.95,31.97
-0.24,0.22,0.92,-5.98,-1.42,-3.83,31.87
-0.25,0.22,0.93,-5.71,-0.03,-3.15,31.82
-0.25,0.22,0.94,-5.8,0.14,-3.47,31.92
-0.26,0.22,0.95,-6.05,-0.53,-3.91,31.92
-0.27,0.2,0.96,-6.02,-0.95,-4.29,31.87
-0.28,0.19,0.94,-5.6,-1.8,-3.97,31.78
-0.29,0.18,0.96,-3.92,-2.9,-3.79,31.97
-0.3,0.18,0.96,-2.63,-4.31,-2.92,31.92
-0.29,0.18,0.96,-2.0,-4.85,-2.14,31.82
-0.28,0.19,0.95,-2.26,-4.87,-1.3,31.92
-0.27,0.2,0.94,-3.21,-4.67,-0.95,31.87
-0.25,0.19,0.94,-3.42,-4.67,-0.84,31.82
