acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
-0.01,-0.22,0.98,-3.4,2.14,-7.98,32.58
-0.03,-0.22,0.97,-2.6,1.74,-5.45,32.62
-0.03,-0.2,0.96,-4.66,-5.56,-5.71,32.62
-0.03,-0.2,0.96,-4.03,-7.02,-6.0,32.62
-0.03,-0.21,0.96,-1.89,-1.92,-6.34,32.58
-0.04,-0.2,0.96,-2.79,-1.51,-7.57,32.53
-0.06,-0.19,0.94,-4.92,-6.08,-7.63,32.67
-0.06,-0.19,0.95,-4.89,-7.47,-6.31,32.67
-0.05,-0.2,0.97,-4.84,-5.91,-4.96,32.62
-0.07,-0.2,0.97,-4.61,-5.77,-3.51,32.67
-0.06,-0.19,0.96,-4.17,-4.09,-0.6,32.62
-0.07,-0.19,0.95,-4.58,-4.35,2.89,32.67
-0.07,-0.2,0.95,-5.36,-5.69,6.05,32.53
-0.06,-0.2,0.95,-7.05,-5.59,9.16,32.48
-0.05,-0.21,0.95,-7.89,-4.64,11.39,32.67
-0.04,-0.23,0.95,-7.65,-3.85,12.52,32.62
-0.03,-0.24,0.95,-7.4,-4.63,13.47,32.58
-0.01,-0.25,0.94,-7.05,-4.27,14.31,32.58
-0.01,-0.26,0.94,-6.11,-4.26,14.7,32.62
-0.01,-0.27,0.95,-5.68,-4.9,13.4,32.58
0.0,-0.28,0.94,-5.53,-5.89,12.67,32.62
0.01,-0.29,0.94,-5.59,-5.79,13.22,32.67
0.02,-0.31,0.93,-6.05,-4.27,14.64,32.58
0.03,-0.32,0.95,-5.54,-2.55,15.39,32.62
0.05,-0.33,0.94,-4.66,-1.15,15.76,32.53
0.06,-0.33,0.94,-3.22,-0.18,15.44,32.58
0.07,-0.34,0.94,-1.25,0.63,14.27,32.58
0.08,-0.33,0.93,-0.5,0.64,11.1,32.67
0.09,-0.33,0.94,-1.02,1.11,8.11,32.58
0.08,-0.33,0.93,-1.47,-0.2,4.61,32.53
0.08,-0.32,0.94,-1.19,-0.32,1.92,32.62
0.08,-0.32,0.95,0.2,-0.34,-0.92,32.58
0.07,-0.32,0.95,1.3,0.72,-3.05,32.58
0.04,-0.31,0.95,2.21,0.49,-4.49,32.53
0.03,-0.29,0.96,2.93,-0.14,-5.57,32.58
0.02,-0.28,0.96,3.01,-2.5,-5.53,32.58
0.03,-0.27,0.96,2.84,-2.08,-4.55,32.67
0.04,-0.27,0.97,3.76,-2.09,-2.78,32.58
0.04,-0.25,0.97,4.81,-0.99,-1.5,32.62
0.05,-0.25,0.97,6.41,0.08,-1.07,32.62
0.05,-0.24,0.96,7.21,1.98,-0.5,32.58
0.05,-0.23,0.96,7.86,1.77,-0.82,32.58
0.05,-0.23,0.94,8.03,2.37,-2.9,32.62
0.05,-0.21,0.95,7.66,2.18,-5.57,32.58
0.04,-0.21,0.94,7.31,1.79,-8.26,32.53
0.03,-0.2,0.93,5.24,0.76,-10.18,32.67
0.04,-0.19,0.93,2.27,0.9,-10.37,32.58
0.04,-0.2,0.94,0.15,1.97,-9.3,32.62
0.03,-0.2,0.94,-1.25,3.15,-8.52,32.53
0.01,-0.21,0.95,-1.22,3.63,-7.51,32.72
0.01,-0.21,0.96,-0.93,3.54,-7.07,32.58
-0.0,-0.21,0.97,-0.34,3.05,-6.64,32.48
-0.0,-0.22,0.96,0.67,2.98,-7.74,32.62
-0.02,-0.22,0.97,2.55,3.79,-7.69,32.67
-0.02,-0.22,0.96,2.9,3.39,-7.42,32.67
-0.01,-0.23,0.95,2.78,2.69,-6.52,32.58
-0.0,-0.23,0.94,1.02,2.29,-4.79,32.62
0.0,-0.23,0.94,-0.76,1.8,-2.73,32.62
0.0,-0.23,0.94,-2.11,0.89,-1.05,32.53
-0.0,-0.23,0.95,-2.85,1.31,0.58,32.62
0.01,-0.22,0.96,-2.87,0.76,1.83,32.53
0.01,-0.22,0.96,-2.29,0.0,1.45,32.58
0.02,-0.22,0.97,-1.3,0.32,0.85,32.53
0.02,-0.21,0.96,-0.52,0.9,0.35,32.67
0.02,-0.22,0.96,-0.31,1.39,-1.13,32.72
0.02,-0.22,0.95,-1.5,1.69,-2.03,32.53
0.02,-0.21,0.94,-2.27,1.1,-3.24,32.62
0.02,-0.22,0.95,-3.02,0.58,-4.29,32.62
0.01,-0.22,0.95,-3.02,0.78,-5.54,32.48
0.0,-0.22,0.96,-2.96,1.33,-5.69,32.58
-0.01,-0.22,0.96,-2.31,1.16,-4.55,32.58
-0.0,-0.23,0.97,-1.57,1.74,-3.24,32.62
-0.01,-0.23,0.96,-0.09,2.18,-3.1,32.72
-0.02,-0.23,0.96,0.34,1.89,-2.47,32.53
-0.01,-0.24,0.96,0.6,1.15,-2.03,32.53
-0.02,-0.24,0.96,0.76,0.63,-1.31,32.62
-0.01,-0.23,0.96,1.07,0.67,-1.37,32.53
-0.01,-0.22,0.95,1.25,1.36,-1.16,32.53
-0.02,-0.22,0.95,1.21,1.28,-0.38,32.48
-0.03,-0.22,0.96,1.34,0.2,0.14,32.67
-0.01,-0.22,0.95,0.53,-0.46,1.07,32.53
-0.0,-0.23,0.94,0.17,-0.66,2.14,32.62
0.0,-0.24,0.94,-0.09,-0.56,2.14,32.62
0.01,-0.24,0.94,-0.38,0.55,1.73,32.62
0.01,-0.24,0.95,-0.63,0.7,0.06,32.53
0.01,-0.24,0.96,-0.52,-0.5,-2.11,32.62
0.0,-0.23,0.97,0.09,-1.57,-3.05,32.62
0.0,-0.23,0.97,1.59,-1.69,-3.15,32.53
-0.0,-0.22,0.98,2.27,-0.63,-2.31,32.62
0.0,-0.21,0.95,3.13,0.85,-1.36,32.62
-0.0,-0.2,0.95,2.95,0.98,-0.21,32.67
-0.0,-0.2,0.94,1.88,1.01,-0.14,32.48
-0.0,-0.19,0.94,0.34,0.41,-1.24,32.48
-0.0,-0.2,0.94,-1.48,-0.4,-2.53,32.58
0.0,-0.2,0.94,-2.76,-0.5,-3.65,32.53
0.0,-0.21,0.95,-2.87,-0.03,-3.65,32.62
-0.01,-0.21,0.96,-3.05,-0.02,-2.75,32.58
-0.01,-0.21,0.97,-3.36,-0.29,-2.09,32.62
-0.02,-0.22,0.97,-2.76,-0.05,-1.05,32.67
-0.01,-0.22,0.96,-2.89,0.29,-1.05,32.67
-0.01,-0.22,0.97,-2.89,0.35,-0.82,32.67
-0.0,-0.22,0.96,-2.18,0.35,-0.06,32.72
0.0,-0.23,0.97,-1.68,0.87,0.78,32.62
0.0,-0.23,0.96,-1.16,1.19,0.35,32.58
0.0,-0.23,0.94,-1.85,1.28,-0.44,32.58
-0.0,-0.23,0.96,-3.02,0.17,-0.85,32.53
0.01,-0.23,0.94,-4.02,-1.21,-1.6,32.58
0.01,-0.24,0.94,-4.24,-0.63,-2.32,32.58
0.01,-0.24,0.95,-4.4,-0.38,-3.13,32.53
-0.0,-0.23,0.97,-5.19,-1.79,-2.81,32.62
-0.0,-0.23,0.97,-3.98,-2.17,-2.02,32.58
0.02,-0.23,0.97,-2.78,-1.34,-1.51,32.62
0.01,-0.23,0.96,-2.11,0.27,-0.93,32.67
0.01,-0.22,0.96,-2.06,1.24,-0.63,32.53
0.01,-0.22,0.96,-1.86,1.1,-0.95,32.62
0.01,-0.22,0.96,-1.86,0.73,-2.14,32.62
0.02,-0.22,0.93,-1.65,0.11,-2.99,32.53
0.02,-0.23,0.95,-1.56,0.81,-3.88,32.62
0.0,-0.23,0.94,-2.44,0.58,-4.9,32.62
0.0,-0.23,0.95,-3.53,-0.66,-4.73,32.58
-0.0,-0.23,0.96,-3.24,-1.05,-4.12,32.53
-0.0,-0.23,0.95,-3.11,-0.35,-3.85,32.58
-0.01,-0.22,0.97,-2.56,-0.63,-2.7,32.62
-0.0,-0.23,0.97,-1.77,-0.21,-1.56,32.58
0.0,-0.22,0.96,-0.67,0.29,0.23,32.67
-0.0,-0.22,0.95,-0.44,0.98,0.55,32.53
0.01,-0.22,0.95,-1.07,1.34,-0.72,32.48
0.01,-0.22,0.95,-1.27,0.87,-2.15,32.67
0.01,-0.22,0.94,-1.63,0.15,-4.23,32.48
0.01,-0.23,0.94,-2.85,-0.03,-5.13,32.67
0.01,-0.23,0.96,-3.51,-0.44,-4.9,32.67
0.02,-0.22,0.96,-3.62,-0.92,-4.58,32.62
0.01,-0.24,0.96,-1.48,-0.27,-4.9,32.62
0.0,-0.23,0.96,-0.6,-0.47,-5.27,32.48
0.01,-0.22,0.96,-0.52,-0.2,-5.42,32.58
0.0,-0.22,0.95,-0.87,1.36,-6.6,32.62
-0.01,-0.22,0.94,-1.33,1.42,-9.21,32.67
-0.01,-0.21,0.92,-1.95,1.28,-10.84,32.53
-0.0,-0.21,0.92,-3.95,-2.15,-10.75,32.67
0.01,-0.2,0.91,-7.33,-3.98,-11.77,32.58
0.03,-0.2,0.91,-9.22,-6.99,-13.73,32.62
0.03,-0.18,0.94,-11.13,-8.58,-14.95,32.62
0.02,-0.18,0.95,-10.15,-8.76,-16.37,32.58
0.03,-0.2,0.96,-6.06,-9.44,-16.32,32.67
0.04,-0.23,0.93,-0.9,-11.37,-13.83,32.62
0.05,-0.22,0.92,0.75,-14.0,-10.63,32.53
0.06,-0.16,0.88,-4.93,-13.92,-6.2,32.62
0.07,-0.1,0.88,-13.95,-15.37,-4.84,32.58
0.08,-0.07,0.86,-19.02,-15.37,-9.02,32.67
0.08,-0.07,0.83,-22.92,-15.79,-13.5,32.72
0.09,-0.09,0.83,-30.52,-17.85,-18.64,32.67
0.05,-0.19,0.84,-36.64,-27.68,-26.17,32.62
0.09,-0.26,0.9,-35.86,-30.87,-25.86,32.53
0.13,-0.35,0.97,-27.39,-30.63,-25.83,32.67
0.16,-0.4,1.0,-20.72,-25.6,-28.93,32.58
0.11,-0.41,1.03,-16.21,-26.29,-31.86,32.53
0.1,-0.46,1.04,-8.7,-26.15,-31.62,32.58
0.1,-0.42,1.04,0.81,-15.13,-24.43,32.58
0.15,-0.39,1.21,24.15,-9.62,-19.25,32.62
0.05,-0.46,1.11,43.19,-9.77,-9.07,32.58
0.0,-0.43,1.03,56.34,-10.32,-5.68,32.58
-0.02,-0.42,0.93,66.05,-14.76,-7.21,32.67
-0.01,-0.36,0.85,62.84,-16.12,-10.95,32.53
-0.01,-0.32,0.8,61.51,-24.47,-20.2,32.67
-0.0,-0.27,0.84,73.98,-34.26,-31.25,32.53
-0.0,-0.21,0.78,91.13,-25.88,-39.69,32.72
0.02,-0.2,0.85,109.5,-31.69,-39.15,32.67
0.04,-0.22,0.83,116.84,-37.59,-33.59,32.67
0.08,-0.24,0.91,124.73,-36.67,-30.26,32.53
0.1,-0.19,0.88,122.78,-16.37,-25.04,32.58
0.03,-0.19,0.86,120.0,-17.04,-19.21,32.67
0.05,-0.1,0.78,119.69,5.8,-10.09,32.62
-0.04,-0.06,0.73,124.66,-9.56,-6.82,32.67
0.02,-0.05,0.84,137.63,-45.24,-15.59,32.48
0.14,-0.09,0.87,167.51,-75.77,-33.19,32.53
0.24,-0.11,0.9,194.53,-90.75,-54.32,32.62
0.28,-0.1,0.89,197.01,-92.09,-69.42,32.58
0.3,-0.03,0.84,166.82,-86.14,-67.39,32.48
0.26,0.11,0.77,122.64,-73.94,-50.5,32.62
