acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.28,-0.08,1.13,8.6,-41.21,14.64,32.86
0.31,-0.07,1.11,17.19,-38.31,8.79,32.81
0.32,-0.04,1.08,24.6,-33.63,2.98,32.77
0.31,-0.01,1.05,29.02,-27.4,0.03,32.77
0.33,0.04,1.01,30.64,-20.78,-0.47,32.81
0.35,0.08,0.95,30.76,-14.72,1.18,32.81
0.36,0.11,0.94,24.93,-4.49,3.51,32.81
0.34,0.17,0.9,18.76,1.56,3.36,32.86
0.33,0.21,0.86,14.31,7.59,2.61,32.81
0.32,0.22,0.85,13.22,8.73,0.66,32.91
0.28,0.2,0.89,15.65,1.57,-4.76,32.81
0.3,0.18,0.92,26.17,-3.42,-10.32,32.81
0.3,0.16,0.95,36.29,-2.32,-16.56,32.72
0.28,0.16,0.93,44.2,-0.7,-21.98,32.86
0.25,0.19,0.9,47.6,-0.5,-24.18,32.86
0.22,0.22,0.87,48.6,-4.24,-24.84,32.91
0.23,0.25,0.84,48.81,-8.87,-24.73,32.81
0.23,0.27,0.8,45.69,-13.42,-24.31,32.86
0.24,0.31,0.77,39.59,-16.52,-22.38,32.81
0.24,0.34,0.75,33.15,-16.26,-20.98,32.86
0.23,0.37,0.69,22.43,-15.02,-18.5,32.91
0.24,0.38,0.72,18.2,-10.35,-14.76,32.86
0.23,0.36,0.73,14.73,-7.62,-14.05,32.77
0.21,0.34,0.77,12.55,-9.94,-15.18,32.77
0.22,0.3,0.81,13.97,-8.66,-18.03,32.72
0.2,0.27,0.86,13.08,-7.54,-22.52,32.72
0.16,0.25,0.88,12.38,-7.66,-26.03,32.67
0.13,0.25,0.89,13.5,-8.64,-27.19,32.86
0.11,0.24,0.9,16.05,-8.98,-26.56,32.81
0.09,0.24,0.89,16.89,-8.44,-22.9,32.81
0.09,0.23,0.89,14.32,-9.33,-15.33,32.86
0.09,0.25,0.87,10.02,-8.38,-6.37,32.77
0.12,0.25,0.87,5.98,-6.76,1.19,32.86
0.15,0.24,0.88,1.65,-5.16,6.63,32.95
0.16,0.23,0.89,-1.18,-7.98,7.3,32.81
0.2,0.2,0.91,0.12,-10.18,5.6,32.77
0.21,0.17,0.94,-0.21,-13.8,3.18,32.81
0.23,0.15,0.94,-0.06,-16.85,-0.24,32.81
0.24,0.14,0.97,1.4,-19.62,-2.84,32.91
0.25,0.14,0.96,5.13,-22.79,-4.53,32.81
0.28,0.14,0.96,4.96,-24.31,-3.63,32.91
0.3,0.16,0.94,4.35,-22.93,-3.02,32.81
0.32,0.19,0.93,3.34,-18.41,-3.39,32.91
0.33,0.2,0.91,0.95,-14.98,-3.8,32.86
0.34,0.2,0.92,-1.13,-12.69,-4.52,32.86
0.37,0.18,0.94,0.63,-7.6,-4.98,32.77
0.37,0.17,0.95,0.78,-1.01,-5.15,32.81
0.35,0.18,0.96,1.15,5.18,-5.57,32.81
0.32,0.19,0.95,1.25,7.8,-6.58,32.91
0.3,0.18,0.96,1.85,8.2,-7.77,32.91
0.28,0.18,0.97,2.38,6.96,-9.24,32.77
0.26,0.18,0.95,2.26,3.63,-11.56,32.77
0.25,0.19,0.96,3.57,0.93,-12.69,32.81
0.26,0.19,0.95,3.11,0.05,-13.15,32.81
0.27,0.2,0.94,1.95,0.15,-13.25,32.86
0.27,0.21,0.94,0.67,-0.79,-13.02,32.91
0.28,0.21,0.95,1.82,-0.87,-12.63,32.81
0.28,0.2,0.95,2.4,2.89,-11.36,32.81
0.27,0.22,0.94,2.64,3.33,-9.97,32.86
0.29,0.23,0.92,1.6,5.16,-9.22,32.86
0.28,0.25,0.92,1.15,6.9,-10.12,32.86
0.27,0.27,0.9,-0.32,5.13,-12.32,32.91
0.27,0.28,0.9,-3.16,0.75,-14.46,32.91
0.28,0.28,0.91,-3.88,-1.76,-16.38,32.81
0.27,0.28,0.91,-5.08,-2.95,-17.76,32.81
0.27,0.28,0.92,-5.08,-3.16,-17.63,32.77
0.28,0.26,0.93,-4.41,-2.02,-16.26,32.81
0.27,0.27,0.93,-4.5,0.61,-14.41,32.81
0.26,0.25,0.95,-3.48,3.15,-12.47,32.81
0.23,0.27,0.97,-2.0,5.82,-11.24,32.91
0.23,0.27,0.97,0.23,7.66,-9.76,32.91
0.23,0.27,0.97,1.13,6.0,-9.85,32.81
0.22,0.29,0.97,1.3,1.6,-10.06,32.91
0.22,0.28,0.96,1.71,-0.69,-9.91,33.0
0.21,0.28,0.97,0.76,-1.53,-9.07,32.86
0.22,0.29,0.98,0.32,1.74,-5.98,32.91
0.22,0.29,0.97,-0.11,5.01,-1.83,32.91
0.21,0.27,0.98,2.12,5.68,-0.17,32.86
0.21,0.25,0.99,4.72,4.17,1.01,32.81
0.2,0.25,0.99,6.32,-0.63,0.4,32.86
0.21,0.24,1.0,8.49,-6.61,-1.39,32.91
0.22,0.25,0.98,11.15,-10.87,-2.41,32.86
0.23,0.25,0.98,11.51,-11.53,-2.08,32.81
0.24,0.25,0.98,10.9,-12.93,-2.66,32.81
0.24,0.25,0.96,11.02,-15.08,-3.28,32.95
0.25,0.25,0.95,11.57,-16.98,-2.63,32.86
0.26,0.25,0.93,12.08,-16.58,-1.59,32.91
0.28,0.24,0.93,14.08,-14.78,-0.66,32.91
0.3,0.23,0.94,19.24,-9.45,-0.23,32.95
0.3,0.22,0.94,22.85,-5.88,-0.27,32.91
0.3,0.22,0.93,28.44,-4.05,-1.05,32.91
0.29,0.23,0.93,31.71,-2.06,-2.02,32.81
0.28,0.25,0.9,33.22,-1.65,-3.21,32.81
0.26,0.28,0.9,33.25,-3.85,-3.85,32.81
0.26,0.3,0.88,30.69,-5.88,-5.22,32.81
0.26,0.31,0.87,28.17,-8.72,-4.85,32.86
0.28,0.34,0.86,24.53,-8.47,-3.8,32.77
0.27,0.35,0.85,22.11,-7.11,-4.21,32.95
0.3,0.36,0.83,17.62,-3.74,-3.22,32.77
0.29,0.36,0.83,12.73,-1.6,-1.97,32.77
0.29,0.37,0.84,7.76,0.63,-0.44,32.91
0.29,0.38,0.84,2.23,2.29,0.58,32.77
0.28,0.37,0.84,-0.09,1.68,-0.35,32.91
0.26,0.36,0.85,-0.5,0.24,-2.69,32.91
0.26,0.35,0.86,-1.18,-2.61,-4.98,32.86
0.24,0.34,0.89,-1.42,-6.17,-5.97,32.77
0.26,0.34,0.9,-1.85,-8.26,-5.62,32.86
0.28,0.33,0.91,-3.22,-7.59,-4.2,32.91
0.28,0.33,0.9,-4.63,-7.04,-3.13,32.91
0.29,0.33,0.9,-5.18,-5.85,-2.47,32.91
0.3,0.34,0.9,-5.48,-3.91,-1.79,32.81
0.29,0.34,0.9,-6.78,-2.55,-2.0,32.91
0.29,0.34,0.89,-8.32,-0.95,-2.02,32.86
0.28,0.34,0.91,-10.43,-2.56,-2.58,32.95
