acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
-0.61,-0.08,0.82,-21.89,2.29,-5.53,30.88
-0.6,-0.1,0.82,-20.23,1.44,-4.72,30.88
-0.62,-0.1,0.83,-18.96,1.22,-4.4,30.84
-0.62,-0.12,0.82,-17.3,0.49,-3.76,30.88
-0.62,-0.12,0.82,-15.5,-1.05,-2.81,30.93
-0.62,-0.13,0.82,-12.9,-2.24,-1.97,30.84
-0.61,-0.13,0.82,-10.31,-4.49,-1.6,30.93
-0.58,-0.13,0.8,-8.56,-4.26,-1.15,30.93
-0.59,-0.13,0.79,-7.8,-4.95,-0.52,30.88
-0.58,-0.14,0.79,-6.95,-5.88,-0.82,30.93
-0.56,-0.15,0.78,-5.39,-5.31,-1.33,30.88
-0.56,-0.15,0.79,-5.01,-6.35,-2.93,30.93
-0.54,-0.16,0.78,-4.75,-6.18,-3.53,30.88
-0.54,-0.16,0.77,-4.81,-5.59,-3.19,30.93
-0.53,-0.18,0.77,-3.88,-4.27,-3.71,30.88
-0.53,-0.17,0.77,-2.02,-3.15,-4.69,30.84
-0.53,-0.18,0.76,-1.13,-2.73,-5.79,30.88
-0.55,-0.19,0.78,-0.03,-3.11,-6.61,30.84
-0.56,-0.18,0.78,0.75,-2.81,-7.04,30.88
-0.56,-0.18,0.77,1.34,-3.83,-6.34,30.84
-0.56,-0.19,0.77,2.43,-3.47,-5.24,30.84
-0.56,-0.2,0.79,4.27,-2.5,-4.96,30.88
-0.54,-0.18,0.79,6.81,-1.36,-4.32,30.88
-0.55,-0.17,0.77,8.0,-0.58,-4.14,30.88
-0.57,-0.17,0.78,8.26,-1.05,-3.73,30.88
-0.58,-0.17,0.77,9.1,-2.85,-2.78,30.74
-0.57,-0.17,0.78,11.97,-3.45,-2.63,30.84
-0.56,-0.15,0.77,12.95,-4.32,-2.9,30.79
-0.56,-0.12,0.78,13.22,-2.76,-2.49,30.84
-0.55,-0.12,0.77,11.97,-2.26,-2.26,30.84
-0.55,-0.09,0.75,11.47,-0.35,-1.39,30.79
-0.56,-0.08,0.76,9.02,-0.95,-1.94,30.93
-0.56,-0.07,0.76,6.15,-0.99,-3.3,30.93
-0.57,-0.07,0.76,3.98,-2.03,-3.37,30.93
-0.58,-0.07,0.78,1.85,-2.2,-2.93,30.88
-0.58,-0.08,0.77,0.72,-2.2,-2.06,30.88
-0.56,-0.08,0.79,0.52,-0.73,-1.22,30.79
-0.56,-0.07,0.79,0.52,0.73,-0.49,30.93
-0.56,-0.06,0.79,-0.47,1.66,-0.49,30.88
-0.58,-0.04,0.79,-2.78,2.37,-0.35,30.84
-0.58,-0.05,0.78,-5.13,1.91,-1.1,30.84
-0.57,-0.06,0.79,-6.81,0.44,-1.86,30.88
-0.58,-0.07,0.79,-7.89,-0.18,-1.57,30.98
-0.56,-0.09,0.8,-6.85,-0.18,-0.5,30.93
-0.56,-0.09,0.8,-6.11,1.24,-0.41,30.88
-0.56,-0.09,0.8,-5.63,2.47,-0.27,30.84
-0.58,-0.09,0.79,-6.21,1.62,-0.14,30.93
-0.59,-0.1,0.79,-6.05,-0.02,0.32,30.93
-0.59,-0.1,0.78,-6.63,0.0,0.95,30.88
-0.59,-0.1,0.77,-7.53,-0.11,1.05,30.84
-0.59,-0.1,0.78,-8.55,0.47,1.28,30.98
-0.59,-0.1,0.78,-8.92,1.13,1.82,30.93
-0.59,-0.12,0.77,-9.51,1.07,1.73,30.84
-0.58,-0.12,0.77,-10.06,0.61,1.74,30.93
-0.59,-0.13,0.78,-10.49,0.12,1.73,30.84
-0.58,-0.14,0.78,-9.24,-1.44,0.6,30.84
-0.57,-0.15,0.8,-7.01,-2.61,-0.76,30.88
-0.56,-0.15,0.78,-5.74,-2.5,-0.95,30.93
-0.56,-0.14,0.77,-5.66,-1.5,0.72,30.79
-0.56,-0.14,0.78,-5.11,1.1,2.32,30.79
-0.56,-0.14,0.78,-5.3,1.86,2.06,30.88
-0.57,-0.14,0.78,-5.82,1.42,1.24,30.79
-0.58,-0.15,0.77,-5.98,-0.17,0.12,30.93
-0.58,-0.16,0.79,-4.85,-1.85,-0.66,30.88
-0.58,-0.18,0.79,-1.98,-2.92,-1.18,30.98
-0.57,-0.18,0.8,0.69,-3.56,-1.36,30.88
-0.58,-0.18,0.79,3.31,-3.45,-0.63,30.88
-0.55,-0.16,0.79,5.28,-1.97,0.75,30.93
-0.54,-0.15,0.79,6.31,-0.31,0.78,30.88
-0.55,-0.15,0.78,6.35,-0.61,0.15,30.88
-0.56,-0.14,0.79,6.14,-2.72,-0.7,30.84
