acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
-0.86,-0.32,-0.3,-3.13,-2.41,0.58,31.07
-0.86,-0.32,-0.3,-2.9,-1.5,1.3,31.17
-0.85,-0.31,-0.3,-3.02,-0.49,0.98,31.12
-0.85,-0.32,-0.31,-2.89,0.34,1.01,31.17
-0.86,-0.31,-0.31,-2.82,-0.9,-1.27,31.21
-0.85,-0.32,-0.31,-2.02,-1.54,-2.14,31.12
-0.85,-0.31,-0.3,-1.33,-0.21,-2.29,31.07
-0.84,-0.32,-0.3,-1.11,1.02,-3.6,31.17
-0.85,-0.32,-0.31,-1.25,1.01,-4.67,31.12
-0.86,-0.32,-0.31,-1.07,-0.11,-3.85,31.17
-0.86,-0.32,-0.31,-1.4,-1.01,-2.2,31.07
-0.85,-0.32,-0.3,-1.95,-0.53,-0.76,31.17
-0.85,-0.32,-0.31,-2.43,-0.37,0.12,31.07
-0.84,-0.32,-0.3,-2.58,-0.93,0.2,31.12
-0.83,-0.32,-0.3,-2.21,-1.45,-1.28,31.07
-0.84,-0.32,-0.3,-1.19,-2.06,-3.1,31.17
-0.85,-0.32,-0.3,-0.21,-1.28,-4.89,31.07
-0.85,-0.32,-0.29,-0.29,0.31,-7.53,31.12
-0.86,-0.33,-0.3,-1.31,0.73,-8.89,31.02
-0.86,-0.33,-0.3,-2.27,0.31,-5.76,31.07
-0.85,-0.33,-0.3,-2.64,-1.1,0.41,31.12
-0.84,-0.32,-0.3,-3.34,-2.64,4.37,31.17
-0.85,-0.31,-0.29,-3.82,-3.04,2.31,31.21
-0.85,-0.32,-0.29,-3.31,-1.56,-1.56,31.07
-0.86,-0.32,-0.3,-1.39,0.69,-2.43,30.98
-0.85,-0.32,-0.3,-0.15,1.47,-3.21,31.12
-0.85,-0.32,-0.31,0.15,0.75,-5.04,31.07
-0.85,-0.32,-0.31,-0.96,0.52,-6.17,31.12
-0.86,-0.33,-0.31,-2.0,-0.2,-4.78,31.17
-0.85,-0.33,-0.31,-2.55,-0.49,-2.02,31.12
-0.85,-0.33,-0.3,-2.47,-0.66,0.84,31.12
-0.84,-0.33,-0.3,-2.82,-0.02,1.27,31.17
-0.84,-0.32,-0.3,-2.79,0.43,-0.21,31.12
-0.84,-0.32,-0.31,-2.75,-0.06,-1.66,31.12
-0.85,-0.33,-0.3,-1.68,-0.96,-1.68,31.17
-0.85,-0.33,-0.3,-0.63,-0.82,-3.18,31.07
-0.84,-0.33,-0.29,-0.72,0.46,-4.89,31.07
-0.84,-0.33,-0.3,-1.33,1.15,-5.51,31.12
-0.85,-0.33,-0.3,-2.18,0.84,-5.59,31.07
-0.85,-0.33,-0.3,-2.67,-0.31,-3.21,31.12
-0.85,-0.33,-0.3,-3.05,-0.75,0.49,31.12
-0.85,-0.33,-0.31,-2.93,-0.85,1.6,31.07
-0.84,-0.32,-0.31,-2.98,-0.26,0.63,31.12
-0.84,-0.32,-0.3,-2.35,0.2,-1.51,31.17
-0.85,-0.32,-0.29,-1.42,0.41,-2.58,31.17
-0.84,-0.32,-0.31,-1.01,0.75,-3.08,31.12
-0.84,-0.33,-0.3,-0.96,0.47,-3.19,31.17
-0.86,-0.33,-0.32,-0.81,0.53,-2.79,31.21
-0.83,-0.33,-0.3,-1.83,-2.9,-2.0,31.17
-0.85,-0.33,-0.3,-3.89,0.34,-3.5,31.07
-0.84,-0.33,-0.3,-2.03,-0.27,0.76,31.21
-0.85,-0.32,-0.31,-2.79,-0.32,-0.27,31.17
-0.84,-0.34,-0.29,-2.75,0.2,-0.26,31.17
-0.84,-0.33,-0.31,-1.94,-0.75,0.23,31.12
-0.84,-0.33,-0.31,-2.11,-1.47,-2.38,31.17
-0.85,-0.34,-0.3,-1.85,-0.24,-2.43,31.07
-0.84,-0.34,-0.3,-2.09,0.44,-1.24,31.07
-0.84,-0.33,-0.31,-3.1,-0.76,0.52,31.12
-0.85,-0.34,-0.31,-3.6,-1.39,1.51,31.07
-0.85,-0.33,-0.31,-3.45,-1.89,1.79,31.12
-0.85,-0.32,-0.3,-3.04,-2.38,0.76,31.17
-0.84,-0.32,-0.3,-2.63,-0.53,-0.85,31.12
-0.84,-0.33,-0.29,-1.94,-0.21,-2.06,31.21
-0.86,-0.33,-0.31,-1.63,-0.5,-3.3,31.12
-0.85,-0.34,-0.3,-1.95,0.06,-2.2,31.12
-0.85,-0.33,-0.3,-2.52,0.23,-0.41,31.07
-0.84,-0.33,-0.3,-3.24,-1.28,1.16,31.12
-0.84,-0.33,-0.3,-3.56,-2.09,2.87,31.07
-0.84,-0.33,-0.3,-3.47,-2.47,1.16,31.12
-0.85,-0.32,-0.29,-2.87,-2.03,-0.63,31.07
-0.85,-0.33,-0.3,-1.86,-1.4,-1.34,31.17
-0.84,-0.33,-0.29,-1.33,-0.26,-1.91,31.17
-0.85,-0.33,-0.31,-1.85,-0.41,-2.9,31.07
-0.85,-0.33,-0.3,-2.14,-1.5,-1.85,31.07
-0.85,-0.33,-0.31,-2.63,-1.54,-0.32,31.12
-0.85,-0.33,-0.3,-2.41,-1.42,0.75,31.12
-0.85,-0.33,-0.3,-2.69,-1.11,-0.31,31.07
-0.85,-0.33,-0.29,-2.37,-0.55,-1.34,31.17
-0.85,-0.33,-0.3,-1.83,-0.18,-1.22,31.07
-0.85,-0.32,-0.3,-1.57,-0.4,-1.42,31.26
-0.84,-0.33,-0.3,-1.39,-0.49,-1.97,31.07
-0.84,-0.34,-0.3,-1.08,-0.27,-2.72,31.12
-0.85,-0.33,-0.29,-1.1,0.14,-3.8,31.12
-0.83,-0.33,-0.3,-1.8,1.15,-2.37,31.07
-0.84,-0.33,-0.31,-2.35,0.63,-0.7,31.12
-0.85,-0.33,-0.3,-3.33,-1.42,0.24,31.21
-0.84,-0.33,-0.29,-2.75,-1.94,1.22,31.07
-0.84,-0.33,-0.3,-2.29,-0.95,-0.11,31.07
-0.83,-0.32,-0.29,-1.91,0.21,-1.5,31.12
-0.84,-0.33,-0.29,-1.54,0.23,-2.02,31.07
-0.84,-0.33,-0.3,-1.98,-0.69,-2.58,31.12
-0.84,-0.33,-0.31,-2.47,-0.66,-2.27,31.12
-0.85,-0.33,-0.3,-2.76,-0.58,-1.51,31.17
-0.85,-0.33,-0.29,-2.64,-1.28,-0.17,31.07
-0.84,-0.34,-0.29,-2.31,-1.25,0.15,31.07
-0.84,-0.33,-0.29,-2.67,-0.98,0.37,31.12
-0.85,-0.33,-0.3,-3.18,-0.69,-0.66,31.07
-0.85,-0.33,-0.3,-2.34,-2.2,0.27,31.07
-0.85,-0.33,-0.3,-1.94,-0.99,0.14,31.12
-0.85,-0.33,-0.3,-1.85,0.0,-2.43,30.98
-0.86,-0.33,-0.3,-1.62,-0.66,-2.7,31.12
-0.86,-0.34,-0.31,-1.34,-1.16,-3.02,31.12
-0.85,-0.33,-0.3,-2.0,-0.46,-3.4,31.12
-0.83,-0.33,-0.31,-3.02,0.61,-3.01,31.17
-0.84,-0.34,-0.3,-3.66,-0.32,0.05,31.17
-0.84,-0.34,-0.3,-3.13,-1.37,3.3,31.12
-0.85,-0.33,-0.3,-3.04,-2.24,1.89,31.07
-0.85,-0.33,-0.3,-2.81,-1.59,-1.57,31.02
-0.85,-0.33,-0.3,-2.23,-0.64,-1.33,31.12
-0.84,-0.33,-0.29,-0.99,-0.05,-0.92,31.07
-0.84,-0.33,-0.29,-1.8,0.35,-3.28,31.02
-0.85,-0.33,-0.3,-2.09,-0.29,-2.93,31.17
-0.85,-0.34,-0.31,-2.2,-1.59,-0.78,31.07
-0.85,-0.33,-0.3,-2.53,-1.02,1.07,31.21
-0.86,-0.34,-0.31,-3.25,-0.41,0.05,31.07
-0.84,-0.33,-0.29,-2.87,-2.03,1.48,31.07
-0.84,-0.33,-0.29,-2.79,-0.7,0.81,31.12
-0.85,-0.33,-0.3,-2.15,-0.7,-1.59,31.07
-0.85,-0.33,-0.3,-1.57,-0.81,-4.23,31.17
-0.85,-0.33,-0.3,-1.05,0.03,-3.37,31.02
-0.84,-0.34,-0.29,-1.22,0.64,-1.21,31.07
-0.85,-0.33,-0.31,-2.58,0.7,-1.51,31.07
-0.84,-0.34,-0.3,-2.64,-1.59,-0.09,31.12
-0.84,-0.34,-0.3,-1.59,-1.57,0.47,31.07
-0.85,-0.33,-0.29,-2.14,0.41,-1.8,31.07
-0.84,-0.33,-0.3,-2.66,0.72,-1.59,31.12
-0.84,-0.33,-0.3,-3.69,0.2,1.68,31.07
-0.85,-0.32,-0.3,-3.33,-1.83,3.88,31.07
-0.85,-0.33,-0.3,-3.34,-2.44,-0.08,31.12
-0.85,-0.33,-0.3,-2.47,-1.88,-2.67,31.12
-0.85,-0.33,-0.29,-1.82,-0.11,-1.62,31.02
-0.85,-0.34,-0.29,-1.69,0.85,-2.23,31.12
-0.85,-0.34,-0.3,-2.82,-0.05,-1.97,30.98
-0.86,-0.34,-0.3,-3.5,-1.01,-0.82,31.17
-0.86,-0.34,-0.31,-3.16,-1.95,1.91,31.12
-0.87,-0.34,-0.31,-3.11,-1.62,1.53,31.12
-0.83,-0.33,-0.3,-3.33,-0.85,1.33,31.07
-0.84,-0.32,-0.3,-2.87,-0.7,1.44,31.12
-0.84,-0.33,-0.31,-2.52,-3.82,-0.85,31.17
-0.84,-0.33,-0.3,-1.56,-6.06,-2.03,31.07
-0.85,-0.33,-0.29,-1.18,-4.38,-2.69,31.07
-0.85,-0.33,-0.29,-1.91,-1.77,-2.21,31.12
-0.84,-0.33,-0.3,-3.54,0.43,1.91,31.12
-0.86,-0.33,-0.32,-4.63,-1.45,2.63,31.12
-0.86,-0.33,-0.31,-3.91,-5.63,3.65,31.17
-0.84,-0.33,-0.28,-3.51,-4.81,1.85,31.02
-0.84,-0.33,-0.28,-2.32,-1.05,0.14,31.12
-0.83,-0.33,-0.29,-2.5,0.75,-1.94,31.07
-0.85,-0.33,-0.29,-1.37,-0.38,-2.93,31.12
-0.86,-0.34,-0.31,-1.16,-3.05,-5.15,31.02
-0.87,-0.34,-0.3,0.18,-2.75,-3.4,31.07
-0.85,-0.33,-0.29,-1.48,3.63,-3.24,31.17
-0.85,-0.33,-0.3,-1.18,4.87,1.42,31.07
-0.85,-0.32,-0.3,-4.24,2.21,-1.62,31.12
-0.86,-0.34,-0.3,-5.56,0.18,0.85,31.07
-0.85,-0.34,-0.3,-5.44,-0.55,6.37,31.07
-0.84,-0.33,-0.31,-2.96,-0.7,6.4,31.02
-0.82,-0.31,-0.29,0.05,0.4,-0.87,31.07
-0.82,-0.31,-0.29,1.62,4.08,-11.59,31.12
-0.85,-0.34,-0.3,3.02,5.39,-15.77,31.17
-0.86,-0.34,-0.31,3.01,4.34,-15.48,31.12
-0.85,-0.34,-0.31,2.53,2.73,-11.51,31.07
-0.84,-0.35,-0.3,0.41,1.92,-7.89,31.12
-0.84,-0.34,-0.3,-3.02,1.44,-5.56,31.07
-0.85,-0.34,-0.3,-4.6,-0.23,0.92,31.12
-0.84,-0.34,-0.31,-4.35,-1.71,6.9,31.07
-0.84,-0.33,-0.3,-2.63,-2.06,4.95,31.02
-0.83,-0.32,-0.28,-0.26,-0.46,-3.27,31.07
-0.83,-0.33,-0.29,1.6,3.1,-11.48,31.17
