acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.22,-0.28,0.99,6.21,-0.58,-4.55,32.15
0.21,-0.27,0.97,7.25,0.49,-3.63,32.11
0.2,-0.25,0.95,6.7,-0.47,-2.96,32.25
0.2,-0.24,0.94,5.69,-2.78,-2.41,32.2
0.21,-0.24,0.94,4.98,-3.13,-1.92,32.2
0.2,-0.24,0.94,4.93,-4.27,-1.08,32.11
0.21,-0.25,0.94,4.61,-4.55,-0.7,32.2
0.21,-0.24,0.93,2.98,-3.77,-0.09,32.11
0.21,-0.24,0.91,0.9,-2.76,1.01,32.15
0.21,-0.23,0.9,-1.42,-2.82,2.38,32.11
0.21,-0.23,0.89,-2.95,-2.84,3.5,32.2
0.21,-0.23,0.89,-5.68,-3.94,3.95,32.11
0.22,-0.24,0.9,-5.51,-6.18,4.27,32.2
0.23,-0.25,0.9,-4.29,-8.21,3.6,32.15
0.24,-0.25,0.9,-4.17,-9.68,3.51,32.15
0.25,-0.24,0.9,-5.27,-8.38,3.62,32.15
0.26,-0.24,0.91,-6.95,-6.21,3.27,32.15
0.28,-0.24,0.89,-8.38,-2.96,2.85,32.11
0.27,-0.24,0.9,-10.18,-0.26,2.73,32.2
0.26,-0.24,0.89,-12.0,0.41,2.93,32.25
0.25,-0.24,0.89,-12.55,0.47,2.58,32.2
0.23,-0.25,0.9,-13.15,-0.09,2.99,32.11
0.22,-0.26,0.92,-12.63,-1.11,3.62,32.25
0.23,-0.27,0.92,-11.92,-2.32,2.98,32.25
0.24,-0.28,0.93,-11.42,-3.51,0.85,32.15
0.25,-0.28,0.94,-10.5,-4.58,-2.18,32.11
0.25,-0.29,0.94,-10.08,-3.77,-3.22,32.15
0.23,-0.29,0.96,-9.63,-2.55,-2.82,32.2
0.24,-0.31,0.97,-8.67,-1.16,-1.47,32.06
0.24,-0.32,0.98,-6.69,-0.34,-1.24,32.15
0.25,-0.32,0.98,-4.55,0.76,-1.25,32.11
0.25,-0.31,0.97,-1.97,2.56,-1.79,32.06
0.26,-0.29,0.96,-1.15,4.89,-1.1,32.15
0.24,-0.29,0.94,-0.53,6.08,-0.66,32.15
0.24,-0.28,0.94,-1.02,6.92,-0.75,32.15
0.24,-0.26,0.93,-1.82,4.81,-2.18,32.15
0.25,-0.26,0.92,-2.58,1.34,-4.41,32.2
0.26,-0.27,0.95,-2.87,-1.77,-7.33,32.29
0.26,-0.28,0.96,-0.82,-2.31,-8.44,32.11
0.26,-0.28,0.96,0.29,0.27,-7.36,32.15
0.26,-0.28,0.95,2.12,3.08,-6.96,32.2
0.25,-0.27,0.95,2.72,4.2,-6.63,32.15
0.24,-0.26,0.94,2.4,4.09,-6.63,32.2
0.23,-0.25,0.93,1.95,3.37,-6.44,32.25
0.23,-0.25,0.92,2.05,3.16,-6.84,32.11
0.23,-0.25,0.91,0.61,2.73,-6.37,32.15
0.22,-0.24,0.91,-1.31,2.66,-5.83,32.11
0.22,-0.24,0.91,-2.2,2.38,-5.13,32.11
0.22,-0.25,0.92,-2.06,1.57,-4.43,32.2
0.21,-0.25,0.92,-0.92,1.24,-3.82,32.11
0.2,-0.25,0.92,-1.11,1.73,-2.34,32.11
0.2,-0.24,0.93,-2.14,1.94,-0.79,32.25
0.21,-0.25,0.92,-1.97,1.11,-0.41,32.15
0.2,-0.25,0.92,-2.0,0.11,0.2,32.15
0.21,-0.25,0.92,-3.28,0.69,1.13,32.11
0.22,-0.23,0.92,-4.38,1.91,1.92,32.2
0.22,-0.24,0.92,-6.56,2.21,2.95,32.2
0.22,-0.23,0.92,-7.48,1.19,2.92,32.15
0.23,-0.25,0.92,-7.24,0.84,3.48,32.11
0.23,-0.26,0.94,-6.47,0.17,4.12,32.15
0.23,-0.27,0.95,-5.45,-1.59,2.87,32.2
0.24,-0.27,0.96,-4.37,-3.21,1.77,32.2
0.24,-0.27,0.96,-4.73,-3.97,1.48,32.2
0.25,-0.27,0.96,-5.25,-3.36,1.65,32.11
0.26,-0.26,0.97,-5.45,-1.37,2.27,32.25
0.26,-0.27,0.97,-5.36,0.87,2.75,32.15
0.25,-0.27,0.98,-3.89,3.18,2.47,32.2
0.23,-0.26,0.95,-2.64,2.93,1.62,32.15
0.22,-0.26,0.95,-2.92,1.05,1.47,32.2
0.21,-0.26,0.93,-3.28,-2.14,2.06,32.15
0.21,-0.26,0.94,-3.05,-4.06,2.64,32.25
0.23,-0.25,0.94,-4.58,-4.89,2.47,32.15
0.23,-0.26,0.94,-3.01,-4.93,1.51,32.15
0.24,-0.26,0.93,-2.85,-3.19,1.88,32.2
0.23,-0.27,0.93,-2.78,-1.85,2.85,32.11
0.22,-0.26,0.92,-2.72,-1.01,3.25,32.2
0.22,-0.26,0.9,-1.69,-1.21,3.11,32.11
0.21,-0.26,0.9,-0.95,-2.53,2.81,32.15
0.22,-0.25,0.89,-0.9,-3.21,3.25,32.15
0.22,-0.25,0.88,-1.62,-4.5,3.25,32.25
0.24,-0.25,0.88,-2.55,-4.76,3.25,32.15
0.24,-0.25,0.9,-3.65,-5.13,2.92,32.11
0.25,-0.26,0.92,-3.59,-3.47,2.82,32.11
0.24,-0.27,0.91,-3.34,-0.05,3.56,32.11
0.24,-0.28,0.93,-2.93,1.1,2.58,32.2
0.23,-0.28,0.92,-2.5,-0.18,1.76,32.15
0.22,-0.28,0.93,-2.9,-3.08,1.11,32.2
0.24,-0.28,0.94,-2.76,-4.03,1.31,32.11
0.25,-0.29,0.93,-2.79,-2.14,1.65,32.2
0.24,-0.28,0.93,-3.68,-0.02,2.11,32.11
0.23,-0.28,0.93,-4.92,0.78,2.79,32.2
0.22,-0.29,0.93,-5.66,0.6,2.75,32.2
0.23,-0.28,0.94,-6.53,-0.34,2.46,32.2
0.23,-0.29,0.95,-7.4,-1.82,2.02,32.15
0.23,-0.29,0.95,-7.36,-2.66,1.05,32.15
0.23,-0.29,0.96,-6.38,-3.95,-0.55,32.15
0.23,-0.3,0.97,-5.21,-5.31,-0.72,32.2
0.24,-0.3,0.97,-3.86,-5.28,-0.64,32.2
0.23,-0.31,0.97,-1.47,-4.73,-1.11,32.2
0.23,-0.31,0.98,-0.79,-4.29,-1.53,32.11
0.23,-0.3,0.96,-1.04,-4.08,-0.7,32.06
0.23,-0.3,0.97,0.43,-4.11,-0.47,32.11
0.24,-0.31,0.98,1.88,-3.63,0.0,32.15
0.24,-0.29,0.98,2.87,-1.95,-0.55,32.11
0.24,-0.28,0.96,3.65,-2.93,-2.31,32.2
0.24,-0.27,0.94,2.9,-2.26,-2.92,32.2
